name,neighbourhood,room_type,bedrooms,bathrooms,minimum_nights,price,availability_365,number_of_reviews,review_score,is_superhost
HARBORSIDE-Walk to subway,East Boston,Entire home/apt,1.0,1.0,28,150.0,123,17,99.0,0
**$49 Special **   Private! Minutes to center!,Roxbury,Entire home/apt,1.0,1.0,3,145.0,0,107,95.0,1
$99 Special!! Home Away! Condo,Roxbury,Entire home/apt,1.0,1.0,3,169.0,0,115,96.0,1
Bright 1bed facing Golden Dome,Downtown,Entire home/apt,1.0,1.0,91,81.0,281,32,96.0,1
The Dorset Redline | 3BR 1BA | Walk to Redline for Mass General!,Dorchester,Entire home/apt,3.0,1.0,32,129.0,103,52,86.0,0
Private room & bath - Jamaica Plain,Jamaica Plain,Private room,1.0,1.5,56,85.0,265,77,99.0,0
Gorgeous Garden Studio Charlestown,Charlestown,Entire home/apt,1.0,1.0,3,125.0,89,130,93.0,1
Corner 1 bed facing Golden Dome,Beacon Hill,Entire home/apt,1.0,1.0,91,85.0,333,44,96.0,1
Entire two-bedroom apartment near Longwood,Roxbury,Entire home/apt,2.0,1.0,28,100.0,182,120,95.0,1
Waterfall Room: Bunker Hill B&B,Charlestown,Private room,1.0,1.0,2,140.0,365,54,87.0,0
$99* SPECIAL* 2 bed ApT! Location!,Roxbury,Entire home/apt,2.0,1.0,3,231.0,0,228,93.0,1
Stylish + Comfortable Urban Victorian,Roxbury,Entire home/apt,4.0,2.0,2,88.0,0,149,92.0,1
Great 2BR in Boston near everything w free parking,Charlestown,Entire home/apt,2.0,1.0,91,119.0,9,106,96.0,0
In-Law Suite w/Room to Spare :-),Dorchester,Entire home/apt,2.0,1.0,7,42.0,313,70,90.0,0
"Great Boston neighborhood , Jamaica Plain",Jamaica Plain,Private room,1.0,1.0,30,50.0,138,44,99.0,1
Serene Studio in a Perfect Location,Jamaica Plain,Entire home/apt,1.0,1.0,4,106.0,187,389,97.0,1
Private room off the Freedom Trail.,North End,Private room,1.0,1.0,3,145.0,89,251,98.0,1
BOSTON LUXURY FOR LESS!! NEAR BCEC,South Boston,Entire home/apt,2.0,1.0,2,257.0,228,335,97.0,1
"Near Hospitals, 28 Day Bking Only,OutdoorSpace",South End,Entire home/apt,1.0,1.0,28,225.0,226,409,96.0,1
Private Room in Spacious Apartment1,Dorchester,Private room,1.0,1.0,91,60.0,363,24,88.0,1
"Sweet Little House in JP, Boston",Jamaica Plain,Private room,1.0,1.0,7,71.0,263,313,96.0,1
"Private Floor, Private Bath, City Location",Jamaica Plain,Private room,1.0,1.0,91,173.0,0,16,99.0,0
The Grand View Redline | 5BR 2BA | Victorian Home near Boston Medical and Mass General!,Dorchester,Entire home/apt,5.0,2.0,29,206.0,263,67,88.0,0
