name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
"96m2, 3BR, 2BA, Metro, WI-FI etc...",ΑΜΠΕΛΟΚΗΠΟΙ,Entire home/apt,3.0,2.0,8,1,84.0,234,25,97.0,37.98863,23.76527,1
Athens Quality Apartments - Deluxe Apartment,ΑΜΠΕΛΟΚΗΠΟΙ,Entire home/apt,1.0,1.0,4,1,50.0,356,44,98.0,37.98903,23.76448,1
"AQA-No2 1-bedroom, smart tv, fiber connection,",ΑΜΠΕΛΟΚΗΠΟΙ,Entire home/apt,1.0,1.0,4,1,50.0,325,23,96.0,37.98903,23.76448,1
"54m2, 1-br, cable tv, wi-fi, metro",ΑΜΠΕΛΟΚΗΠΟΙ,Entire home/apt,1.0,1.0,4,1,50.0,356,17,95.0,37.98924,23.765,1
❤️Deluxe central loft near Acropolis❤️,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,1.0,1.0,4,2,40.0,364,455,96.0,37.9768,23.72924,1
Spacious Cosy aprtm very close to Metro!,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,Entire home/apt,2.0,1.0,5,5,40.0,365,71,94.0,38.00853,23.72938,0
3bdr apt in the heart of Athens,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,Entire home/apt,3.0,1.5,7,2,120.0,321,121,93.0,37.97692,23.7304,1
ATHENS spacious apt Ideal location,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,Entire home/apt,4.0,2.0,6,2,56.0,365,331,95.0,37.99095,23.72195,0
Athens in old historic neighborhood,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ,Entire home/apt,1.0,1.5,2,2,26.0,267,458,96.0,37.99429,23.70901,1
House In Centre,ΓΟΥΒΑ,Entire home/apt,1.0,1.0,4,4,45.0,365,21,88.0,37.96403,23.74407,0
