name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
Zen-East in the Heart of Austin (monthly rental),78702,Entire home/apt,2.0,2.0,4,7,200.0,131,24,93.0,30.2775,-97.71398,0
"Walk to 6th, Rainey St and Convention Ctr",78702,Entire home/apt,1.0,1.0,3,2,104.0,354,543,97.0,30.261120000000002,-97.73448,1
"Soco, Barton Springs Private Guest Cottage",78704,Entire home/apt,1.0,1.0,2,30,46.0,67,21,95.0,30.2463,-97.76361,0
NW Austin Room,78729,Private room,1.0,1.0,2,1,39.0,79,259,98.0,30.456970000000002,-97.78421999999999,1
"Secluded Studio @ Zilker - King Bed, Bright & Airy",78704,Entire home/apt,1.0,1.0,3,3,139.0,194,235,99.0,30.260270000000002,-97.76503000000001,1
Central East Austin house & garden,78702,Entire home/apt,2.0,2.0,4,2,500.0,365,12,100.0,30.259190000000004,-97.72870999999999,1
Quiet Mid Century Modern Retreat with Patio and Yard.,78704,Entire home/apt,2.0,1.0,4,1,190.0,138,113,98.0,30.24417,-97.73988,1
Close in Hill country views NW,78759,Entire home/apt,2.0,2.5,4,30,158.0,308,11,96.0,30.389570000000003,-97.76216,1
Garage Apartment near S Congress,78741,Entire home/apt,1.0,1.0,2,31,50.0,341,39,98.0,30.236140000000002,-97.73225,1
Private Clarksville 2-1,78703,Entire home/apt,2.0,1.0,4,30,125.0,0,164,98.0,30.28027,-97.75596,1
Lovely Central Austin Bungalow & Studio,78757,Entire home/apt,3.0,2.0,6,7,117.0,226,34,99.0,30.337659999999996,-97.73725999999999,1
furnished bedroom and full bath,78727,Private room,1.0,1.0,1,30,38.0,230,38,97.0,30.4303,-97.69125,0
"OUTDOOR LIVING IN AUSTIN, TX",78731,Entire home/apt,2.0,2.0,4,2,350.0,365,30,98.0,30.351409999999998,-97.76323000000001,0
Super Hip South Austin Studio,78744,Entire home/apt,1.0,1.0,2,14,55.0,347,269,96.0,30.20093,-97.75318,1
Scooby Doo House,78705,Entire home/apt,2.0,1.0,2,30,117.0,331,30,97.0,30.28625,-97.75022,0
"Zilker Park, Fun, Funky, Colorful, Peaceful Haven",78704,Entire home/apt,1.0,1.0,6,1,87.0,255,722,98.0,30.255959999999998,-97.76866,1
Colorful and Quirky Zilker Park Townhouse,78704,Entire home/apt,1.0,1.5,4,2,154.0,245,114,99.0,30.2607,-97.77194,1
Enchanting Zilker Cottage~Downtown,78704,Entire home/apt,1.0,1.0,2,2,159.0,111,390,95.0,30.25775,-97.76354,1
"Live Beneath Live Oaks in a Bright, Intimate House",78704,Entire home/apt,1.0,1.0,2,2,119.0,0,441,100.0,30.23152,-97.76434,1
South 1st Garage Apartment - Ideally Central,78704,Entire home/apt,1.0,1.0,3,2,225.0,90,31,99.0,30.236159999999998,-97.76446,1
1 Bedroom Apt; Above the Studio,78704,Entire home/apt,1.0,1.0,3,2,150.0,78,144,98.0,30.245009999999997,-97.74986,1
"Private, Super Cool, and very Close In",78704,Private room,1.0,1.0,2,3,225.0,73,38,99.0,30.2532,-97.77891,0
Architect Designed - Great Location,78704,Entire home/apt,2.0,2.0,4,2,470.0,363,40,99.0,30.24604,-97.75329,0
Detached Central Cottage with Bikes!,78731,Entire home/apt,1.0,1.0,2,3,85.0,269,358,98.0,30.313000000000002,-97.75066,1
3BR Convenient Gated Townhome w/ Pool Access!,78727,Entire home/apt,2.0,2.5,6,2,230.0,306,27,98.0,30.415190000000003,-97.73019000000001,1
Simple 2/2 in Central Austin,78705,Entire home/apt,2.0,2.0,4,30,95.0,294,49,97.0,30.28985,-97.7451,1
Private Guest House 78704,78704,Entire home/apt,1.0,1.0,2,2,93.0,346,215,97.0,30.244220000000002,-97.77885,0
South Shore Condo on Lady Bird Lake,78702,Entire home/apt,1.0,1.0,3,2,125.0,0,274,98.0,30.247729999999997,-97.72584,1
Clean 1 Bedroom Cottage Apt In Tarrytown,78703,Entire home/apt,1.0,1.0,4,2,108.0,329,323,99.0,30.29187,-97.76824,1
Chic 2 Bdrm DwnTwn where Airbnb CEO stayed twice.,78703,Entire home/apt,2.0,1.0,4,2,190.0,351,210,96.0,30.27577,-97.75608000000001,0
Upstairs Flat in Central Austin,78722,Entire home/apt,1.0,1.0,3,2,100.0,135,181,99.0,30.29138,-97.71907,1
EastSideLavishness- A Stay of Comfort and Joy,78702,Entire home/apt,5.0,3.0,12,2,484.0,349,143,99.0,30.26775,-97.72695,1
Comfy Digs in East Austin,78702,Entire home/apt,3.0,2.0,8,2,400.0,0,16,99.0,30.255129999999998,-97.72583,0
The Travis Heights Tree House,78704,Entire home/apt,1.0,1.0,2,20,80.0,267,43,97.0,30.23872,-97.74521,0
"Retro 60's Home,Walk to Zilker,Yard",78704,Entire home/apt,2.0,1.0,4,2,175.0,314,16,87.0,30.25177,-97.77888,1
Sweet South Austin Spot,78704,Entire home/apt,2.0,1.0,4,2,149.0,315,24,92.0,30.251759999999997,-97.78021,1
Beautiful Home on Austin Greenbelt near Downtown,78725,Entire home/apt,2.0,1.5,6,2,190.0,299,10,94.0,30.25923,-97.66815,0
Modern Gem featured by Dwell. Pool + HotTub.,78704,Entire home/apt,4.0,3.0,4,3,750.0,0,90,100.0,30.25625,-97.76765999999999,1
Nice Room Great House near Zilker,78704,Private room,1.0,1.0,2,2,125.0,364,75,97.0,30.247159999999997,-97.78200000000001,0
Cool Hyde Park efficiency apartment,78751,Entire home/apt,1.0,1.5,3,2,109.0,6,341,98.0,30.312620000000003,-97.72543,1
