name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
Nice room with superb city view,Ratchathewi,Entire home/apt,1.0,1.5,3,3,1649.0,362,65,97.0,13.76,100.54269000000001,0
Place near Metro and Shopping Mall ( Monthly only),Chatu Chak,Entire home/apt,1.0,1.0,2,28,1049.0,364,52,96.0,13.8097,100.56527,0
Sathorn Terrace Apartment(61),Bang Rak,Private room,1.0,1.0,2,2,796.0,180,27,95.0,13.7197,100.51726,0
Loog Choob Homestay: A family suite,Dusit,Private room,1.0,1.0,4,1,4400.0,360,17,100.0,13.75875,100.515,1
Central Bangkok 3 Bedroom Apartment,Khlong Toei,Entire home/apt,3.0,3.5,5,28,4916.0,362,148,95.0,13.7343,100.56324000000001,0
Boutique Rooms Near Bangkok Airport,Lat Krabang,Private room,1.0,1.0,2,1,1600.0,365,14,93.0,13.72215,100.7709,0
Studio near BTS and MRT close to Silom,Bang Rak,Entire home/apt,1.0,1.0,3,3,900.0,181,61,83.0,13.729439999999999,100.52128,0
Deluxe one Bedroom Condo w.Pool-GYM & Sauna 8-7,Vadhana,Entire home/apt,1.0,1.0,2,3,1635.0,365,205,94.0,13.74293,100.55603,0
Smart 1Bed Apt. Near MRT and BTS,Bang Rak,Entire home/apt,1.0,1.0,4,7,1150.0,360,65,88.0,13.7278,100.52548,0
"2 BR free weekly cleaning, near BTS, public park",Din Daeng,Entire home/apt,2.0,1.0,4,30,1049.0,361,194,97.0,13.762720000000002,100.54365,0
1BR at IDEO MIX next to BTS Udomsuk,Bang Na,Entire home/apt,1.0,1.5,2,3,600.0,365,22,95.0,13.680439999999999,100.60993,1
Luxury&Comfy wthWifi walk-distance to Subwy-Malls,Chatu Chak,Entire home/apt,1.0,1.0,2,358,779.0,365,56,98.0,13.80969,100.56897,0
2-BR condo near BTS on Sukhumvit Rd,Khlong Toei,Entire home/apt,2.0,2.0,4,30,2248.0,180,66,91.0,13.72885,100.57176,0
"1 min to BTS, NETFLIX, Reasonable Monthly Stay",Parthum Wan,Entire home/apt,1.0,1.0,4,15,2393.0,349,275,95.0,13.74896,100.5282,1
Spacious 2br BTS-wifi-kid friendly,Phra Khanong,Entire home/apt,2.0,1.0,5,28,1320.0,362,77,92.0,13.68578,100.61233,1
Skyrise Apartment very near Subway,Chatu Chak,Entire home/apt,1.0,1.0,4,1,730.0,0,165,91.0,13.811720000000001,100.56746,0
