name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
Huge flat for 8 people close to Sagrada Familia,la Sagrada Família,Entire home/apt,3.0,2.0,8,1,116.0,80,21,88.0,41.4042,2.17306,0
Forum DeLuxe 5 mins Walk  To CCIB Center & Sea★,el Besòs i el Maresme,Entire home/apt,3.0,2.0,6,3,200.0,326,52,95.0,41.41291,2.22063,1
Sagrada Familia area - Còrsega 1,el Camp d'en Grassot i Gràcia Nova,Entire home/apt,2.0,1.5,6,2,79.0,0,63,86.0,41.40566,2.17015,0
VIDRE HOME PLAZA REAL on LAS RAMBLAS,el Barri Gòtic,Entire home/apt,4.0,3.0,9,4,146.0,122,149,91.0,41.37978,2.17623,0
Double 04 CasanovaRooms Barcelona,l'Antiga Esquerra de l'Eixample,Private room,1.0,2.0,2,2,14.0,337,328,94.0,41.39036,2.15274,1
Single 01 CasanovaRooms Barcelona,l'Antiga Esquerra de l'Eixample,Private room,1.0,2.0,1,2,12.0,344,278,95.0,41.39065,2.15196,1
Single 02 CasanovaRooms Barcelona,l'Antiga Esquerra de l'Eixample,Private room,1.0,2.0,1,2,13.0,341,288,96.0,41.391529999999996,2.15125,1
Double 03 CasanovaRooms Barcelona,l'Antiga Esquerra de l'Eixample,Private room,1.0,2.0,2,2,16.0,305,239,95.0,41.39082,2.15078,1
In front of the beach,la Barceloneta,Private room,1.0,1.0,1,2,34.0,364,73,94.0,41.379059999999996,2.19141,0
Classical loft close to pedrera!,la Dreta de l'Eixample,Entire home/apt,1.0,1.0,4,2,32.0,331,169,94.0,41.39631,2.16832,0
Modern Apartment - Sagrada Familia,el Camp d'en Grassot i Gràcia Nova,Entire home/apt,2.0,2.0,6,3,110.0,1,39,88.0,41.40565,2.16932,0
Sagrada Familia area - Còrsega 2,el Camp d'en Grassot i Gràcia Nova,Entire home/apt,2.0,1.0,6,2,79.0,318,43,88.0,41.4057,2.1701599999999996,0
Stylish & cozy 3BR near Sagrada Familia,el Camp de l'Arpa del Clot,Entire home/apt,3.0,2.0,6,5,95.0,338,382,89.0,41.41129,2.18193,0
Bright apartment - Rambla Catalunya (HUTB-005863),la Dreta de l'Eixample,Entire home/apt,2.0,1.0,6,2,105.0,310,53,86.0,41.38901,2.16552,0
two beds with private shower 30% off,el Barri Gòtic,Private room,1.0,2.0,2,2,49.0,365,90,95.0,41.380720000000004,2.1781099999999998,0
"Room with a View, Bcn City Center",el Raval,Private room,1.0,1.5,2,1,52.0,365,370,94.0,41.37828,2.1708,0
Beautiful penthouse near Sagrada Familia,el Fort Pienc,Entire home/apt,1.0,1.5,2,2,70.0,202,49,83.0,41.3974,2.17682,0
MODERNIST PENTHOUSE. 1bedroom apt with terrace,la Dreta de l'Eixample,Entire home/apt,2.0,2.0,4,3,452.0,365,37,93.0,41.39038,2.1760599999999997,0
APARTMENT BY MONTHS CITY CENTER MINIMUM 32 NIGHTS,el Raval,Entire home/apt,4.0,1.5,5,32,60.0,365,11,80.0,41.38321,2.16656,0
Lugaris Beach Business Apartment,el Poblenou,Entire home/apt,1.0,1.0,2,1,84.0,321,358,96.0,41.39909,2.20733,1
Sagrada Familia area for 12 people,el Camp d'en Grassot i Gràcia Nova,Entire home/apt,4.0,2.0,12,2,158.0,0,164,91.0,41.40554,2.17017,0
Huge family apt with patio: Central (HUTB-005825),el Poble Sec,Entire home/apt,2.0,1.0,5,2,65.0,302,49,83.0,41.371629999999996,2.16591,0
Centrally located budget apartment (HUTB-005832),el Poble Sec,Entire home/apt,2.0,1.0,4,2,65.0,352,85,82.0,41.37335,2.16165,0
130. Hércules Pequeño 41,la Sagrada Família,Entire home/apt,2.0,1.0,5,2,88.0,316,21,89.0,41.40399,2.17802,0
Sagrada Familia Clot Patio - Wifi/Private/Clean,el Clot,Entire home/apt,3.0,1.0,6,3,125.0,0,30,89.0,41.40825,2.18729,1
Parc Montjuic HUTB-004026 58,el Poble Sec,Entire home/apt,3.0,1.0,5,1,107.0,0,127,91.0,41.37188,2.16656,0
NEW APARTMENT IN GRÀCIA,la Vila de Gràcia,Entire home/apt,1.0,1.0,2,2,75.0,0,12,100.0,41.402029999999996,2.15752,0
