name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
CBD Luxury 1-bedroom suite with a 30m2 terrace,朝阳区 / Chaoyang,Entire home/apt,1.0,1.0,2,1,600.0,365,57,93.0,39.904740000000004,116.46372,0
国贸CBD中国尊梵悦108附近豪华总统套房睡3人/步行五分钟至地铁站万达广场沃尔玛,朝阳区 / Chaoyang,Entire home/apt,1.0,1.0,2,1,668.0,2,12,91.0,39.905440000000006,116.46486999999999,0
798 Fresh style Bedroom with Study,朝阳区 / Chaoyang,Private room,1.0,1.0,2,2,298.0,331,19,81.0,39.99212,116.4987,0
Near Beijing subway an apartment,朝阳区 / Chaoyang,Private room,1.0,1.0,1,2,86.0,364,26,93.0,39.92575,116.52235,0
Sunny & Cozy Apt in Beijing,朝阳区 / Chaoyang,Entire home/apt,1.0,1.0,3,2,375.0,365,67,92.0,39.881479999999996,116.44542,0
"拎包入住昆玉河畔独立一居,周边肿瘤、空军、304医院、家乐福,地铁公交便利。",海淀区,Entire home/apt,1.0,1.0,2,1,318.0,359,16,100.0,39.926390000000005,116.2945,0
Huge 3bd-Rm Unit Near BJ West Sta.,海淀区,Private room,3.0,2.0,5,2,198.0,89,83,94.0,39.89587,116.30751000000001,0
Free shuttle to the airport ！subway,顺义区 / Shunyi,Entire home/apt,3.0,1.0,6,1,280.0,365,91,89.0,40.090309999999995,116.56315,0
Free shuttle to the airport ！subway,顺义区 / Shunyi,Entire home/apt,1.0,1.0,2,1,230.0,365,42,82.0,40.07707,116.5684,0
Beijing Great Wall Escape,怀柔区 / Huairou,Entire home/apt,3.0,1.0,10,1,1371.0,328,53,93.0,40.473290000000006,116.54511000000001,1
访问者公寓,海淀区,Private room,1.0,1.0,3,1,197.0,364,16,91.0,40.00554,116.34342,0
Modern&Comfy Large Studio near CBD,朝阳区 / Chaoyang,Entire home/apt,1.0,1.0,2,1,215.0,365,26,94.0,39.909240000000004,116.57727,0
Balcony Room CBD/东四环带独立卫生间和大阳台的舒适卧室,朝阳区 / Chaoyang,Private room,1.0,1.0,2,1,266.0,365,32,93.0,39.9234,116.50636000000002,0
Your home away from home,朝阳区 / Chaoyang,Entire home/apt,1.0,1.0,2,1,223.0,22,23,91.0,39.908390000000004,116.57172,0
"Luxury 3B/2B, Great Location, Maid, Subway Station",朝阳区 / Chaoyang,Entire home/apt,3.0,2.0,5,3,905.0,363,59,96.0,39.93143,116.48696000000001,0
Blissful Studio 4mins to subway,朝阳区 / Chaoyang,Entire home/apt,1.0,1.0,2,1,241.0,365,22,90.0,39.90995,116.57891000000001,0
Homefree along Near CBD & Airport,朝阳区 / Chaoyang,Entire home/apt,1.0,1.0,2,1,251.0,0,21,86.0,39.910379999999996,116.57638999999999,0
living room and comfortable bedroom,丰台区 / Fengtai,Private room,1.0,1.5,2,1,149.0,181,32,96.0,39.84583,116.3555,1
【三元桥/左家庄】自住房屋的温馨客厅沙发（限女性female only）,朝阳区 / Chaoyang,Shared room,1.0,1.0,1,1,108.0,85,57,98.0,39.95663,116.44443000000001,1
"Near airport T1/2/3,apartment",顺义区 / Shunyi,Private room,1.0,1.0,2,1,212.0,0,64,100.0,40.03849,116.59473,1
798艺术区 798 Art Zone 舒适高层公寓 超赞视野大床房,朝阳区 / Chaoyang,Private room,1.0,2.0,2,1,208.0,304,55,100.0,39.98307,116.48557,1
"Lovely room in Wudaokou area, BLCU",海淀区,Private room,1.0,1.0,1,5,250.0,364,51,93.0,39.99067,116.34227,0
