name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
Berlin-Mitte Value! Quiet courtyard/very central,Brunnenstr. Süd,Entire home/apt,1.0,1.0,3,5,52.0,179,134,93.0,52.53454,13.402560000000001,0
Fabulous Flat in great Location,Prenzlauer Berg Südwest,Entire home/apt,1.0,1.0,4,62,90.0,342,147,93.0,52.535,13.41758,0
BerlinSpot Schöneberg near KaDeWe,Schöneberg-Nord,Private room,1.0,1.0,1,7,29.0,364,27,89.0,52.49885,13.34906,0
Stylish East Side Loft in Center with AC & 2 bikes,Frankfurter Allee Süd FK,Entire home/apt,1.0,1.0,2,7,79.0,0,135,99.0,52.51171,13.454770000000002,1
BrightRoom with sunny greenview!,Helmholtzplatz,Private room,1.0,1.0,2,1,33.0,0,293,97.0,52.54316,13.41509,1
In the Heart of Berlin - Kreuzberg,nördliche Luisenstadt,Entire home/apt,1.0,1.0,5,60,90.0,1,48,94.0,52.50479,13.4351,0
Designer Loft in Berlin Mitte,Prenzlauer Berg Südwest,Entire home/apt,2.0,1.0,4,3,159.0,179,86,89.0,52.53695,13.407620000000001,0
Studio in the Heart of Kreuzberg,nördliche Luisenstadt,Entire home/apt,1.0,1.0,4,60,70.0,290,60,95.0,52.50273000000001,13.43462,0
WOHNUNG IN BERLIN ★ MITTE,Brunnenstr. Nord,Entire home/apt,2.0,1.0,2,90,65.0,237,181,94.0,52.53445,13.388370000000002,0
Prenzel garden with leafy terrace (quiet Guests),Brunnenstr. Süd,Entire home/apt,1.0,1.0,5,2,160.0,270,309,95.0,52.53435,13.405579999999999,0
Apartment in the heart of Berlin,Tempelhofer Vorstadt,Entire home/apt,1.0,1.0,4,185,65.0,0,99,90.0,52.489709999999995,13.37975,0
Sunny & Wheelchair accessible,Prenzlauer Berg Südwest,Entire home/apt,2.0,2.5,4,4,135.0,183,21,94.0,52.53079,13.418079999999998,0
Quiet 2 rooms next Helmholtzplatz,Helmholtzplatz,Entire home/apt,2.0,1.0,4,60,80.0,307,76,96.0,52.54179,13.423879999999999,1
PEACEFUL FLAT WITH VINTAGE TOUCH IN PRENZLAUERBERG,Helmholtzplatz,Entire home/apt,2.0,1.0,8,4,116.0,321,304,95.0,52.54597,13.422360000000001,1
Central Bright Bellevue Free Parking WIFI 4G,Moabit Ost,Entire home/apt,1.0,1.0,4,3,70.0,1,213,90.0,52.52195,13.3559,0
Private Room w/ own bath in Design Mitte Loft,Brunnenstr. Süd,Private room,1.0,1.0,2,2,75.0,143,20,99.0,52.535059999999994,13.396989999999999,1
ChimaysaberlinB&B Single Bedroom,Otto-Suhr-Allee,Private room,1.0,0.0,1,1,35.0,365,48,90.0,52.51968000000001,13.30209,0
WONDERFUL ROOM for a bubble in Berlin Central,Schöneberg-Nord,Private room,1.0,1.0,1,10,35.0,365,25,93.0,52.493759999999995,13.36408,0
Weekend in Berlin Party Center - II,südliche Luisenstadt,Private room,1.0,1.5,3,2,40.0,89,203,90.0,52.49847,13.440129999999998,0
