name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
HARBORSIDE-Walk to subway,East Boston,Entire home/apt,1.0,1.0,2,29,125.0,224,18,99.0,42.364129999999996,-71.02991,0
$99 Special!! Home Away! Condo,Roxbury,Entire home/apt,1.0,1.0,4,29,169.0,0,115,96.0,42.32994,-71.09351,1
The Dorset Redline | 3BR 1BA | Walk to Redline for Mass General!,Dorchester,Entire home/apt,3.0,1.0,7,32,129.0,147,52,86.0,42.32212,-71.06096,0
Private room & bath - Jamaica Plain,Jamaica Plain,Private room,1.0,1.5,2,28,85.0,233,78,99.0,42.3151,-71.11108,0
Gorgeous Garden Studio Charlestown,Charlestown,Entire home/apt,1.0,1.0,3,29,125.0,89,130,93.0,42.37404,-71.06118000000001,1
Room in geographical heart of Hub,Roxbury,Private room,1.0,1.0,1,14,78.0,171,141,95.0,42.32546,-71.08894000000001,1
Corner 1 bed facing Golden Dome,Beacon Hill,Entire home/apt,1.0,1.0,3,91,90.0,295,44,96.0,42.358670000000004,-71.06331999999999,1
Entire two-bedroom apartment near Longwood,Roxbury,Entire home/apt,2.0,1.0,3,28,100.0,173,120,95.0,42.32546,-71.08894000000001,1
Waterfall Room: Bunker Hill B&B,Charlestown,Private room,1.0,1.0,2,2,140.0,362,54,87.0,42.37853,-71.06177,0
$99* SPECIAL* 2 bed ApT! Location!,Roxbury,Entire home/apt,2.0,1.0,6,29,231.0,1,228,93.0,42.32965,-71.09503000000001,1
Great 2BR in Boston near everything w free parking,Charlestown,Entire home/apt,2.0,1.0,6,91,89.0,12,107,96.0,42.377390000000005,-71.06044,0
In-Law Suite w/Room to Spare :-),Dorchester,Entire home/apt,2.0,1.0,4,7,40.0,171,72,91.0,42.310390000000005,-71.06907,0
"Great Boston neighborhood , Jamaica Plain",Jamaica Plain,Private room,1.0,1.0,1,30,50.0,65,47,99.0,42.3132,-71.11832,1
Serene Studio in a Perfect Location,Jamaica Plain,Entire home/apt,1.0,1.0,2,4,112.0,153,397,97.0,42.31732,-71.10834,1
Private room off the Freedom Trail.,North End,Private room,1.0,1.0,3,3,145.0,89,251,98.0,42.365390000000005,-71.05438000000001,1
BOSTON LUXURY FOR LESS!! NEAR BCEC,South Boston,Entire home/apt,2.0,1.0,4,2,200.0,209,338,97.0,42.330659999999995,-71.03984,1
19th Century Luxury | South End | 1BR 1BA #3,Roxbury,Entire home/apt,1.0,1.0,4,30,280.0,32,93,84.0,42.33821,-71.07978,0
"Near Hospitals, 28 Day Bking Only,OutdoorSpace",South End,Entire home/apt,1.0,1.0,2,28,154.0,0,409,96.0,42.34232,-71.07594,1
Experience Past|Enjoy Present|South End 1BR 1BA #2,South End,Entire home/apt,1.0,1.0,2,30,83.0,21,111,88.0,42.339209999999994,-71.08017,0
Private Room in Spacious Apartment1,Dorchester,Private room,1.0,1.0,1,91,60.0,363,24,88.0,42.30088,-71.0819,0
"Sweet Little House in JP, Boston",Jamaica Plain,Private room,1.0,1.0,2,7,71.0,269,313,96.0,42.31658,-71.11012,1
"Private Floor, Private Bath, City Location",Jamaica Plain,Private room,1.0,1.0,2,91,173.0,0,16,99.0,42.3092,-71.11836,0
BACK BAY/COPLEY FIRST FLOOR ROOM,South End,Private room,1.0,1.0,2,29,148.0,90,175,90.0,42.34523,-71.07282,0
The Grand View Redline | 5BR 2BA | Victorian Home near Boston Medical and Mass General!,Dorchester,Entire home/apt,5.0,2.0,9,29,206.0,290,67,88.0,42.31368,-71.0612,0
The Sawyer RedLine | 2BR 2.5BA | 1st Floor unit on Redline to Mass General and BMC!,Dorchester,Entire home/apt,2.0,2.5,6,32,139.0,0,54,90.0,42.3122,-71.0611,0
