name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
City Centre-Waterside Retreat,Clifton,Private room,1.0,2.5,4,1,66.0,364,143,99.0,51.450509999999994,-2.6105400000000003,1
The White Room -  Central Bristol Art House Garden,Bedminster,Private room,1.0,1.0,1,21,29.0,23,39,95.0,51.44101,-2.60121,0
Peaceful Safe Home & Clear Space 'The Lilac Room',Easton,Private room,1.0,1.5,2,7,30.0,180,21,91.0,51.466409999999996,-2.55533,0
HUGE Room CENTRAL location House,Ashley,Private room,1.0,1.0,3,2,69.0,88,80,94.0,51.46668,-2.5827400000000003,0
Listed Georgian house in the heart of Bristol.,Ashley,Entire home/apt,5.0,3.0,13,2,336.0,345,79,99.0,51.466609999999996,-2.5870900000000003,1
Cosy large room near TV studios & Paintworks,Brislington West,Private room,1.0,1.0,1,2,28.0,28,33,99.0,51.44429,-2.55777,1
Historic Trym House - five star!,Westbury-on-Trym & Henleaze,Private room,2.0,1.5,3,2,70.0,89,61,99.0,51.49508,-2.61715,1
Bristol Luxury Garden Apartment,Ashley,Entire home/apt,1.0,1.0,5,2,91.0,365,255,98.0,51.469409999999996,-2.58166,1
The dog lovers haven,Ashley,Private room,1.0,1.0,2,1,26.0,271,154,98.0,51.46547,-2.58458,1
Modern inner city 3 bed eco house,Redland,Entire home/apt,3.0,2.0,5,2,180.0,316,324,98.0,51.47331,-2.6059799999999997,1
Central Double Room With Your Own Bathroom,Lawrence Hill,Private room,1.0,1.0,2,1,43.0,113,190,99.0,51.455909999999996,-2.57803,1
Edwardian house in central Bristol,Southville,Private room,1.0,1.0,2,1,51.0,121,269,94.0,51.44553,-2.60413,1
"Clifton Village, superfast internet, car permits",Clifton,Entire home/apt,1.0,1.0,4,3,102.0,351,390,97.0,51.45524,-2.62168,1
Big double room ensuite bathroom,Redland,Private room,1.0,1.5,2,2,42.0,53,203,98.0,51.47079,-2.59645,1
BnB in Barn with 2 ensuite Bedrooms,Redland,Entire home/apt,2.0,2.0,5,2,120.0,297,236,97.0,51.47513,-2.60474,1
large ensuite with seating area,Ashley,Private room,1.0,1.5,2,1,69.0,88,166,94.0,51.46665,-2.58284,0
Clifton Towers Bristol B and B,Clifton,Private room,1.0,1.0,2,1,46.0,365,267,98.0,51.45308,-2.61544,1
Tranquil Room near City Centre,Ashley,Private room,1.0,1.5,1,2,37.0,268,309,97.0,51.46307,-2.5798200000000002,1
"Lovely quiet, clean, Double Bed+Single, with tv",Easton,Private room,1.0,1.5,3,1,28.0,0,399,95.0,51.46907,-2.56077,1
"Lovely quiet, clean, cosy room, Double Bed, tv",Easton,Private room,1.0,1.5,2,1,27.0,0,353,96.0,51.46922,-2.56105,1
