name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
"Triplex-2chmbrs,grande sdb,terrasse= tous confort",Molenbeek-Saint-Jean,Entire home/apt,2.0,1.0,5,2,91.0,231,16,88.0,50.85787,4.30809,0
Bright apartment in Ixelles/Louise,Ixelles,Entire home/apt,1.0,1.0,3,5,74.0,363,105,97.0,50.83356,4.36027,0
Grand Famille Luxe,Anderlecht,Entire home/apt,1.0,2.0,6,1,95.0,365,48,87.0,50.84053,4.3363,0
Mimosa,Anderlecht,Entire home/apt,1.0,1.0,4,1,65.0,365,33,92.0,50.83992,4.33636,0
Very close to Grand'Place,Bruxelles,Hotel room,1.0,1.0,2,2,89.0,322,38,99.0,50.84582,4.34954,1
"Gare du Midi - Appart.  ""Lilas""",Anderlecht,Entire home/apt,1.0,1.0,4,1,65.0,365,19,92.0,50.83992,4.33636,0
Big Family / Grande famille 2,Anderlecht,Entire home/apt,1.0,1.0,7,1,80.0,365,77,86.0,50.83992,4.33636,0
3-bedroom Apartment in EU District,Bruxelles,Entire home/apt,3.0,2.0,5,1,151.0,51,120,95.0,50.846070000000005,4.37444,1
Big appt 3 bedroom with Garden,Etterbeek,Entire home/apt,3.0,1.0,8,5,100.0,173,14,86.0,50.8304,4.38454,0
"Duplex, typisch Brussels herenhuis.",Schaerbeek,Entire home/apt,1.0,1.0,4,2,49.0,111,129,96.0,50.873740000000005,4.3813,0
1-bedroom Apartment  in EU District,Bruxelles,Entire home/apt,1.0,1.0,4,1,134.0,294,10,98.0,50.84603,4.374219999999999,1
LOFT JAMAR BRUXELLES GARE DU MIDI,Saint-Gilles,Entire home/apt,1.0,1.0,2,1,100.0,314,187,96.0,50.83896,4.33735,0
"Design studio with garden, Brussels",Ixelles,Entire home/apt,1.0,1.0,2,3,70.0,111,173,96.0,50.825829999999996,4.36798,1
Bright and Charming Apartment with sunny terrace!,Saint-Gilles,Entire home/apt,1.0,1.0,2,2,59.0,25,189,96.0,50.8264,4.34247,1
"Overlooking the Opera,1Bedroom Flat",Bruxelles,Entire home/apt,1.0,1.0,4,1,73.0,363,10,78.0,50.85082,4.35273,0
LovelyViewOpera+Free parking(ask for availability),Bruxelles,Entire home/apt,2.0,2.0,6,1,87.0,365,68,88.0,50.850590000000004,4.35275,0
"2 BRMs in Style, 113 sqm., opp. the Opera House",Bruxelles,Entire home/apt,2.0,1.0,6,1,97.0,364,46,89.0,50.84913,4.3517,0
2 Bedroom Next to The Opera House!,Bruxelles,Entire home/apt,2.0,2.5,6,1,97.0,365,31,87.0,50.8509,4.35262,0
"Overlooking the Opera,2Bedroom Flat",Bruxelles,Entire home/apt,2.0,1.5,6,1,94.0,365,29,92.0,50.84883,4.35157,0
Contemporary Art Flat in Centre,Bruxelles,Entire home/apt,1.0,1.0,3,1,51.0,59,215,97.0,50.85252,4.342219999999999,1
Spacious Art Nouveau Loft & Bird Paradise,Saint-Gilles,Entire home/apt,2.0,1.0,4,5,82.0,365,146,90.0,50.831990000000005,4.34213,0
Amazing Suite in EU District,Bruxelles,Private room,1.0,1.0,3,1,110.0,365,57,96.0,50.84603,4.374219999999999,1
1-Bedroom Apartment in EU District,Bruxelles,Entire home/apt,1.0,1.0,4,1,150.0,365,42,94.0,50.84603,4.374219999999999,1
Elegant Studio-Flat in EU District,Bruxelles,Private room,1.0,1.0,3,1,110.0,365,91,96.0,50.84603,4.374219999999999,1
Cute private suite in EU District,Bruxelles,Private room,1.0,1.0,2,1,102.0,295,90,97.0,50.84603,4.374219999999999,1
Duplex first floor - Brussels,Bruxelles,Entire home/apt,1.0,1.0,3,6,75.0,302,199,94.0,50.84727,4.3644300000000005,0
