name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
Amazing Luxurious Apt-Palermo Soho,Palermo,Entire home/apt,1.0,1.0,2,2,5368.0,327,26,95.0,-34.58184,-58.42415,1
Room in Recoleta - awesome location,Recoleta,Private room,1.0,1.0,1,1,2415.0,365,20,95.0,-34.597609999999996,-58.39468000000001,0
"RELAX IN HAPPY HOUSE - PALERMO, BUENOS AIRES",Palermo,Entire home/apt,1.0,1.0,3,5,3047.0,363,90,96.0,-34.58777,-58.41106,0
DUPLEX LOFT 2 - SAN TELMO,Monserrat,Entire home/apt,1.0,1.0,4,2,3403.0,347,46,86.0,-34.61439,-58.37611,0
Small Duplex Loft in San Telmo (8),Monserrat,Entire home/apt,1.0,1.0,2,2,2684.0,360,22,85.0,-34.614940000000004,-58.37517,0
"Quirky, sunny & spacious - 5 px max",San Telmo,Entire home/apt,2.0,1.0,4,7,6089.0,358,144,93.0,-34.619859999999996,-58.36946999999999,0
PENTHOUSE / best city views !! terrace & pool,Palermo,Entire home/apt,2.0,1.5,4,2,7988.0,139,227,98.0,-34.58183,-58.441430000000004,1
"CHIC, LIGHT, SPACIOUS LOFT APPT- SAN TELMO",Monserrat,Entire home/apt,1.0,1.0,4,6,4231.0,175,48,98.0,-34.61495,-58.37319,1
"BEAUTIFUL, EXCELLENT UBICATION/OBELISK  5 STARS!!!",San Nicolas,Entire home/apt,2.0,1.0,4,1,1533.0,264,343,93.0,-34.602540000000005,-58.37811,0
Amazing LOFTpalermo: contemporary and cool,Chacarita,Entire home/apt,1.0,1.0,2,10,5815.0,89,32,94.0,-34.58681,-58.444759999999995,0
Modern & comfortable apartment at best location,Palermo,Entire home/apt,1.0,1.0,2,4,1612.0,31,24,99.0,-34.58095,-58.40461,1
BEAUTY DUPLEX LOFT #4 SAN TELMO,Monserrat,Entire home/apt,1.0,1.0,5,2,4026.0,360,28,83.0,-34.614940000000004,-58.37517,0
Charming studio in Palermo/Recoleta,Recoleta,Entire home/apt,1.0,1.5,2,4,1789.0,348,86,97.0,-34.591029999999996,-58.40781,0
SPECIAL OFFER Sunny young and great location apt!,Recoleta,Entire home/apt,1.0,1.0,2,3,4030.0,1,11,93.0,-34.589,-58.38665,0
Palermo/Las Cañitas Apartment,Palermo,Entire home/apt,1.0,1.0,3,12,1393.0,298,39,95.0,-34.57148,-58.43246,1
French Classic in San Telmo: Balcony over Defensa!,Monserrat,Entire home/apt,2.0,2.0,4,3,4669.0,191,132,96.0,-34.61578,-58.37175,1
"Quite & Chic, fully equipped, 2Bd, pool & terrace",Palermo,Entire home/apt,2.0,1.5,4,2,6844.0,180,115,97.0,-34.58182,-58.44144,1
Recoleta Classic French-Style 2BDR,Recoleta,Entire home/apt,2.0,1.5,4,7,7157.0,365,101,98.0,-34.58705,-58.38791,1
Gorgeous 2bdrm in Awesome Recoleta,Recoleta,Entire home/apt,2.0,1.5,4,5,2147.0,179,96,88.0,-34.58978,-58.40011,1
Duplex-Loft in  Historic Quartier of Buenos Aires,Monserrat,Entire home/apt,2.0,1.0,4,2,3578.0,349,36,86.0,-34.614940000000004,-58.37517,0
Trendy studio in Villa Crespo!,Villa Crespo,Entire home/apt,1.0,1.0,2,3,2060.0,347,78,94.0,-34.59814,-58.43858,0
Loft with Balcony in Belgrano,Nuñez,Entire home/apt,1.0,2.0,2,3,3134.0,0,140,98.0,-34.55396,-58.467530000000004,1
Luxury Premier Loft with Breathtaking Views  ★★★★★,Palermo,Entire home/apt,1.0,1.5,2,3,8052.0,212,160,99.0,-34.58092,-58.42515,1
Great Apartment in Las Cañitas (Palermo) for 5,Palermo,Entire home/apt,3.0,2.0,5,30,4473.0,365,13,92.0,-34.570040000000006,-58.431180000000005,1
"★ Instaworthy Views, 20th Floor ★ Pool+Gym+Sauna",Palermo,Entire home/apt,1.0,1.0,2,3,4925.0,330,263,98.0,-34.58246,-58.42442,1
Pool Party studio +  Views over the Pool  ❤,Palermo,Entire home/apt,1.0,1.0,2,3,3515.0,277,222,99.0,-34.58251,-58.42321999999999,1
Best Block in Palermo Hollywood,Palermo,Entire home/apt,1.0,1.0,3,3,5994.0,329,142,96.0,-34.58045,-58.432080000000006,1
Recoleta great penthouse  w/private terrace &grill,Recoleta,Private room,4.0,5.5,11,1,34532.0,214,76,91.0,-34.59278,-58.3876,0
"Luxury Sky Loft , Dream View Apartment ★★★★★",Palermo,Entire home/apt,1.0,1.5,2,3,6262.0,357,248,99.0,-34.5814,-58.4251,1
"Beautiful, great location, quiet, Nespresso.",Recoleta,Entire home/apt,1.0,1.0,4,1,1522.0,309,206,93.0,-34.59429,-58.397780000000004,0
"Gorgeous 2bd/2.5 bth, Rooftop Pool, Pal. Hollywood",Palermo,Entire home/apt,2.0,2.5,4,5,10735.0,365,25,89.0,-34.57797,-58.43821,0
High category appartment Belgrano,Palermo,Entire home/apt,1.0,1.0,2,20,2684.0,364,39,97.0,-34.56928,-58.443769999999994,0
Beautiful house in Palermo SOHO,Palermo,Entire home/apt,4.0,2.0,8,3,17624.0,362,22,99.0,-34.5902,-58.429930000000006,1
Palermo Apt - Las Cañitas area,Palermo,Entire home/apt,1.0,1.0,3,14,1252.0,360,27,96.0,-34.57213,-58.43294,1
Nice Studio in Palermo Soho,Palermo,Entire home/apt,1.0,1.0,2,3,3578.0,364,27,84.0,-34.59326,-58.417719999999996,0
Penthouse 2BR with River&Sunrise views,Palermo,Entire home/apt,2.0,2.5,4,3,7681.0,126,67,100.0,-34.58632,-58.43241,1
Amazing apartment in Recoleta,Recoleta,Entire home/apt,1.0,1.5,3,14,1342.0,341,113,96.0,-34.58918,-58.39518,1
Studio Loft in Palermo Soho #1,Palermo,Entire home/apt,1.0,1.0,2,1,1457.0,343,317,95.0,-34.589,-58.42024,0
GUAPO / Amazing Large Studio* with great views.🎈,Palermo,Entire home/apt,1.0,1.0,2,3,3578.0,337,103,99.0,-34.58256,-58.425230000000006,1
Studio In Downtown Buenos Aires,Monserrat,Entire home/apt,1.0,1.0,3,2,4026.0,365,324,93.0,-34.61365,-58.3849,0
Beautiful Duplex - Trendy Palermo,Palermo,Entire home/apt,2.0,1.5,3,14,1866.0,305,20,98.0,-34.56692,-58.433240000000005,1
PALERMO SOHO Cheap Little Apt,Palermo,Entire home/apt,1.0,1.0,2,7,1789.0,365,119,93.0,-34.581070000000004,-58.426019999999994,1
STUDIO DEFENSA 2A en San Telmo,San Telmo,Entire home/apt,1.0,1.0,4,2,3131.0,365,42,90.0,-34.61998,-58.37151,0
STUDIO SOFA CAMA & PATIO,San Telmo,Entire home/apt,1.0,1.0,1,2,2237.0,365,24,85.0,-34.61998,-58.37151,0
Lovely Place at a GREAT Location!,Palermo,Entire home/apt,1.0,1.0,2,3,1584.0,364,19,92.0,-34.582879999999996,-58.40535,0
"Apt in Palermo, Las Cañitas",Palermo,Entire home/apt,1.0,1.5,3,5,3757.0,365,11,88.0,-34.57521,-58.428830000000005,0
Luminous Palermo 1BDR Apartment,Palermo,Entire home/apt,1.0,1.0,2,2,2773.0,364,38,96.0,-34.58332,-58.40643000000001,0
Amazing Studio with Terrace & BBQ,Recoleta,Entire home/apt,1.0,1.0,2,1,2917.0,120,189,95.0,-34.59446,-58.395880000000005,1
Petite Home,Nuñez,Entire home/apt,1.0,1.0,2,6,1789.0,344,41,94.0,-34.5522,-58.45802,1
"Beautiful Apt in great location, 100% Good Reviews",Boedo,Entire home/apt,1.0,1.0,2,5,1197.0,354,45,97.0,-34.62144,-58.41705,1
!! Amazing 1Bdr Great Terrace - BBQ - sun/view !!,Recoleta,Entire home/apt,1.0,1.0,3,1,4920.0,215,178,97.0,-34.59118,-58.396640000000005,1
"Central loc. Entire apt, all incl.",Almagro,Entire home/apt,1.0,1.0,2,5,5985.0,365,45,93.0,-34.62053,-58.41653,1
Great apart with private terrace & chill out area.,Palermo,Entire home/apt,1.0,1.0,2,2,5368.0,292,148,95.0,-34.586,-58.425340000000006,0
