name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
SunsplashedSerenity walk to Harvard & Fresh Pond,West Cambridge,Entire home/apt,2.0,1.0,5,2,150.0,57,36,94.0,42.38329,-71.13616999999999,0
"Lovely Studio Room: Thu-Mons, Near Universities",North Cambridge,Private room,1.0,1.0,3,2,112.0,364,145,95.0,42.394690000000004,-71.13223,1
Near Harvard: Safe & Lovely Room,North Cambridge,Private room,1.0,1.0,1,3,82.0,363,34,98.0,42.39454,-71.13431,1
B & B near Harvard's Quad Houses,Neighborhood Nine,Private room,1.0,1.5,2,2,110.0,336,86,96.0,42.3867,-71.12387,1
Riverbend Bed and Breakfast,West Cambridge,Private room,1.0,1.0,1,2,110.0,365,178,97.0,42.376059999999995,-71.14041,0
Furnished suite 2 @ the Windsor,The Port,Private room,1.0,1.0,2,5,123.0,365,11,88.0,42.36381,-71.09754000000001,1
Cambridge Getaway @ Harvard & MIT,The Port,Entire home/apt,2.0,1.0,5,3,250.0,353,352,97.0,42.3695,-71.09921,1
large furnished suite in Central sq,The Port,Private room,1.0,1.0,3,5,138.0,365,15,96.0,42.3627,-71.09645,1
"""The Treehouse"" :  Elegant living near Harvard",West Cambridge,Entire home/apt,1.0,1.0,4,1,180.0,287,20,93.0,42.38377,-71.13543,0
"A+ Clean & Safe 1Br @ MIT, Kendall, Back Bay",Cambridgeport,Entire home/apt,1.0,1.0,2,10,198.0,334,59,89.0,42.361090000000004,-71.10425,0
Two-room suite near Harvard Univ. with parking,Agassiz,Entire home/apt,1.0,1.0,3,1,80.0,0,224,97.0,42.38247,-71.11403,1
Apartment in Harvard's Backyard,Mid-Cambridge,Entire home/apt,1.0,1.0,4,31,165.0,334,54,95.0,42.37125,-71.11105,0
East Cambridge Apartment,Wellington-Harrington,Entire home/apt,4.0,2.0,7,3,325.0,27,49,99.0,42.37363,-71.08909,1
Elegant Airy Comfort. Workspace. Private Entrance.,North Cambridge,Entire home/apt,3.0,2.0,6,60,350.0,262,256,99.0,42.39475,-71.12548000000001,1
Large Room with Shared Bath,The Port,Private room,1.0,1.0,2,5,36.0,0,134,92.0,42.36598,-71.09909,0
Waterfront-1 Bed Room Luxury Condo,East Cambridge,Private room,1.0,1.0,2,91,180.0,1,14,93.0,42.370740000000005,-71.07722,0
