name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
Malleson Garden Cottage,Ward 57,Entire home/apt,1.0,1.0,2,3,497.0,238,54,97.0,-33.947390000000006,18.476,0
Blaauwberg House,Ward 23,Entire home/apt,3.0,3.0,6,2,2408.0,362,29,96.0,-33.80001,18.46063,0
In hip designer district of Cape T.,Ward 115,Entire home/apt,1.0,1.0,2,14,550.0,282,18,86.0,-33.92876,18.42247,0
VILLA CARRARA W SELF-CATERING-VIEWS renovated May,Ward 115,Entire home/apt,2.0,1.0,4,7,1357.0,361,134,94.0,-33.91073,18.40866,0
Largo House self catering suite,Ward 59,Entire home/apt,1.0,1.0,2,2,475.0,355,57,98.0,-33.97905,18.45676,1
Heritage Home in Cape Town suburbs,Ward 58,Entire home/apt,3.0,3.0,6,5,1024.0,38,14,100.0,-33.95733,18.4881,0
The Original Majestic Apartment - Kalk Bay,Ward 64,Entire home/apt,2.0,2.0,4,4,2000.0,329,16,95.0,-34.12549,18.44792,0
"Stylish Studio With Kitchenette,Pool,Parking &Wifi",Ward 107,Private room,1.0,1.0,2,3,550.0,365,37,95.0,-33.8212,18.48323,1
Stunning Studio Close To The Beach Cape Town,Ward 107,Private room,1.0,1.0,2,3,550.0,365,27,98.0,-33.818490000000004,18.48452,1
Lovely Garden Cottage Close To The Beach Cape Town,Ward 107,Entire home/apt,1.0,1.0,2,3,550.0,365,31,94.0,-33.81933,18.484029999999997,1
Purple House on Jarvis B&B,Ward 115,Private room,1.0,1.0,2,1,1614.0,273,23,100.0,-33.91405,18.41575,0
Apartment Cape Town,Ward 77,Entire home/apt,3.0,2.0,6,2,918.0,0,72,90.0,-33.940670000000004,18.41885,0
Devil's Peak -  Separate Apartment,Ward 77,Entire home/apt,1.0,1.0,2,3,350.0,146,57,88.0,-33.934779999999996,18.427039999999998,0
Perfect Beachfront Apartment,Ward 54,Entire home/apt,2.0,1.0,4,3,1543.0,263,29,89.0,-33.91788,18.38626,0
Unique Town House -Green Point,Ward 115,Entire home/apt,2.0,1.5,4,4,1760.0,92,19,98.0,-33.91113,18.40864,0
ChicShak Self Catering Accommodation in Muizenberg,Ward 64,Entire home/apt,1.0,1.0,2,1,450.0,334,27,96.0,-34.10314,18.47446,0
The Lion Room,Ward 77,Private room,1.0,1.0,2,2,2200.0,1,43,94.0,-33.93326,18.40511,0
Omega 4. Wouldn't you like to safely live here?,Ward 23,Entire home/apt,2.0,1.0,4,2,1022.0,360,20,97.0,-33.80488,18.46716,0
Mid-century House with Breathtaking Views,Ward 77,Entire home/apt,4.0,3.5,8,6,6583.0,80,22,99.0,-33.939029999999995,18.399729999999998,0
Constantia Villa - Cape Town,Ward 77,Private room,1.0,1.0,2,3,929.0,268,91,97.0,-33.93541,18.40407,1
Spacious Heritage Cottage in the City-Safe&Cosy,Ward 115,Entire home/apt,1.0,1.0,2,2,1005.0,346,70,97.0,-33.93164,18.40916,1
Braeside House Loft Apartment,Ward 115,Entire home/apt,1.0,1.0,4,3,1171.0,334,94,96.0,-33.90974,18.40512,0
"Bellevue Manor Guest House, SEA POINT, CAPE TOWN",Ward 54,Private room,10.0,32.0,2,1,884.0,0,27,87.0,-33.91478,18.39179,1
"Kloof Street Cottage, huge deck & panoramic views",Ward 115,Entire home/apt,2.0,1.0,7,2,1156.0,24,146,93.0,-33.931090000000005,18.40717,0
The Lions Private Buffalo Apartment,Ward 77,Entire home/apt,1.0,1.0,2,2,2948.0,296,20,93.0,-33.93099,18.40566,0
Comfortable and pretty room with experienced hosts,Ward 59,Private room,1.0,1.0,1,2,260.0,299,36,98.0,-33.997659999999996,18.4682,0
Braeside House Main Apartment,Ward 115,Entire home/apt,2.0,2.0,4,3,1171.0,323,59,96.0,-33.90974,18.40512,0
SPOIL YOURSELF IN STYLE and COMFORT,Ward 54,Entire home/apt,1.0,1.0,4,90,1250.0,364,19,98.0,-33.92285,18.38273,0
"""Sevensleepers"" Holiday Apartment",Ward 71,Entire home/apt,1.0,1.0,3,3,850.0,361,11,96.0,-34.07028,18.44949,0
