name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
Copenhagen 'N Livin',Nrrebro,Private room,1.0,1.0,2,2,354.0,0,168,96.0,55.68798,12.54571,0
Lovely house - most attractive area,Indre By,Entire home/apt,4.0,1.5,6,3,2400.0,363,50,98.0,55.69163,12.574589999999999,0
Best Location in Cool Istedgade,Vesterbro-Kongens Enghave,Entire home/apt,1.0,1.0,2,7,725.0,177,22,98.0,55.67069,12.5543,0
"Very central and cozy, new kitchen",Vesterbro-Kongens Enghave,Entire home/apt,1.0,1.0,3,2,750.0,301,17,97.0,55.66744,12.55516,0
120 m2  artist flat on Vesterbro,Vesterbro-Kongens Enghave,Entire home/apt,1.0,2.0,3,3,930.0,54,73,98.0,55.67296999999999,12.55327,0
Unique space on greatest location,Indre By,Entire home/apt,2.0,1.0,4,5,2317.0,349,11,100.0,55.685719999999996,12.56749,0
"Modern, Cosy & Central - Vesterbro!",Vesterbro-Kongens Enghave,Entire home/apt,1.0,1.0,2,3,823.0,364,67,95.0,55.66781999999999,12.54843,0
10 min. from city centre on bike,Nrrebro,Private room,1.0,1.0,1,30,275.0,83,92,94.0,55.70491,12.55331,0
Clean room in peacefull part of Cph,Frederiksberg,Private room,1.0,1.0,1,5,312.0,0,47,97.0,55.68575,12.53567,0
IN THE HEART OF CPH,Indre By,Entire home/apt,1.0,1.0,3,3,1108.0,364,102,97.0,55.6839,12.567269999999999,1
Copenhagen Exclusive,Frederiksberg,Entire home/apt,4.0,1.0,5,6,1487.0,116,30,96.0,55.68068,12.545810000000001,0
Charming Center of Copenhagen,Indre By,Entire home/apt,4.0,2.0,8,2,1405.0,87,41,94.0,55.684090000000005,12.5629,0
Child friendly in hip area,Nrrebro,Entire home/apt,2.0,1.0,4,4,1500.0,364,24,93.0,55.69132,12.5575,0
"Urban, cultural & child-friendly",Indre By,Entire home/apt,2.0,1.0,6,3,1339.0,301,14,95.0,55.688930000000006,12.56633,0
"2 bdr, super central sunny, balcony",Vesterbro-Kongens Enghave,Entire home/apt,2.0,1.0,6,2,892.0,52,47,92.0,55.670590000000004,12.554680000000001,0
Lovely room in central Copenhagen,Vesterbro-Kongens Enghave,Private room,1.0,1.0,2,2,500.0,56,95,100.0,55.66476,12.54449,1
Family home by Christianshavn Canal,Indre By,Entire home/apt,3.0,1.0,6,2,1705.0,329,82,98.0,55.673280000000005,12.59116,0
Beautiful Frederiksberg,Frederiksberg,Entire home/apt,1.0,1.0,2,6,550.0,363,10,100.0,55.68765,12.532910000000001,0
Cozy apartment on Vesterbro- Copenhagen,Vesterbro-Kongens Enghave,Entire home/apt,1.0,1.0,2,5,695.0,87,43,94.0,55.66723,12.54547,0
Rooftop app. in cozy nørrebro area,Nrrebro,Entire home/apt,1.0,1.0,4,3,775.0,240,36,95.0,55.69003000000001,12.541089999999999,0
Cozy apartment i Copenhagen,Vesterbro-Kongens Enghave,Entire home/apt,2.0,1.0,3,3,1029.0,363,46,99.0,55.66395,12.54902,1
unique apt. in copenhagen,Nrrebro,Entire home/apt,1.0,1.0,2,6,527.0,313,99,95.0,55.69842,12.5506,1
Great apartment in Copenhagen,Vesterbro-Kongens Enghave,Entire home/apt,1.0,1.0,2,5,717.0,1,55,96.0,55.670030000000004,12.548960000000001,0
