name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
MODERN LIVING AND FURNISHINGS,District 2,Entire home/apt,1.0,1.0,3,30,71.0,324,38,95.0,32.818290000000005,-96.81893000000001,1
1BR 1BA Oaklawn Condo Close to Downtown & Uptown,District 14,Entire home/apt,1.0,1.0,2,30,75.0,68,42,99.0,32.81442,-96.81548000000001,0
Goldies Bohemian Loft,District 2,Entire home/apt,1.0,1.5,2,5,75.0,328,29,98.0,32.81304,-96.8154,1
Amazing location walk to Downtown Dallas,District 14,Entire home/apt,1.0,1.0,3,30,169.0,250,68,97.0,32.80158,-96.81116999999999,1
Far North Dallas -- Blue Room,District 12,Private room,1.0,1.0,2,2,55.0,266,15,100.0,32.98769,-96.78918,0
Far North Dallas -- Orange Room,District 12,Private room,1.0,1.0,2,2,40.0,1,23,100.0,32.986909999999995,-96.78981,0
Far North Dallas -- Gray Room,District 12,Private room,1.0,1.0,2,2,50.0,236,17,99.0,32.98709,-96.78789,0
Dallas Home By the Lake: SafeCozy Monthly discount,District 9,Private room,1.0,1.0,2,30,36.0,354,28,99.0,32.85521,-96.70482,1
East Dallas near White Rock Lake,District 9,Entire home/apt,4.0,3.0,8,3,380.0,360,92,99.0,32.858090000000004,-96.68993,1
1928 VINTAGE OAK LAWN APTS SUITE 1,District 14,Entire home/apt,1.0,1.0,2,2,85.0,327,121,100.0,32.820570000000004,-96.80932,1
Cozy 1BD in Lower Greenville Ave,District 14,Entire home/apt,1.0,1.0,2,3,99.0,357,166,99.0,32.816959999999995,-96.76733,1
The Santa Fe Suite and Maxfield Parrish Suite,District 11,Private room,2.0,1.0,4,1,65.0,266,32,93.0,32.92532,-96.79028000000001,0
Beautifully Furnished Condo-Addison,District 11,Entire home/apt,1.0,1.0,2,23,79.0,304,10,98.0,32.95344,-96.79973000000001,1
Sunny/MStreet/SMU/Trendy Greenville/Private Bath,District 14,Private room,1.0,1.0,2,2,70.0,365,96,99.0,32.83141,-96.76348,1
Vintage House Near Center of Dallas,District 1,Private room,1.0,1.0,2,1,50.0,365,648,98.0,32.74605,-96.83386,1
Private Suite in University Park 1 block from SMU,District 14,Private room,1.0,1.0,3,2,70.0,309,106,95.0,32.843090000000004,-96.77801,1
White Rock Lake Apartment Condo,District 2,Entire home/apt,1.0,1.0,2,24,40.0,58,48,88.0,32.808690000000006,-96.73121,0
Private Room in Downtown Townhouse,District 2,Private room,1.0,1.0,3,1,73.0,176,440,99.0,32.77926,-96.79215,1
Beautiful 3BR Downtown Townhome,District 2,Entire home/apt,3.0,3.5,8,2,319.0,233,101,100.0,32.77805,-96.79361999999999,1
Sunny Bedroom/MStreet/SMU/Trendy Greenville Ave,District 14,Private room,1.0,1.0,1,2,70.0,269,35,95.0,32.83464,-96.774,1
Heart of Big D-Home Away from Home,District 6,Entire home/apt,3.0,1.0,6,7,96.0,350,133,92.0,32.87546,-96.85596,0
"Colorful, Contemporary Oak Lawn Townhouse With Worldly Decor",District 2,Private room,1.0,1.0,2,1,95.0,52,418,100.0,32.80787,-96.81200000000001,1
The French House,District 13,Private room,1.0,2.0,4,1,85.0,365,26,94.0,32.90007,-96.84855,0
Uptown - Walk to Everything,District 14,Entire home/apt,1.0,1.0,3,2,108.0,342,210,98.0,32.804320000000004,-96.80247,1
Beautifully Furnished Condo-Addison,District 11,Entire home/apt,1.0,1.0,2,30,89.0,325,16,99.0,32.95497,-96.80233,1
Victor's Old East Dallas Bedroom,District 2,Private room,1.0,1.0,2,5,50.0,310,45,97.0,32.79883,-96.75814,0
"Queen, Walk in Shower-TV-- Internet",District 12,Private room,1.0,1.0,2,1,78.0,365,11,100.0,32.992459999999994,-96.83539,1
real Bohemian NYC-style Art loft!,District 7,Private room,1.0,1.0,6,1,159.0,180,280,94.0,32.77945,-96.76949,0
Sunny/Quiet/MStreet/SMU/Trendy GreenvilleAve,District 14,Private room,1.0,1.0,2,2,70.0,331,25,95.0,32.83368,-96.77316,1
"Beautiful 2-BR/BA House, close  to downtown.",District 14,Entire home/apt,2.0,2.0,4,5,85.0,96,22,91.0,32.79453,-96.78635,1
Amber's first floor bedroom,District 2,Private room,1.0,1.0,2,5,50.0,331,31,97.0,32.79894,-96.75947,0
"Uptown - 1 bd #6, WiFi, Parking, Great Location",District 14,Entire home/apt,1.0,1.0,4,3,99.0,361,52,96.0,32.82023,-96.78964,0
Amazing 2 Bedroom Near Uptown!!!,District 2,Entire home/apt,2.0,2.0,5,2,140.0,327,267,98.0,32.807629999999996,-96.81668,1
Queen Size Suite Mid Town Dallas Private Home,District 13,Private room,1.0,1.0,2,3,43.0,82,51,99.0,32.925990000000006,-96.82753000000001,1
European Touch near White Rock Lake,District 9,Private room,1.0,1.0,2,2,65.0,93,36,99.0,32.82059,-96.70947,0
Lone Star Darling,District 1,Entire home/apt,2.0,1.0,4,3,87.0,54,69,97.0,32.745459999999994,-96.85678,1
Artist Ranchette in Bishop Arts District Dallas,District 1,Entire home/apt,2.0,1.0,4,2,148.0,22,178,98.0,32.74835,-96.83162,1
"Uptown – Large 1 bd #1, Free WiFi Parking Cable",District 14,Entire home/apt,1.0,1.0,3,3,99.0,352,32,96.0,32.818059999999996,-96.78965,0
Charming 'M Streets' Guest Cottage,District 14,Entire home/apt,1.0,1.0,4,2,97.0,355,251,97.0,32.828829999999996,-96.76769,0
MELROSE PLACE IN UPTOWN DALLAS 2BD,District 14,Entire home/apt,2.0,2.0,6,30,69.0,359,19,97.0,32.8177,-96.79286,0
Private Room & Bath in Oak Cliff,District 1,Private room,1.0,1.0,2,1,70.0,266,40,99.0,32.7319,-96.8335,1
Craftsman in North Oak Cliff,District 1,Entire home/apt,2.0,1.0,5,2,82.0,270,239,97.0,32.730340000000005,-96.84111999999999,1
Walkable Dallas Urban Retreat By Downtown+KING Bed,District 14,Entire home/apt,2.0,2.5,6,2,199.0,273,85,99.0,32.81453,-96.76312,1
Zoë’s bird nest,District 2,Private room,1.0,1.0,1,5,50.0,295,20,98.0,32.79868,-96.75761999999999,0
Luxury Townhouse! Amazing View!,District 14,Entire home/apt,4.0,3.0,16,1,461.0,298,102,98.0,32.79462,-96.78955,0
Long Term Rental in North Dallas,District 12,Entire home/apt,3.0,2.5,8,2,200.0,333,41,96.0,32.99585,-96.80423,1
Beautiful 3 Story Townhome - Downtown Dallas,District 2,Entire home/apt,3.0,3.5,6,1,273.0,316,171,97.0,32.78035,-96.79131,1
Single family 3 bed 2 baths,District 12,Entire home/apt,3.0,2.0,3,6,80.0,210,20,97.0,32.9951,-96.87108,0
Charming 1Bd in Munger Place,District 14,Entire home/apt,1.0,1.0,2,3,95.0,327,68,100.0,32.79937,-96.76397,1
Dallas Modern Tudor w/Heated Pool and 3 Fireplaces,District 14,Entire home/apt,3.0,3.0,10,1,816.0,346,129,99.0,32.82855,-96.77766,1
"3 Bed 2 Bath, Downtown Townhome, Modern & Peaceful",District 14,Entire home/apt,3.0,2.0,5,28,135.0,207,57,95.0,32.798629999999996,-96.78498,1
Guest Quarters/Efficiency Apartment,District 1,Entire home/apt,1.0,1.0,2,4,57.0,349,48,97.0,32.740359999999995,-96.86984,0
Blackbird Lofts,District 2,Entire home/apt,1.0,2.5,2,3,145.0,260,174,99.0,32.778729999999996,-96.79106,1
"""Suite 16"" in Blackbird Lofts",District 2,Entire home/apt,1.0,1.0,2,1,99.0,220,333,99.0,32.7784,-96.79115,1
Beautifully Furnished in Addison,District 11,Entire home/apt,1.0,1.0,2,30,79.0,304,13,95.0,32.954809999999995,-96.79969,1
Turtle Creek Condo,District 14,Private room,2.0,2.0,2,14,45.0,87,25,100.0,32.803059999999995,-96.81036999999999,0
Luxury in hottest neighborhood!,District 14,Private room,1.0,1.0,2,1,100.0,358,10,100.0,32.81222,-96.76324,1
"CONDO 1500 sq ft  PRIVATE sleep 5, master king bed",District 12,Entire home/apt,2.0,2.0,5,14,88.0,144,24,98.0,32.99487,-96.84272,1
Secluded Treasure in the Heart❤️ of the City,District 9,Entire home/apt,1.0,1.0,2,3,67.0,164,444,99.0,32.808409999999995,-96.71194,1
Cozy Loft near Gexa Energy Pavillion,District 5,Entire home/apt,1.0,1.0,2,3,47.0,59,187,97.0,32.76833,-96.69152,1
Dallas/Bishop Arts Farmhouse,District 1,Entire home/apt,3.0,2.0,6,1,135.0,310,117,98.0,32.74973,-96.83471999999999,1
THE BEST DALLAS HAS TO OFFER WITH POOL AND SPA!!,District 10,Entire home/apt,5.0,5.5,16,3,614.0,1,161,98.0,32.89583,-96.73042,1
Lovely 1930s Craftsman,District 14,Entire home/apt,2.0,2.0,2,1,100.0,229,13,100.0,32.80507,-96.74336,0
Cozy Room with Private Bathroom_long term rental,District 14,Private room,1.0,1.5,2,5,59.0,364,16,96.0,32.81641,-96.80331,0
Cozy Room with Private Bathroom_long term rental,District 14,Private room,1.0,1.5,2,5,54.0,364,49,94.0,32.81439,-96.80629,0
* PRIVATE ENTRY * KING BED * COMFY * THE J SUITE *,District 12,Entire home/apt,1.0,1.0,1,1,43.0,22,421,99.0,32.9623,-96.7691,0
Town house home in heart of uptown,District 14,Private room,1.0,1.0,2,2,80.0,365,34,98.0,32.812670000000004,-96.81087,0
Contemporary Townhouse in Oaklawn,District 2,Private room,1.0,1.0,2,1,83.0,364,101,99.0,32.80728,-96.81300999999999,1
Lakehouse Private Dock & Hot Tub Casa Del Lago,District 9,Entire home/apt,4.0,2.0,16,2,500.0,181,70,100.0,32.929829999999995,-96.51609,1
Lovely home near White Rock Lake,District 9,Entire home/apt,2.0,2.0,4,2,160.0,111,61,100.0,32.85187,-96.70685999999999,1
The Purple House of Bishop Arts,District 1,Entire home/apt,3.0,2.0,6,2,166.0,160,182,99.0,32.74981,-96.82939,1
Historic Oaklawn Home on Gated Lane,District 14,Entire home/apt,4.0,3.0,12,2,249.0,329,192,89.0,32.81187,-96.8103,0
1918 East Dallas Home,District 14,Entire home/apt,4.0,4.5,12,3,326.0,337,124,98.0,32.80338,-96.75506,1
Vickery Tree House/Lower Greenville,District 14,Entire home/apt,1.0,1.0,2,7,65.0,251,20,97.0,32.82414,-96.76554,1
Brentfield House,District 12,Entire home/apt,4.0,3.0,8,2,425.0,168,11,95.0,32.974000000000004,-96.78742,0
Cozy Living Room in 1B/1B Apartment,District 12,Shared room,1.0,1.0,2,1,29.0,52,33,98.0,33.01048,-96.84465,0
COZY 1 BEDROOM IN NORTH DALLAS,District 11,Private room,1.0,1.0,3,2,71.0,364,47,98.0,32.95754,-96.80946,0
1000sf 2-story condo Knox/Henderson,District 14,Entire home/apt,1.0,1.5,2,30,116.0,349,19,98.0,32.819590000000005,-96.79409,0
"Private  room (queen), bath & office/media room",District 12,Private room,1.0,1.0,2,2,47.0,361,46,97.0,33.0082,-96.83439,0
Oak Cliff Tiny House—Tranquil Oasis Near Bishop Art District,District 1,Entire home/apt,1.0,1.0,2,2,98.0,330,361,100.0,32.75533,-96.84328000000001,0
Walk 4 minutes to the train.  Why rent a car!,District 6,Private room,1.0,1.0,2,3,35.0,362,48,99.0,32.9183,-96.89368,0
1928 VINTAGE OAK LAWN APTS SUITE 2,District 14,Entire home/apt,1.0,1.0,2,2,85.0,298,71,99.0,32.82202,-96.80962,1
Charming pet friendly bungalow/central location!,District 13,Entire home/apt,1.0,1.0,2,3,91.0,339,217,99.0,32.85627,-96.84056,1
"Uptown - 1 bd  #7, WiFi, Parking, Bistros & Shops",District 14,Entire home/apt,1.0,1.0,3,3,99.0,347,22,95.0,32.81816,-96.78931999999999,0
"Condo near Uptown, Starbucks, Whole Foods and more",District 14,Entire home/apt,2.0,2.0,4,30,70.0,297,31,97.0,32.84513,-96.76135,1
Peace Pad Retreat in the M Streets,District 14,Entire home/apt,1.0,1.0,2,14,110.0,329,19,95.0,32.83198,-96.77129000000001,1
Private Cottage Near Medical Center & Love Field.,District 2,Entire home/apt,1.0,1.5,2,1,102.0,70,628,99.0,32.82631,-96.82229,1
Beautifully Furnished Condo-Addison,District 11,Entire home/apt,1.0,1.0,2,30,79.0,344,17,94.0,32.954409999999996,-96.80011999999999,1
Historic Sanctuary in the City | Hera House,District 14,Entire home/apt,1.0,1.0,2,2,70.0,359,56,98.0,32.81426,-96.77004000000001,0
SMU Condo Near Uptown. 1300 sq ft 2/2,District 14,Entire home/apt,2.0,2.0,6,30,79.0,1,27,95.0,32.845929999999996,-96.76149000000001,1
Industrial Chic Stay in Oaklawn 207,District 2,Entire home/apt,1.0,1.0,2,30,59.0,332,16,98.0,32.808,-96.81286999999999,1
Cottage in Oak Cliff,District 1,Private room,1.0,2.0,2,1,49.0,31,47,100.0,32.73403,-96.85313000000001,1
"Spacious house 4BR/3,5BA + pool/spa near DFW",District 6,Entire home/apt,4.0,3.5,10,2,338.0,314,162,98.0,32.94233,-96.96563,1
"So-Cozy, Refined Guesthouse with a Patio in Uptown",District 14,Entire home/apt,1.0,1.0,2,3,107.0,338,346,99.0,32.81627,-96.8118,1
Cozy M Street Apt 2BR/1BA; Perfect for Biz Travel,District 14,Entire home/apt,2.0,1.0,4,3,99.0,0,38,97.0,32.82768,-96.76335,0
Stay in Style! Heart of Dallas 106,District 2,Entire home/apt,1.0,1.0,2,30,62.0,144,16,94.0,32.808,-96.81286999999999,1
Oaklawn furnished monthly rental 104,District 2,Entire home/apt,1.0,1.0,2,28,54.0,288,17,92.0,32.808,-96.81286999999999,1
Cozy Bishop Arts-Private Room,District 1,Private room,1.0,2.0,2,1,70.0,45,23,100.0,32.75416,-96.83062,0
Googie's sunlit sanctuary,District 2,Private room,1.0,1.0,2,5,65.0,365,36,97.0,32.79765,-96.75905999999999,0
Dallas Bungalow - White Rock Lake,District 9,Entire home/apt,1.0,1.0,2,30,91.0,349,130,99.0,32.84391,-96.74181999999999,1
Charming 1 bedroom apt in historic home,District 14,Entire home/apt,1.0,1.0,4,2,95.0,335,93,99.0,32.802170000000004,-96.75537,1
★Bedroom in Cozy Dallas M-Streets Home,District 14,Private room,1.0,1.0,2,1,88.0,63,109,98.0,32.8332,-96.76477,1
Quaint Guest Cottage Highland Park/Dallas,District 14,Entire home/apt,1.0,1.0,2,1,110.0,295,178,99.0,32.82315,-96.79593,1
Pecan Cottage,District 9,Entire home/apt,1.0,1.0,3,28,84.0,222,25,100.0,32.80787,-96.71524000000001,1
Private room in Central Dallas,District 14,Private room,1.0,1.0,2,2,55.0,81,338,98.0,32.79557,-96.7933,1
Corporate Apt! Modern Loft/Perfect Uptown Locale!,District 14,Entire home/apt,1.0,1.0,4,29,85.0,177,19,99.0,32.817190000000004,-96.80585,1
Bedroom in a 2 /1 apt,District 2,Private room,1.0,1.0,1,3,26.0,360,46,90.0,32.81921,-96.82069,0
