name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
Sit in the Peaceful Garden of the Chickadee Cottage in LoHi,Highland,Entire home/apt,2.0,1.0,3,3,134.0,36,138,100.0,39.76703,-105.00256,1
Lodo / RiNo LOFT  via airport train,Five Points,Entire home/apt,1.0,1.5,3,185,179.0,363,87,97.0,39.76551,-104.97901999999999,0
Comfortable  - and a great value!,North Park Hill,Private room,1.0,1.0,3,1,54.0,0,606,97.0,39.753609999999995,-104.91237,1
private,North Park Hill,Private room,1.0,1.0,2,29,45.0,111,156,97.0,39.75438,-104.91156000000001,1
Alexandra's Queen Bed Room LONG-TERM RENTAL,North Capitol Hill,Private room,1.0,1.0,2,30,36.0,361,254,99.0,39.74503,-104.97756000000001,0
Highland Park Guest House,West Highland,Entire home/apt,1.0,1.0,2,4,85.0,342,79,98.0,39.761790000000005,-105.02845,1
Affordable S. Denver Guest House,Overland,Entire home/apt,1.0,1.0,2,3,77.0,196,176,98.0,39.66787,-104.98969,0
Comfy King Size Room (Park Hill),South Park Hill,Private room,1.0,1.0,2,29,90.0,56,205,98.0,39.74955,-104.93238999999998,1
Luxury Wash Park Home Great for Families & Groups,Washington Park,Entire home/apt,5.0,4.0,12,3,325.0,84,27,99.0,39.69688,-104.96231999999999,0
treetop view bedroom  east dwntwn ./  4-6 weeks,South Park Hill,Private room,1.0,1.0,1,29,41.0,120,120,95.0,39.7416,-104.93613,1
Highland Snug,Highland,Private room,1.0,1.5,4,30,100.0,223,11,100.0,39.757059999999996,-105.01021999999999,0
Denver Penthouse 5*Location DIA 33 Minutes $10.50,Union Station,Entire home/apt,2.0,1.5,4,30,165.0,0,63,99.0,39.75475,-105.00533,0
Washington Park Stunning Townhouse,Washington Park West,Entire home/apt,3.0,2.5,6,29,223.0,282,141,96.0,39.69859,-104.9813,0
Private room in the nest - w/bathroom,Baker,Private room,1.0,1.0,4,7,55.0,235,100,99.0,39.71816,-104.9962,1
Private room In the heart of Denver,City Park West,Private room,1.0,1.5,2,3,55.0,88,326,97.0,39.7413,-104.96933999999999,1
Downtown and Modern by Hospital.,City Park West,Entire home/apt,1.0,1.0,2,60,111.0,74,203,96.0,39.744279999999996,-104.96285,1
"TreeHouseSuite, in Healing Center ~30 DAYS OR MORE",City Park West,Private room,1.0,1.0,2,30,50.0,333,153,95.0,39.740320000000004,-104.96,1
a REAL warehouse LOFT,Five Points,Entire home/apt,2.0,1.0,4,180,200.0,365,38,92.0,39.76746,-104.97948000000001,0
1890 townhome in popular LoHi! 2018-BFN-0009355,Highland,Entire home/apt,2.0,2.0,4,29,122.0,56,163,98.0,39.76659,-105.00957,1
