name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
Geneva center - Hosting females,Commune de Genève,Private room,1.0,1.5,1,30,72.0,363,57,94.0,46.2014,6.155069999999999,1
Perfect Cozy Bedroom Close to Lake & Transport,Commune de Genève,Private room,1.0,1.5,1,1,90.0,146,49,97.0,46.19704,6.16076,1
Room in an amazingflat linked to UN,Commune de Genève,Private room,1.0,1.5,1,6,75.0,329,27,97.0,46.19004,6.16014,0
Central apartment by the lake,Commune de Genève,Entire home/apt,1.0,1.0,4,14,135.0,144,73,90.0,46.2042,6.16067,1
Lovely flat by Geneva lake,Versoix,Entire home/apt,1.0,1.0,5,5,80.0,276,104,92.0,46.27944,6.1672400000000005,1
"Stylish loft in Pâquis, next to UN",Commune de Genève,Entire home/apt,1.0,1.5,2,3,150.0,340,104,97.0,46.21428,6.1461,1
Top location 1 block from the lake!,Commune de Genève,Entire home/apt,1.0,1.5,2,3,157.0,62,91,96.0,46.20682,6.15526,1
5th Sky (Downtown Geneva),Commune de Genève,Private room,1.0,1.5,2,1,125.0,87,47,96.0,46.21092,6.14588,0
Nice little place near the lake!,Commune de Genève,Entire home/apt,1.0,1.0,1,3,108.0,1,29,95.0,46.20508,6.15822,1
Very spacious apartment in Geneva!,Commune de Genève,Entire home/apt,3.0,2.5,5,3,290.0,174,131,95.0,46.19327,6.15306,0
Room on Spacious flat close to UN,Commune de Genève,Private room,1.0,1.0,2,2,199.0,0,24,94.0,46.21699,6.1273599999999995,0
"UN, ILO,GF,WHO,WIPO, UNHCR room+bath+kitchen indpt",Commune de Genève,Entire home/apt,1.0,1.0,1,7,90.0,237,81,96.0,46.22388,6.13371,1
"Cozy, central and calm Appartment",Commune de Genève,Entire home/apt,1.0,1.0,3,3,78.0,311,64,94.0,46.20932,6.137169999999999,0
Bedroom(#1) in new furnished apartment,Grand-Saconnex,Private room,1.0,2.0,2,7,40.0,0,55,83.0,46.23507,6.12345,0
Romantic Flat in the City Centre,Commune de Genève,Entire home/apt,2.0,1.0,4,7,114.0,331,28,87.0,46.20117,6.131390000000001,0
