name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
Upcountry Hospitality in the 'Auwai Suite,South Kohala,Entire home/apt,1.0,1.0,2,3,150.0,281,11,88.0,20.0274,-155.702,1
Hale Koa Studio & 1 Bedroom Units!!,South Kona,Entire home/apt,1.0,1.0,2,5,85.0,272,168,93.0,19.43119,-155.88079,0
Keauhou Villa,North Kona,Entire home/apt,3.0,3.0,6,6,239.0,203,23,97.0,19.56413,-155.96347,0
Kauai  Ocean View 3 Story Tiki Tower Princeville,North Shore Kauai,Entire home/apt,3.0,3.0,6,2,295.0,274,109,95.0,22.219720000000002,-159.46958,1
"Beachfront Maui Sunset Condo, Kihei/Wailea",Kihei-Makena,Entire home/apt,1.0,2.0,4,4,212.0,293,28,90.0,20.7547,-156.45666,0
Stay in the Heart of Kona,North Kona,Entire home/apt,2.0,2.0,4,3,98.0,129,230,89.0,19.60709,-155.97423999999998,0
Keolamauloa Homestead,Hamakua,Entire home/apt,2.0,1.0,4,3,120.0,195,28,99.0,20.02889,-155.40747,1
"All Inclusive that has it all, Sleeps 8, Hot Tub",Koolaupoko,Entire home/apt,2.0,1.0,8,30,250.0,204,24,97.0,21.3393,-157.70216000000002,1
Ocean View Jacuzzi suite - 5min walk to Beach,Lahaina,Private room,1.0,1.0,2,3,218.0,284,102,97.0,20.90087,-156.68327,1
Oceanfront Bali House w/ Hot tub @ Kehena Beach,Puna,Entire home/apt,2.0,2.0,6,3,199.0,144,134,97.0,19.39402,-154.9306,1
Luana Kai Oceanfront Condo by Owner,Kihei-Makena,Entire home/apt,1.0,1.0,4,2,129.0,150,131,95.0,20.75874,-156.4567,0
Main Lodge at Hawaiian Retreat,Puna,Entire home/apt,2.0,1.0,6,3,75.0,287,112,88.0,19.52052,-154.84521999999998,0
Volcano Forest Escape 3BDRM Rental House,Puna,Entire home/apt,3.0,2.0,13,1,204.0,0,46,94.0,19.434479999999997,-155.22177,0
Poipu AC Gorgeous Ocean Front Condo,Koloa-Poipu,Entire home/apt,2.0,1.0,4,3,525.0,273,26,93.0,21.87066,-159.44808999999998,0
Cute Hale Sugar Shack 2,South Kona,Entire home/apt,1.0,1.0,2,7,118.0,207,65,97.0,19.45944,-155.88244,1
STEPS TO THE BEACH 1 BEDROOM CONDO,Lahaina,Entire home/apt,1.0,1.0,3,3,145.0,273,208,90.0,20.95466,-156.68706,0
2 BdRm - Cozy Condo near Kaanapali!,Lahaina,Entire home/apt,2.0,1.0,4,4,144.0,212,69,94.0,20.95486,-156.68415,0
"Ocean Escape, Your Perfect Spot!",Primary Urban Center,Entire home/apt,1.0,1.0,5,90,169.0,307,72,96.0,21.27508,-157.82213000000002,1
Mountain Retreat. Affordable Luxury,Primary Urban Center,Entire home/apt,1.0,1.0,5,90,149.0,315,69,97.0,21.2737,-157.8217,1
Waimea Bay North Shore Ocean Front (with AC),North Shore Oahu,Entire home/apt,3.0,2.0,6,5,503.0,0,38,98.0,21.63956,-158.06233999999998,1
HawaiianJungleHangout,Puna,Entire home/apt,2.0,1.0,4,3,95.0,341,292,94.0,19.552960000000002,-154.96262,1
Hawaiian Jungle Hut,Puna,Private room,1.0,1.0,2,3,58.0,359,148,92.0,19.55797,-154.96773000000002,1
Great 1 Bdrm Across fr Beach OceanView! Start $129,Kihei-Makena,Entire home/apt,1.0,1.0,4,2,159.0,250,267,97.0,20.7191,-156.44511,1
Sunset Suite - steps to the ocean,Kihei-Makena,Entire home/apt,2.0,1.0,2,4,235.0,3,180,99.0,20.74076,-156.45547,1
