name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
Beautiful oasis of plants & art @ best location,Central & Western,Entire home/apt,1.0,1.0,3,3,1135.0,174,134,97.0,22.283520000000003,114.15018,1
Central Centre 5 min walk to/from Central MTR,Central & Western,Entire home/apt,2.0,1.0,6,2,613.0,365,272,89.0,22.28407,114.1557,0
Entire Flat - Next to Man Mo Temple,Central & Western,Entire home/apt,1.0,1.5,2,1,2631.0,365,14,93.0,22.282220000000002,114.14833999999999,0
Fabulous 2 Bdrm Aprt Open kitchen,Central & Western,Entire home/apt,2.0,1.0,6,2,845.0,365,207,93.0,22.28868,114.14493999999999,0
Soho off Hollywood Road P4,Central & Western,Entire home/apt,2.0,1.0,6,2,613.0,364,224,86.0,22.28651,114.14873999999999,0
Soho off Hollywood Road P3,Central & Western,Entire home/apt,2.0,1.0,6,2,613.0,337,232,86.0,22.286939999999998,114.14855,0
Creative Residence in Yau Ma Tei,Yau Tsim Mong,Private room,1.0,1.0,2,1,700.0,365,17,100.0,22.309829999999998,114.16911,0
Bright Studio - Soho - Central HK,Central & Western,Entire home/apt,1.0,1.0,2,1,750.0,215,163,98.0,22.28291,114.15137,1
"8 mins HKCEC, 5 mins MTR Wan Chai, nr Causeway Bay",Wan Chai,Entire home/apt,2.0,1.0,4,7,969.0,296,241,95.0,22.27928,114.17124,0
FANTASTIC (HK) in the heart of HK,Wan Chai,Entire home/apt,3.0,2.0,11,3,1480.0,364,252,88.0,22.27938,114.17368,0
Beautiful 3 bedroom designer Apt,Yuen Long,Entire home/apt,3.0,2.0,6,4,953.0,328,38,97.0,22.46592,113.98207,0
Budget Apt 1-5 px Tsim Sha Tsui Mtr,Yau Tsim Mong,Entire home/apt,1.0,1.0,5,1,550.0,124,221,91.0,22.29701,114.17138,0
Cosy apartment in central Kowloon,Yau Tsim Mong,Entire home/apt,2.0,1.0,3,4,535.0,365,60,95.0,22.32193,114.16213,0
GREEN NEST IN  SHEUNG WAN HEART,Central & Western,Entire home/apt,1.0,1.0,4,1,850.0,357,208,93.0,22.28341,114.14738,0
"GreatStudio NewDecor, Nice Area 3rd",Central & Western,Entire home/apt,1.0,1.0,2,2,502.0,353,187,91.0,22.28505,114.14211,0
High floor/Bay view in Kowloon !!,Kowloon City,Private room,1.0,1.0,1,2,250.0,364,232,94.0,22.31188,114.18773999999999,1
Mixed Dorm Bed#1/Wan Chai/close to MTR,Wan Chai,Shared room,1.0,3.0,8,1,127.0,365,113,89.0,22.27825,114.17698999999999,0
Mixed Dorm Bed#2/Wan Chai/close to MTR,Wan Chai,Shared room,1.0,2.0,8,1,127.0,365,204,92.0,22.27825,114.17698999999999,0
Mixed Dorm Bed#3/Wan Chai/close to MTR,Wan Chai,Shared room,1.0,3.0,8,1,127.0,365,45,82.0,22.27825,114.17698999999999,0
Mixed Dorm Bed#4/Wan Chai/close to MTR,Wan Chai,Shared room,1.0,2.0,8,1,127.0,365,25,89.0,22.27825,114.17698999999999,0
Mixed Dorm Bed#A/Wan Chai/close to MTR,Wan Chai,Shared room,1.0,3.0,8,1,127.0,365,163,89.0,22.27825,114.17698999999999,0
Mixed Dorm Bed#B/Wan Chai/close to MTR,Wan Chai,Shared room,1.0,3.0,8,1,127.0,365,28,90.0,22.27825,114.17698999999999,0
Modern family-friendly suite in fishing village,Islands,Hotel room,1.0,1.0,5,1,1685.0,31,10,94.0,22.25386,113.86401000000001,0
Budget Studio1-5p Tsim Sha Tsui MTR,Yau Tsim Mong,Entire home/apt,1.0,1.0,5,1,450.0,124,298,90.0,22.298460000000002,114.17233,0
Deluxe Room@Espace Elastique-Tai O,Islands,Hotel room,1.0,1.0,3,1,1170.0,32,28,94.0,22.25592,113.86183,0
Standard Rm@Espace Elastique-Tai O,Islands,Hotel room,1.0,1.0,3,1,831.0,35,19,97.0,22.25437,113.86371000000001,0
"""Lotus""-Zen styled room @Espace Elastique of Tai O",Islands,Hotel room,1.0,1.0,2,1,600.0,35,66,90.0,22.254089999999998,113.86228999999999,0
SPACIOUS SEA VIEW 3BR 2 BATH | KIDS & PETS OK,Islands,Entire home/apt,3.0,2.0,12,5,1200.0,179,177,87.0,22.30631,114.00862,0
