name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
Runyon Canyon  | Beau Furn Mir Mini-Suite Fireplac,Hollywood,Private room,1.0,1.5,1,30,71.0,315,28,97.0,34.09768,-118.34602,1
Zen Life at the Beach,Santa Monica,Private room,1.0,1.0,1,1,155.0,365,21,94.0,34.00475,-118.48127,0
Tiny Home in Artistic Oasis near Venice and LAX,Del Rey,Private room,1.0,1.0,2,30,42.0,1,310,96.0,33.9875,-118.432,1
Zen Room with Floating Bed near Venice and LAX,Del Rey,Private room,1.0,1.0,3,30,65.0,283,230,95.0,33.9875,-118.432,1
Artist Oasis near Venice Beach w/ Beautiful Garden,Del Rey,Entire home/apt,2.0,1.0,4,30,130.0,15,128,93.0,33.9875,-118.432,1
Run Runyon | Beau Furn Rm  Dres Rm/Wlk-In Clst Ter,Hollywood,Private room,1.0,1.5,1,30,71.0,260,24,95.0,34.095209999999994,-118.34801000000002,1
Sunny and Private 2nd story Queen Bedroom,Bellflower,Private room,1.0,1.0,2,1,55.0,0,12,98.0,33.8761,-118.11509,0
"Quiet,Walkable Area/Sanitized/CozySpot",Atwater Village,Entire home/apt,1.0,1.0,4,1,89.0,99,241,99.0,34.115429999999996,-118.2609,1
City Place Lofts,Long Beach,Private room,1.0,1.5,2,2,80.0,0,393,95.0,33.772059999999996,-118.18893,0
"Bright Apt, walk to Venice Beach",Venice,Private room,1.0,1.0,1,30,85.0,365,48,95.0,33.99638,-118.47733999999998,1
Burnham Beach Hse Retreat,Redondo Beach,Private room,1.0,1.5,1,1,70.0,314,137,97.0,33.838229999999996,-118.38569,1
CASAMIGOS,Mid-Wilshire,Private room,1.0,2.0,2,30,74.0,87,45,99.0,34.05437,-118.35641000000001,0
1 King Bed Room - Hotel Sea Rock Inn - Los Angeles,Harbor Gateway,Private room,1.0,1.0,2,1,80.0,362,39,90.0,33.90442,-118.29128,0
1930's Spanish Duplex on 9th St,Mid-Wilshire,Entire home/apt,2.0,1.0,5,30,155.0,0,10,98.0,34.058640000000004,-118.34352,1
Burnham Beach Cottage 1,Redondo Beach,Entire home/apt,1.0,1.0,4,2,165.0,348,174,97.0,33.83847,-118.38521999999999,1
"Glamour Calls Us A Haven of Peace, Modern Architectural Zen Hollywood Hills",Hollywood Hills,Entire home/apt,1.0,1.0,2,5,281.0,52,27,99.0,34.11959,-118.32056000000001,1
ARCHITECTURAL GEM IN A GREAT VENICE LOCATION!,Venice,Entire home/apt,3.0,2.0,6,31,356.0,345,30,96.0,33.99025,-118.45374,0
