name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
Amazing duplex-terrace in old Lyon,5e Arrondissement,Entire home/apt,3.0,2.0,6,14,250.0,162,55,94.0,45.76321,4.82911,0
Nice Flat in the center of Lyon,1er Arrondissement,Entire home/apt,1.0,1.0,4,2,70.0,363,20,97.0,45.76962,4.8275,0
"Centre of old town,home sweet home",5e Arrondissement,Entire home/apt,2.0,1.0,4,3,60.0,28,118,95.0,45.7593,4.825480000000001,0
"Bel apartment, 2 rooms, Lyon center",6e Arrondissement,Entire home/apt,1.0,1.0,4,3,88.0,0,20,96.0,45.76854,4.85312,0
Apartment in the heart of the city,1er Arrondissement,Entire home/apt,3.0,1.0,6,2,130.0,174,285,91.0,45.76695,4.832409999999999,1
Beautiful appartment well located,3e Arrondissement,Entire home/apt,1.0,1.0,4,2,75.0,12,13,100.0,45.74753,4.86698,1
very pleasant and located idealment,7e Arrondissement,Entire home/apt,3.0,1.0,6,2,120.0,362,18,95.0,45.75104,4.83795,0
triple room in a big flat,3e Arrondissement,Private room,1.0,1.0,3,1,22.0,0,104,94.0,45.75775,4.8764400000000006,0
Roomy and luminous apartment,3e Arrondissement,Private room,3.0,2.5,6,2,72.0,0,20,94.0,45.74817,4.87162,1
"★SAXE & THE CITY★ 90m², Quiet, Balcony, Clean++ ❤️",3e Arrondissement,Entire home/apt,3.0,1.5,8,1,155.0,342,215,97.0,45.75383,4.847580000000001,1
Charming Flat in old Town center,5e Arrondissement,Entire home/apt,1.0,1.0,4,2,79.0,364,381,96.0,45.76419,4.82794,0
Studio situé au cœur historique de Lyon,1er Arrondissement,Entire home/apt,1.0,1.0,2,3,66.0,361,110,97.0,45.76846,4.82951,1
"in downtown LYON, your little PROVENCE",1er Arrondissement,Entire home/apt,3.0,1.0,5,4,90.0,0,69,91.0,45.76872,4.83024,0
Chambre calme proche gare SNCF,3e Arrondissement,Private room,1.0,1.0,2,1,60.0,267,39,94.0,45.75398,4.87246,0
Charming rooftop house terrace and view Fourviere,1er Arrondissement,Entire home/apt,1.0,1.0,4,3,112.0,243,38,98.0,45.76504,4.83301,0
Nice flat in Old Lyon - St Georges,5e Arrondissement,Entire home/apt,1.0,1.0,2,1,58.0,364,19,94.0,45.758829999999996,4.82572,0
"old lyon ,  charming apartment",5e Arrondissement,Entire home/apt,1.0,1.0,2,3,98.0,364,31,97.0,45.758140000000004,4.82704,1
Nice and quiet two rooms flat,1er Arrondissement,Entire home/apt,1.0,1.0,2,6,80.0,349,13,85.0,45.76903,4.83281,0
Great Design Loft / Centre of Lyon 110 sq,1er Arrondissement,Entire home/apt,1.0,1.0,4,2,89.0,179,66,93.0,45.77045,4.83485,1
Une grande chambre confortable.,3e Arrondissement,Private room,1.0,1.0,2,1,54.0,142,172,94.0,45.759409999999995,4.84133,1
Grand Appartement Familial Vieux Lyon / Vue Saône,1er Arrondissement,Entire home/apt,4.0,2.0,7,4,250.0,155,12,100.0,45.76815,4.82179,0
ARTIST LOFT in the heart of Lyon,1er Arrondissement,Entire home/apt,1.0,1.0,3,1,65.0,347,47,92.0,45.77043,4.83346,0
"❤️   Lyon 70 m² Quiet, with Balcony, Clean++ ❤️",6e Arrondissement,Entire home/apt,2.0,1.5,4,1,115.0,278,173,96.0,45.76648,4.849469999999999,1
A LOVELY BEDROOM IN VIEUX-LYON,2e Arrondissement,Private room,1.0,1.0,2,1,52.0,87,290,95.0,45.75598,4.82565,1
Lovely typical flat in the old Lyon,5e Arrondissement,Entire home/apt,2.0,1.0,4,2,102.0,13,46,93.0,45.757690000000004,4.8240300000000005,1
Très bel appartement lumineux,1er Arrondissement,Entire home/apt,1.0,1.0,2,3,95.0,148,35,98.0,45.766890000000004,4.83515,0
quiet room in Lyon croix rousse,4e Arrondissement,Private room,1.0,1.0,2,1,45.0,90,40,94.0,45.77994,4.83804,0
Flat 50m² in central town,3e Arrondissement,Entire home/apt,1.0,1.0,4,60,45.0,318,34,92.0,45.75309,4.85157,0
"cottage in ""Monchat""",3e Arrondissement,Entire home/apt,2.0,1.0,4,3,146.0,104,38,98.0,45.74345,4.88462,1
