name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
"Rooftop terrace room ,  ensuite bathroom",Hispanoamérica,Private room,1.0,1.0,2,1,50.0,180,78,98.0,40.457240000000006,-3.67688,1
Bright and airy room,Cármenes,Private room,1.0,1.0,1,4,31.0,364,33,92.0,40.40341,-3.74084,0
"Select the Madrid more ""cool"".",Justicia,Entire home/apt,2.0,1.5,4,3,115.0,358,68,98.0,40.41995,-3.6976400000000003,1
Single Room whith private Bathroom,Legazpi,Private room,1.0,1.0,1,2,26.0,365,149,94.0,40.38985,-3.69011,0
Great Vacational Apartments,Sol,Entire home/apt,1.0,1.0,2,5,65.0,365,170,93.0,40.41552,-3.7034599999999998,0
COZY APARTMENT CIBELES-GRAN VIA-PTA DEL SOL-CHUECA,Justicia,Entire home/apt,1.0,1.0,4,3,78.0,240,118,93.0,40.419779999999996,-3.6973,1
Holiday Apartment Madrid Center,Universidad,Entire home/apt,1.0,1.0,3,5,90.0,365,48,93.0,40.42096,-3.7042800000000002,0
"Amazing Apartment, Salamanca Distri",Goya,Entire home/apt,2.0,2.0,3,10,82.0,336,55,97.0,40.427609999999994,-3.67604,0
Habitación para féminas en el centro de Madrid,Palacio,Private room,1.0,1.0,1,1,40.0,365,17,99.0,40.419709999999995,-3.71256,0
MAGIC ARTISTIC HOUSE IN THE CENTER OF MADRID,Justicia,Private room,1.0,1.5,3,1,58.0,286,79,91.0,40.4208,-3.69878,0
Habitación Metro Lacoma,Peñagrande,Private room,1.0,1.0,2,2,21.0,364,35,95.0,40.48409,-3.7225699999999997,1
Tu hogar en centro de Madrid.,Universidad,Entire home/apt,1.0,1.0,2,5,51.0,2,41,97.0,40.42365,-3.7088900000000002,1
"Heart of Malasaña Cozy, Quiet & Sunny Apartment",Universidad,Entire home/apt,1.0,1.0,4,28,54.0,226,20,83.0,40.42252,-3.7025,1
Sunny attic duplex flat with terrace next to Sol,Embajadores,Entire home/apt,3.0,1.5,5,2,66.0,180,108,91.0,40.4115,-3.7044900000000003,0
Estudio Museo Dino,Embajadores,Entire home/apt,1.0,1.0,3,3,63.0,1,56,95.0,40.40743,-3.69719,0
"Retiro Park, Stay at cosy studio",Recoletos,Entire home/apt,1.0,1.0,2,3,63.0,0,108,96.0,40.42315,-3.6827900000000002,0
Cool Apart. (10min Center + WIFI),Embajadores,Entire home/apt,1.0,1.0,2,2,44.0,0,185,93.0,40.40865,-3.70534,0
