name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
Room in Cool Deco Apartment in Brunswick East,Moreland,Private room,1.0,1.0,2,4,28.0,0,145,89.0,-37.76651,144.98074,0
St Kilda 1BR+BEACHSIDE+BALCONY+WIFI+AC,Port Phillip,Entire home/apt,1.0,1.0,2,3,95.0,0,42,94.0,-37.85999,144.97662,0
Melbourne - Old Trafford Apartment,Casey,Entire home/apt,3.0,1.0,5,1,99.0,296,154,97.0,-38.05725,145.33936,1
CLOSE TO CITY & MELBOURNE AIRPORT,Darebin,Private room,1.0,1.0,2,7,40.0,0,159,94.0,-37.69729,145.00082,0
Tranquil Javanese-Style Apartment in Oakleigh East,Monash,Entire home/apt,1.0,1.0,4,2,99.0,325,211,98.0,-37.8996,145.11446999999998,1
Private Bedroom GymPoolTennis 8trams SuperService,Port Phillip,Private room,1.0,1.0,2,1,60.0,0,45,94.0,-37.8316,144.96903999999998,0
Très Charming in Fabulous Richmond,Yarra,Entire home/apt,1.0,1.0,2,5,101.0,0,178,98.0,-37.81804,145.00441999999998,1
Central City Warehouse Apartment,Melbourne,Entire home/apt,1.0,1.5,6,2,240.0,322,270,98.0,-37.814859999999996,144.96267,1
Richmond CITY EDGE 60s COOL 1BR+WIFI+AC,Yarra,Entire home/apt,1.0,1.0,2,3,94.0,0,70,92.0,-37.82127,144.99408,0
"Kew Tranquility, Melbourne",Boroondara,Private room,1.0,1.0,1,2,45.0,361,173,96.0,-37.8037,145.03396,1
Stunning Fitzroy +private bathroom 'Little George',Yarra,Private room,1.0,1.0,2,2,100.0,11,535,99.0,-37.80689,144.97946000000002,1
Blissful Beachside Port Melbourne Warehouse,Port Phillip,Private room,1.0,1.5,2,2,90.0,316,108,99.0,-37.84098,144.9364,1
2 bedrooms-ideal for friends/family,Stonnington,Private room,2.0,1.0,2,2,80.0,359,146,95.0,-37.8531,144.99012,0
Richmond CENTRAL PARK EDGE 1BR+WIFI,Yarra,Entire home/apt,1.0,1.0,2,3,85.0,0,80,89.0,-37.81541,145.00157,0
Studio apartment on Collins Street,Melbourne,Entire home/apt,1.0,1.0,2,2,130.0,360,255,98.0,-37.81595,144.96606,1
Garden Bungalow with the Possums,Kingston,Entire home/apt,1.0,1.0,4,3,96.0,276,81,96.0,-37.99031,145.07744,1
Life style on the Beach 豪华的海边生活,Port Phillip,Private room,1.0,1.0,3,3,90.0,179,14,96.0,-37.84317,144.94031,0
Private Room,Melbourne,Private room,1.0,2.0,2,1,48.0,0,10,90.0,-37.77919,144.94041,0
"Fabulous Fitzroy, gorgeous Gertrude St.   No Ikea!",Yarra,Private room,1.0,1.0,2,2,90.0,57,578,99.0,-37.80508,144.97942,1
"Stone's Throw Studio, Belgrave",Yarra Ranges,Entire home/apt,1.0,1.0,2,1,160.0,1,41,98.0,-37.90605,145.35069,1
Healesville Yarra Valley Cottage,Yarra Ranges,Entire home/apt,1.0,1.0,2,2,95.0,319,237,96.0,-37.63282,145.49766,1
"Handy Location, 5Beds, 3bath, 10km to CBD, Austin",Banyule,Entire home/apt,2.0,3.0,5,4,122.0,86,32,93.0,-37.75651,145.03991000000002,0
Elwood CHIC 1BR+WALK TO VILLAGE+WIFI,Port Phillip,Entire home/apt,1.0,1.0,2,3,89.0,0,59,94.0,-37.8786,144.9913,0
Beautiful Northcote home with heart -close to city,Darebin,Private room,1.0,1.0,1,1,40.0,0,18,99.0,-37.76315,144.98578,0
"Double Room, Private Bathroom, Breakfast & Air Con",Boroondara,Private room,1.0,1.0,2,1,63.0,162,92,97.0,-37.8176,145.05913,1
Luxury Melbourne City Apartment,Melbourne,Entire home/apt,1.0,1.0,2,7,180.0,315,21,93.0,-37.8171,144.97676,0
"Carnarvon, Armadale/St KldaE/Caulfl",Glen Eira,Private room,1.0,2.0,2,3,60.0,10,22,95.0,-37.86898,145.02775,0
ROOM IN MODERN TOWNHOUSE Melbourne,Boroondara,Private room,1.0,1.0,1,2,49.0,89,23,97.0,-37.82995,145.05102,0
