name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
CONDESA HAUS  B&B,Cuauhtémoc,Entire home/apt,5.0,5.5,14,1,7293.0,364,49,91.0,19.41006,-99.17645,1
Great space in historical San Rafael,Cuauhtémoc,Entire home/apt,1.0,1.0,2,4,600.0,345,56,97.0,19.43778,-99.15549,1
Entire beautiful duplex in la Roma,Cuauhtémoc,Entire home/apt,1.0,1.5,2,15,1487.0,178,42,100.0,19.42292,-99.15775,0
Spacious Clean Quiet room (own bath) in la Condesa,Cuauhtémoc,Private room,1.0,1.0,2,2,1239.0,175,52,98.0,19.412589999999998,-99.17959,0
"2 bedroom apt. deco bldg, Condesa",Cuauhtémoc,Entire home/apt,2.0,1.0,4,4,1962.0,329,39,98.0,19.41375,-99.17028,0
Beautiful light Studio Coyoacan- full equipped !,Coyoacán,Entire home/apt,1.0,1.0,2,10,929.0,289,102,98.0,19.35601,-99.16167,1
NEW  DESIGNER LOFT,Miguel Hidalgo,Entire home/apt,1.0,1.5,2,4,3676.0,343,10,100.0,19.4313,-99.19438000000001,0
BEST 4BR 4 BH HOUSE IN S. MIGUEL CHAPULTEPEC,Miguel Hidalgo,Entire home/apt,4.0,4.5,14,2,3407.0,336,268,98.0,19.40675,-99.18798000000001,1
Cool room near WTC and Metrobus,Benito Juárez,Private room,1.0,1.0,2,4,250.0,364,71,97.0,19.39549,-99.17616,1
"Huge Luxurious Suite 70's style, perfectly located",Cuauhtémoc,Entire home/apt,1.0,1.5,2,3,1442.0,1,35,94.0,19.4239,-99.1689,0
Colorful and spacious Apt. Family favorite,Cuauhtémoc,Entire home/apt,2.0,1.0,6,3,1146.0,115,97,91.0,19.41057,-99.1773,1
Extraordinarily Spacious Apt. in Condesa,Cuauhtémoc,Entire home/apt,1.0,2.0,3,2,1652.0,89,24,93.0,19.41057,-99.1773,1
Sunny and fresh Retro style Apartment,Cuauhtémoc,Entire home/apt,1.0,1.0,3,5,1225.0,24,64,93.0,19.41057,-99.1773,1
Smack in the Middle of La Condesa,Cuauhtémoc,Entire home/apt,2.0,1.0,4,2,826.0,365,171,91.0,19.41395,-99.17948,0
"Traditional neighborhood: Escandón, Condesa & Roma",Miguel Hidalgo,Entire home/apt,1.0,1.0,2,3,800.0,363,26,91.0,19.40409,-99.17730999999999,0
TRENDY APARTMENT IN ZONA ROSA!! SUPER LOCATION!!,Cuauhtémoc,Entire home/apt,1.0,1.0,3,1,805.0,238,273,96.0,19.4251,-99.17067,1
HIP APARTMENT IN ZONA ROSA!! SUPER LOCATION!!,Cuauhtémoc,Entire home/apt,2.0,2.0,5,1,867.0,365,247,98.0,19.42373,-99.1714,1
"Independent studio, top location",Cuauhtémoc,Private room,1.0,1.0,1,3,620.0,364,80,97.0,19.43516,-99.13806,0
"""Chavela"" Private & Furnished Room",Cuauhtémoc,Private room,1.0,1.0,2,5,298.0,23,16,83.0,19.41328,-99.15513,1
GREAT HOUSE IN S MIGUEL CHAPULTEPEC,Miguel Hidalgo,Entire home/apt,4.0,4.5,14,2,3015.0,336,269,98.0,19.40631,-99.18691,1
Charming 1BR flat in Roma/Condesa,Cuauhtémoc,Entire home/apt,1.0,1.0,3,3,894.0,63,356,95.0,19.41835,-99.17363,1
Great location in Mexico City!,Miguel Hidalgo,Entire home/apt,2.0,2.0,2,5,2008.0,360,13,98.0,19.42686,-99.17838,0
Furnished lovely cozy studio,Cuauhtémoc,Entire home/apt,1.0,1.0,2,1,516.0,356,299,92.0,19.412470000000003,-99.17485,0
"The ""home"" feeling in Mexico City!",Cuauhtémoc,Entire home/apt,2.0,2.0,4,3,1533.0,24,120,96.0,19.43327,-99.14527,1
Perfect parkfront apt full of light,Benito Juárez,Entire home/apt,2.0,2.0,4,3,1431.0,20,35,96.0,19.40042,-99.14806999999999,0
Comfy in the Middle of La Condesa,Cuauhtémoc,Entire home/apt,2.0,1.0,4,2,826.0,329,177,93.0,19.4157,-99.17747,0
2Room new apartment in modern complex,Miguel Hidalgo,Entire home/apt,2.0,2.0,6,2,654.0,358,35,95.0,19.45809,-99.19258,0
"Confortable private room, downtown Mexico City.",Cuauhtémoc,Private room,1.0,1.0,2,3,599.0,365,107,96.0,19.43453,-99.14675,0
WONDERFUL ROOM IN COYOACAN HOUSE,Coyoacán,Private room,1.0,1.5,2,2,307.0,239,193,96.0,19.340339999999998,-99.18345,1
Contemporary chic apartment- Top location,Cuauhtémoc,Entire home/apt,2.0,2.0,4,7,1100.0,20,95,99.0,19.41297,-99.15735,1
Habitación Verde.,Tlalpan,Private room,1.0,1.5,2,2,286.0,364,15,97.0,19.274279999999997,-99.1781,1
"CONDESA COZY, COMFORTABLE APARTMENT",Cuauhtémoc,Entire home/apt,1.0,1.0,2,3,1590.0,176,337,96.0,19.419420000000002,-99.17373,1
Modern 2 Bedroom Apt. Near Reforma,Cuauhtémoc,Entire home/apt,2.0,2.0,4,2,1342.0,344,18,98.0,19.429470000000002,-99.17083000000001,1
"Great Accommodation in Condesa , modern , secure",Cuauhtémoc,Private room,1.0,1.5,1,2,929.0,365,11,93.0,19.411820000000002,-99.17399,0
DISTRITO CONDESA B&B  relax enjoy,Cuauhtémoc,Private room,6.0,6.0,16,1,1350.0,365,46,94.0,19.40746,-99.17482,1
"Room in colonial, green, enjoyable COYOACAN",Coyoacán,Private room,1.0,1.0,2,3,298.0,363,10,92.0,19.34303,-99.15425,1
Colorfull  Mid-Century inspired apartment.,Cuauhtémoc,Entire home/apt,1.0,1.0,2,3,2127.0,360,12,93.0,19.41068,-99.17732,1
Comfy clean Roøm @Cozy apartment,Cuauhtémoc,Private room,1.0,1.5,2,3,681.0,88,53,97.0,19.41238,-99.17721999999999,0
"Condesa, ideal location apartment",Cuauhtémoc,Entire home/apt,1.0,1.5,2,10,1475.0,321,223,98.0,19.40618,-99.17342,1
habitación privada cerca de polanco,Miguel Hidalgo,Private room,1.0,1.0,1,2,207.0,299,44,96.0,19.443379999999998,-99.18841,0
Departamento  Roma Norte- Sanitizado,Cuauhtémoc,Entire home/apt,1.0,1.0,2,1,496.0,365,22,91.0,19.42675,-99.1613,0
bien ubicado📍luminoso +🛌🌙️+10 min Reforma+🌈,Cuauhtémoc,Entire home/apt,1.0,1.0,2,2,700.0,345,23,98.0,19.438979999999997,-99.16141999999999,1
"Deluxe 4-BR penthouse, views, historic center",Cuauhtémoc,Entire home/apt,4.0,3.5,7,3,3862.0,363,23,98.0,19.4345,-99.13877,0
Nice big room near airport,Venustiano Carranza,Private room,1.0,1.0,2,1,318.0,355,152,94.0,19.43852,-99.08118,1
Roma Condesa Espectacular Home,Cuauhtémoc,Entire home/apt,2.0,1.0,4,2,1596.0,322,184,98.0,19.41848,-99.17195,1
"Close to Carso/Antara, cozy place, great location!",Miguel Hidalgo,Private room,1.0,1.0,1,2,599.0,75,24,98.0,19.44236,-99.20128000000001,0
Great Apartment w/Balcony & Excellent Location!,Cuauhtémoc,Entire home/apt,2.0,2.0,4,2,3014.0,363,29,99.0,19.42924,-99.15699000000001,1
Un descanso en CDMX,Cuauhtémoc,Private room,1.0,1.0,1,7,210.0,362,24,99.0,19.45553,-99.15988,1
Centro Histórico Balcón Vista a la ciudad 12D,Cuauhtémoc,Entire home/apt,2.0,2.0,4,2,1195.0,261,51,94.0,19.43374,-99.14616,0
Trendy Condesa nice room for rent..,Cuauhtémoc,Private room,1.0,1.5,2,2,847.0,207,28,94.0,19.40716,-99.17694,0
Beautiful appartement on Reforma,Cuauhtémoc,Entire home/apt,1.0,1.5,2,4,1533.0,300,24,93.0,19.43294,-99.15559,0
House in Xochimilco,Xochimilco,Entire home/apt,3.0,1.0,5,21,613.0,323,12,93.0,19.26501,-99.1134,0
90m2 / Mexico City's Hist. downtown,Cuauhtémoc,Entire home/apt,2.0,1.0,4,3,1362.0,337,169,95.0,19.43826,-99.1366,1
habitacion a 15 min de hospital español,Miguel Hidalgo,Shared room,1.0,1.0,1,2,225.0,114,61,96.0,19.44566,-99.18688,0
"Sunny comfy flat,great location!",Cuauhtémoc,Entire home/apt,1.0,1.0,3,3,1569.0,238,234,97.0,19.41789,-99.17209,1
Lovely studio in colonial San Angel,Álvaro Obregón,Entire home/apt,1.0,1.0,2,2,818.0,361,150,98.0,19.35323,-99.19343,0
"Big Penthouse, Unmatched View. Great Location.",Miguel Hidalgo,Entire home/apt,3.0,2.5,8,6,6174.0,151,89,98.0,19.4143,-99.18042,1
"Comfortable and luminous house, 3 levels, 1-10 prs",Venustiano Carranza,Entire home/apt,4.0,3.0,10,2,1226.0,357,68,91.0,19.41451,-99.11776,0
Modern Complex in Historic District⭐️,Cuauhtémoc,Entire home/apt,2.0,2.0,6,30,1239.0,350,249,95.0,19.43048,-99.14461,1
Simple y Práctico a 2 cuadras de Polanco,Miguel Hidalgo,Entire home/apt,2.0,1.0,4,30,1063.0,364,144,91.0,19.44226,-99.18406,1
"3 Bedrooms, 2 blocks from Polanco - ALL RENOVATED!",Miguel Hidalgo,Entire home/apt,3.0,2.0,6,24,1239.0,299,35,91.0,19.4418,-99.18401999999999,1
New Home sweet Home Roma/Condesa,Cuauhtémoc,Entire home/apt,1.0,1.0,2,3,929.0,53,170,88.0,19.41031,-99.16434,0
Casa Indigo in the Center DF groups until 29 Pers,Cuauhtémoc,Entire home/apt,10.0,5.5,16,1,2375.0,365,102,94.0,19.44371,-99.14442,0
HEART OF CONDESA  ART DECO BUILDING,Cuauhtémoc,Entire home/apt,1.0,1.0,3,1,1322.0,321,284,97.0,19.41362,-99.16603,1
Best Location at La Roma-Condesa,Cuauhtémoc,Entire home/apt,2.0,1.0,4,3,1198.0,360,253,95.0,19.42397,-99.15571,0
Business Suite BEIGE near Reforma,Cuauhtémoc,Hotel room,1.0,1.0,2,2,796.0,353,22,96.0,19.43059,-99.17073,1
A great place to be. ONE,Cuauhtémoc,Private room,1.0,2.0,2,4,350.0,298,82,93.0,19.405739999999998,-99.15776,0
"5 rooms common areas, private residence",Coyoacán,Hotel room,5.0,3.0,10,3,3283.0,363,32,98.0,19.34424,-99.16949,1
LOVELY LITTLE HOUSE COYOACAN,Coyoacán,Entire home/apt,2.0,1.0,3,3,929.0,329,12,98.0,19.34604,-99.15938,0
"Area Sta.Fe,IberoABC Hospital Rooms",Cuajimalpa de Morelos,Private room,2.0,2.5,4,2,500.0,363,27,99.0,19.35213,-99.28565,1
Park views - Santa Fe’s unique,Cuajimalpa de Morelos,Entire home/apt,2.0,2.0,4,20,1900.0,364,29,96.0,19.3602,-99.27062,0
Classic but Modern Apartment in Condesa,Cuauhtémoc,Private room,1.0,1.0,2,2,620.0,360,140,95.0,19.41633,-99.17505,1
AMAZING LOFT in the heart of CDMX,Miguel Hidalgo,Entire home/apt,1.0,1.0,6,4,1372.0,365,48,88.0,19.40243,-99.17828,0
Suite 5 - Suites Condesa Mexico,Cuauhtémoc,Entire home/apt,1.0,1.0,2,30,900.0,300,46,91.0,19.40915,-99.17321,0
Suite 7 - Suites Condesa Mexico,Cuauhtémoc,Entire home/apt,1.0,1.0,2,3,850.0,260,18,97.0,19.40915,-99.17321,0
Apartment with Internet & 2 cable TV's,Coyoacán,Entire home/apt,2.0,1.0,4,1,620.0,238,25,95.0,19.34277,-99.15553,0
ROOMS CASA INDIGO WITH TERRACE AT CITY CENTER,Cuauhtémoc,Private room,1.0,1.5,2,1,413.0,365,123,95.0,19.44346,-99.14766,0
"airy, lovely room in residence, La casa de todos",Coyoacán,Private room,1.0,1.0,2,3,620.0,364,11,95.0,19.34392,-99.16939,1
Business Suite RED near Reforma Av.,Cuauhtémoc,Hotel room,1.0,1.0,2,2,1012.0,353,30,99.0,19.43078,-99.17011,1
"Delightful room facing garden oasis, Jacaranda",Coyoacán,Hotel room,1.0,1.0,2,3,681.0,364,11,92.0,19.34538,-99.17121,1
Business Suite PURPLE near Reforma,Cuauhtémoc,Hotel room,1.0,1.0,2,2,735.0,365,35,99.0,19.43068,-99.17007,1
Business Suite BLUE near Reforma Av,Cuauhtémoc,Entire home/apt,1.0,1.0,2,2,746.0,360,18,98.0,19.4306,-99.17074000000001,1
