name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
The Studio Milan,TIBALDI,Private room,3.0,3.5,1,4,100.0,358,12,98.0,45.44195,9.17797,0
MPX-Center-EXPO Value/Money,BOVISA,Shared room,1.0,1.0,2,2,24.0,179,55,89.0,45.50465,9.16087,0
""" Characteristic Milanese flat""",NAVIGLI,Entire home/apt,1.0,1.0,4,1,150.0,363,15,93.0,45.449909999999996,9.17597,0
Nico & Cynthia's Easy Yellow Suite,VIALE MONZA,Entire home/apt,1.0,1.0,4,3,75.0,234,15,97.0,45.51988,9.2231,0
Nico&Cinzia's Red Easy Suite!,VIALE MONZA,Entire home/apt,1.0,1.0,4,3,71.0,332,29,96.0,45.519420000000004,9.22615,0
COZY FULLY FURNISHED PRIVATE STUDIO CITY CENTER,BUENOS AIRES - VENEZIA,Private room,1.0,1.0,1,2,55.0,110,34,98.0,45.47018,9.20784,1
Giacinto Cosy & clean flat near MM1,VIALE MONZA,Entire home/apt,2.0,1.0,4,3,75.0,219,37,92.0,45.52111,9.227269999999999,0
"Navigli near down town, linked Expo",TICINESE,Entire home/apt,2.0,1.0,4,2,199.0,362,14,81.0,45.45664,9.17662,0
Nico & Cinzia's Pink Suite!,VIALE MONZA,Entire home/apt,2.0,1.0,5,3,76.0,251,26,90.0,45.52213,9.22693,0
Very Nice Luxury Apt Central Milan,CENTRALE,Entire home/apt,1.0,1.0,2,20,62.0,89,353,85.0,45.48023,9.20181,0
Charming Apt in the heart of Milan,XXII MARZO,Entire home/apt,2.0,2.0,4,2,140.0,80,95,98.0,45.46739,9.20786,1
Chiara & Mesopotamia: Charmy & Lightly home,SARPI,Private room,1.0,1.0,2,1,100.0,364,165,97.0,45.48207,9.17906,1
BRERA LOVELY STUDIO FOR YOU 3,BRERA,Entire home/apt,1.0,1.0,2,2,101.0,356,84,94.0,45.46953,9.192039999999999,0
Brera Open Space Bianco sul Tetto,BRERA,Entire home/apt,1.0,1.0,2,2,150.0,226,174,97.0,45.47251,9.18522,0
Appartamento Design a Sant'Ambrogio,DUOMO,Entire home/apt,1.0,1.0,1,2,70.0,1,269,97.0,45.46102,9.17591,0
BRERA  LOVELY WHITE BOAT STUDIO 2,BRERA,Entire home/apt,1.0,1.0,2,2,70.0,355,70,97.0,45.46978,9.192260000000001,0
Special loft Navigli/Bocconi/Duomo,TICINESE,Entire home/apt,1.0,1.0,3,2,90.0,145,45,97.0,45.448440000000005,9.1822,0
Sunny Apartment Milan,ISOLA,Entire home/apt,1.0,1.0,2,3,79.0,364,10,99.0,45.490190000000005,9.196589999999999,0
PORTA ROMANA SPACIOUS 1BR FLAT - 10 MIN TO DUOMO!,PORTA ROMANA,Entire home/apt,1.0,1.0,4,3,96.0,178,63,97.0,45.4509,9.2117,0
Nice room with private bathroom,LAMBRATE,Private room,1.0,1.0,2,2,23.0,0,462,92.0,45.47057,9.24333,0
Cozy apartment for rent in Milano!!,LAMBRATE,Entire home/apt,1.0,1.0,6,2,45.0,49,37,95.0,45.4708,9.24082,0
The Family Loft|Parking| Istituto dei Tumori,LAMBRATE,Entire home/apt,2.0,2.0,3,1,77.0,14,59,99.0,45.47251,9.24645,1
Beautiful original loft with garden,NAVIGLI,Entire home/apt,2.0,1.0,4,2,150.0,363,12,89.0,45.44678,9.16347,0
Nice quiet room in Navigli district,NAVIGLI,Private room,1.0,1.0,2,2,30.0,1,10,100.0,45.44716,9.17269,0
Elegant Apartment - Milano downtown,GUASTALLA,Entire home/apt,1.0,1.0,3,2,90.0,365,62,97.0,45.47169,9.19748,0
Spacious luminous central flat,XXII MARZO,Private room,1.0,1.0,1,5,55.0,364,10,96.0,45.46635,9.21423,0
44 Suite Harmony Central train Station,CENTRALE,Entire home/apt,1.0,1.0,2,1,70.0,9,444,94.0,45.48336,9.20513,1
Nice Loft close to C.so Como Milan,ISOLA,Entire home/apt,1.0,1.0,4,1,95.0,365,38,99.0,45.487120000000004,9.193,1
Dbl/Trpl Room metro M5 Marche 8' from Central St.,MACIACHINI - MAGGIOLINA,Private room,1.0,1.0,2,1,28.0,75,108,84.0,45.49765,9.19382,0
NiceRoom & SofàBed under the Roof !,ISOLA,Private room,1.0,1.0,2,2,65.0,264,33,96.0,45.4875,9.19183,1
