name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
Central comfy close to Metro Laurie,Le Plateau-Mont-Royal,Private room,1.0,1.0,2,2,38.0,42,245,93.0,45.53069,-73.58588,0
Lovely studio Quartier Latin,Ville-Marie,Entire home/apt,1.0,1.0,4,2,133.0,343,330,94.0,45.51939,-73.56482,1
Maison historique - Quartier Latin,Ville-Marie,Entire home/apt,2.0,1.0,5,3,252.0,352,69,92.0,45.519290000000005,-73.56493,1
Downtown/Airport room,Le Sud-Ouest,Private room,1.0,1.0,1,2,40.0,318,153,90.0,45.48467,-73.57995,0
Romantic & peaceful Plateau  loft,Le Plateau-Mont-Royal,Entire home/apt,1.0,1.0,2,3,130.0,319,39,97.0,45.52836,-73.58341999999999,0
Beautiful room  with a balcony in front of a parc,Ville-Marie,Private room,3.0,1.0,1,10,50.0,365,14,88.0,45.526990000000005,-73.5584,0
"Beautiful Bright, Spacious & Sunny Apartment",Côte-des-Neiges-Notre-Dame-de-Grâce,Entire home/apt,4.0,1.0,5,3,80.0,365,20,89.0,45.468340000000005,-73.60695,0
L'Arcade Douce (CITQ 271530),Rosemont-La Petite-Patrie,Entire home/apt,1.0,1.0,4,3,65.0,37,134,98.0,45.54157,-73.60736999999999,1
Hidden treasure on the Plateau,Le Plateau-Mont-Royal,Entire home/apt,2.0,1.0,2,7,100.0,38,46,98.0,45.52908,-73.57499,0
Bright Open Concept 2 Storey Home,Le Plateau-Mont-Royal,Entire home/apt,2.0,1.5,6,5,206.0,0,20,96.0,45.51979,-73.57737,0
Furnished bedroom and private bath-newly renovated,Dorval,Private room,1.0,1.0,3,1,53.0,365,80,98.0,45.44239,-73.76493,1
Large Loft in Historic Old Montreal,Ville-Marie,Entire home/apt,1.0,1.0,2,3,90.0,0,265,92.0,45.50584,-73.55601999999999,0
"WiFi-PRIVATE cute,cozy, comfortable",Mercier-Hochelaga-Maisonneuve,Entire home/apt,1.0,1.0,2,700,28.0,365,15,91.0,45.546279999999996,-73.53676,0
"Large, sunny house near Old MTL",Le Sud-Ouest,Entire home/apt,4.0,2.5,8,3,185.0,238,23,97.0,45.478159999999995,-73.5551,0
Romantic garden studio in Plateau,Le Plateau-Mont-Royal,Entire home/apt,1.0,1.0,2,30,110.0,339,79,97.0,45.52975,-73.58400999999999,0
Country feeling loft in Plateau,Le Plateau-Mont-Royal,Entire home/apt,1.0,1.0,3,3,143.0,0,23,100.0,45.529959999999996,-73.58219,0
Nice apartment in Little-Italy,Villeray-Saint-Michel-Parc-Extension,Entire home/apt,1.0,1.0,3,90,99.0,134,61,97.0,45.53757,-73.61762,1
Plateau Charm,Le Plateau-Mont-Royal,Entire home/apt,2.0,1.0,4,30,182.0,365,29,96.0,45.51915,-73.57871999999999,0
House in Plateau neighbourhood,Le Plateau-Mont-Royal,Entire home/apt,4.0,2.0,6,10,170.0,365,18,98.0,45.519090000000006,-73.57489,0
"Charming aparthotel, little Italie",Villeray-Saint-Michel-Parc-Extension,Entire home/apt,1.0,1.0,3,32,99.0,163,72,96.0,45.53767,-73.61806999999999,1
Quiet place with garden in Mile End (Plateau),Le Plateau-Mont-Royal,Entire home/apt,2.0,1.0,5,1,130.0,364,39,96.0,45.52668,-73.60036,0
Charming studio in Plateau heart,Le Plateau-Mont-Royal,Entire home/apt,1.0,1.0,2,32,111.0,0,117,98.0,45.53026,-73.58357,0
Cozy apartment with exceptional view in Old Port,Ville-Marie,Entire home/apt,1.0,1.0,4,180,118.0,0,91,97.0,45.50405,-73.55989,0
Sunny appartment on the Plateau,Le Plateau-Mont-Royal,Private room,1.0,1.0,1,7,29.0,257,101,95.0,45.53713,-73.5671,0
Cosy apartment in Little Burgundy,Le Sud-Ouest,Entire home/apt,1.0,1.0,2,35,65.0,218,24,100.0,45.4885,-73.57528,0
Cosy Studio apartment,Rosemont-La Petite-Patrie,Entire home/apt,1.0,1.0,2,31,90.0,259,16,95.0,45.54396,-73.59828,0
Hogan 60 -Entire Furnished apartment,Le Plateau-Mont-Royal,Entire home/apt,1.0,1.0,2,31,71.0,76,12,97.0,45.53882,-73.56102,1
The Cocooning in the heart of Rosemont,Rosemont-La Petite-Patrie,Entire home/apt,2.0,1.0,3,7,80.0,1,29,97.0,45.54673,-73.57181,1
Family apt (La Famille) - Plateau Mont Royal,Le Plateau-Mont-Royal,Entire home/apt,2.0,1.0,4,3,79.0,44,517,98.0,45.52953,-73.58010999999999,0
"Plateau Mont-Royal  9 beds/12persons, AC",Le Plateau-Mont-Royal,Entire home/apt,3.0,2.0,12,3,340.0,1,242,98.0,45.51551,-73.57166,1
Blue Sunny Room,Rosemont-La Petite-Patrie,Private room,1.0,1.0,2,2,36.0,363,70,94.0,45.54931,-73.57338,1
06- Furnished apartment all inclusive,Le Plateau-Mont-Royal,Entire home/apt,1.0,1.5,1,3,33.0,350,13,98.0,45.539390000000004,-73.56204,1
Cozy and beautiful room in Montreal,Le Sud-Ouest,Private room,1.0,1.0,2,1,45.0,318,23,96.0,45.47854,-73.58641999999999,0
Apt top furnished - close downtown,Côte-des-Neiges-Notre-Dame-de-Grâce,Entire home/apt,2.0,1.0,4,7,130.0,0,62,97.0,45.48214,-73.62863,0
Chez Brasil - Color House,Rosemont-La Petite-Patrie,Entire home/apt,1.0,1.0,4,5,63.0,256,17,99.0,45.55337,-73.56184,0
Le Montreal - Charming apartment (Atwater market),Le Sud-Ouest,Entire home/apt,1.0,1.0,4,90,83.0,227,18,92.0,45.481120000000004,-73.55869,1
"Large apartment, terrace and garden",Le Plateau-Mont-Royal,Entire home/apt,4.0,2.0,8,4,150.0,257,22,96.0,45.53246,-73.58453,1
Beautiful sun-filled Studio,Baie-d'Urfé,Entire home/apt,1.0,1.0,2,2,70.0,278,159,97.0,45.414190000000005,-73.90768,0
"7 beds, LARGE 3BR HOME NEAR METRO,HEC,DOWNTOWN,JGH",Côte-des-Neiges-Notre-Dame-de-Grâce,Entire home/apt,3.0,1.0,8,2,200.0,328,74,95.0,45.496590000000005,-73.63385,0
Petit confortable hôtel au centre-ville Montréal,Ville-Marie,Private room,1.0,1.0,2,2,100.0,0,22,98.0,45.51654,-73.56088000000001,1
Charmant appartement équipé,Villeray-Saint-Michel-Parc-Extension,Entire home/apt,1.0,1.0,3,32,125.0,253,22,98.0,45.53836,-73.61923,1
Lovely studio in little garden,Le Plateau-Mont-Royal,Entire home/apt,1.0,0.0,1,30,96.0,274,45,96.0,45.52851,-73.58399,0
"Modern, quiet Studio",Villeray-Saint-Michel-Parc-Extension,Entire home/apt,1.0,1.0,2,3,81.0,365,34,92.0,45.55225,-73.60056999999999,1
Magnificent Family Home in Mile End,Le Plateau-Mont-Royal,Entire home/apt,4.0,2.0,6,7,375.0,365,10,96.0,45.5212,-73.59176,0
"Le Laurier, exquisite loft",Rosemont-La Petite-Patrie,Entire home/apt,3.0,1.5,5,7,135.0,31,15,98.0,45.5467,-73.57182,1
Sunny apt on Tree-lined st. Plateau,Le Plateau-Mont-Royal,Entire home/apt,1.0,1.0,4,31,65.0,1,38,98.0,45.53587,-73.5753,0
"Bright,Mont-Royal metro steps away",Le Plateau-Mont-Royal,Entire home/apt,3.0,1.0,6,28,195.0,0,92,97.0,45.525079999999996,-73.58386999999999,0
Plateau Mont-Royal Apt. - Last Minute Opportunity,Le Plateau-Mont-Royal,Entire home/apt,2.0,1.0,3,14,90.0,340,34,99.0,45.52727,-73.57637,1
Little Italy : the paradise !!!!,Rosemont-La Petite-Patrie,Entire home/apt,2.0,1.0,5,3,160.0,0,208,94.0,45.53326,-73.60784,0
The heart of the Plateau Mt-Royal,Le Plateau-Mont-Royal,Entire home/apt,3.0,2.0,6,7,95.0,237,11,89.0,45.53095,-73.58915999999999,0
Le Tierra - Private Parking & Huge Backyard,Le Sud-Ouest,Entire home/apt,1.0,1.0,6,1,71.0,340,140,94.0,45.47996,-73.55864,1
Nice & Sunny Condo in HoMa,Mercier-Hochelaga-Maisonneuve,Entire home/apt,1.0,1.0,2,2,90.0,318,26,92.0,45.54673,-73.54175,0
"Sunny, stylish and good vibes",Rosemont-La Petite-Patrie,Entire home/apt,2.0,1.0,4,2,130.0,178,13,97.0,45.550270000000005,-73.58759,0
Modern & Cozy Condo Heart of Plateau,Le Plateau-Mont-Royal,Entire home/apt,2.0,1.0,4,2,146.0,0,94,99.0,45.52028,-73.58039000000001,0
Beautiful condo downtown Montreal!,Le Plateau-Mont-Royal,Entire home/apt,1.0,1.0,2,90,100.0,364,14,95.0,45.509859999999996,-73.57479000000001,0
Magnifique appartement - 2 ch - Plateau Mt-Royal,Le Plateau-Mont-Royal,Entire home/apt,2.0,2.0,4,31,140.0,365,11,94.0,45.51914,-73.5667,0
br. fully equip short/ long term,Saint-Laurent,Private room,1.0,1.0,1,31,40.0,318,36,92.0,45.523709999999994,-73.68066999999999,0
Superb cottage Mile-End Plateau !,Le Plateau-Mont-Royal,Entire home/apt,3.0,1.0,8,30,180.0,349,52,98.0,45.5253,-73.60703000000001,0
Charming and Clean ! 5 min Métro,Villeray-Saint-Michel-Parc-Extension,Entire home/apt,1.0,1.0,4,180,64.0,196,22,93.0,45.55127,-73.59975,1
Mile-End loft w/bagels & wifi!,Le Plateau-Mont-Royal,Entire home/apt,1.0,1.0,5,30,52.0,324,33,95.0,45.52459,-73.59616,1
Nice NDG independant Garden Studio,Côte-des-Neiges-Notre-Dame-de-Grâce,Entire home/apt,1.0,1.0,2,21,45.0,135,51,99.0,45.463570000000004,-73.63372,1
Loft sur le Plateau avec terrasse,Le Plateau-Mont-Royal,Entire home/apt,1.0,1.0,2,30,45.0,227,61,96.0,45.52896,-73.57274,1
"Bedroom on the Lachine canal, wifi",Le Sud-Ouest,Private room,1.0,1.0,1,33,24.0,321,11,88.0,45.47786,-73.57134,1
Room with garden in Mile End,Le Plateau-Mont-Royal,Private room,1.0,1.0,1,1,39.0,365,16,97.0,45.52668,-73.60154,0
Double room with private room + garden in Mile End,Le Plateau-Mont-Royal,Private room,1.0,1.0,2,1,65.0,0,13,90.0,45.52698,-73.60096999999999,0
Plateau cozy studio with balcony,Le Plateau-Mont-Royal,Entire home/apt,1.0,1.0,2,3,119.0,365,67,98.0,45.52841,-73.58409,0
Small room in a wonderful house,Mercier-Hochelaga-Maisonneuve,Private room,1.0,2.0,1,31,32.0,299,22,98.0,45.5562,-73.53277,1
"Bel Appart  Loft Meublé, Plateau",Le Plateau-Mont-Royal,Entire home/apt,1.0,1.0,2,30,150.0,227,10,100.0,45.52073,-73.56683000000001,0
Beautiful LOFT in the Plateau MTL,Le Plateau-Mont-Royal,Entire home/apt,1.0,1.0,4,365,220.0,364,15,100.0,45.51815,-73.58261999999999,0
"Classic Plateau, ideal location, all inclusive",Le Plateau-Mont-Royal,Entire home/apt,1.0,1.0,2,40,40.0,49,25,90.0,45.5325,-73.57518,0
Montreal downtown condo.,Le Sud-Ouest,Entire home/apt,2.0,1.5,5,31,109.0,365,24,90.0,45.48858,-73.57151,1
