name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
"Charming apartment, Oslo Center, Ro",Frogner,Entire home/apt,2.0,1.0,3,3,1999.0,363,38,97.0,59.91234,10.72384,0
Central big room - ap with balcony,Gamle Oslo,Private room,1.0,1.0,3,4,520.0,365,49,95.0,59.90611,10.78,0
Friendly & spacious in uptown Oslo,Frogner,Entire home/apt,3.0,1.5,8,7,2185.0,358,15,99.0,59.924780000000005,10.71649,0
Trendy Urban Downtown Oslo.,Grünerløkka,Entire home/apt,1.0,1.0,4,3,1262.0,365,20,97.0,59.91975,10.754660000000001,0
Beautiful 3 bedroom penthouse,Gamle Oslo,Entire home/apt,3.0,1.0,5,3,846.0,86,135,91.0,59.907109999999996,10.786,0
"Cozy room in design apartment, central east side",Gamle Oslo,Private room,1.0,1.0,1,7,364.0,65,230,96.0,59.91254,10.77409,1
Bird's nest in the heart of Oslo,St. Hanshaugen,Private room,1.0,1.0,2,5,676.0,363,39,98.0,59.92187,10.74817,1
In the very heart of Oslo,Frogner,Private room,2.0,1.5,3,2,429.0,272,146,98.0,59.919909999999994,10.73192,1
New spacious central 2BR w/terrace,Sagene,Entire home/apt,2.0,1.0,6,100,13724.0,365,36,97.0,59.92978000000001,10.75952,0
Waterfront suite 12 min from centre,Nordstrand,Entire home/apt,2.0,1.0,6,1,678.0,359,256,99.0,59.84859,10.77871,1
"Peaceful, central with balcony.",Sagene,Entire home/apt,1.0,1.0,2,14,697.0,249,10,94.0,59.93275,10.75305,0
Central Room perfect for Solo Traveler,Grünerløkka,Private room,1.0,1.0,1,3,450.0,0,96,96.0,59.91894,10.763160000000001,1
VERY CENTRAL ! - self-served breakfast for 5 days,St. Hanshaugen,Private room,1.0,1.5,1,3,379.0,365,107,95.0,59.919630000000005,10.74973,0
