name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
MARAIS - 2ROOMS APT - 2/4 PEOPLE,Hôtel-de-Ville,Entire home/apt,2.0,1.0,4,10,80.0,362,271,94.0,48.85758,2.35275,1
Paris petit coin douillet,Popincourt,Entire home/apt,1.0,1.0,2,2,75.0,327,26,98.0,48.86227,2.37134,1
"Calm  place in a ""bourgeois"" area !",Élysée,Entire home/apt,1.0,1.0,4,3,90.0,317,40,88.0,48.879,2.31608,0
DOWNTOWN PARIS,Entrepôt,Private room,1.0,1.0,6,1,170.0,365,149,92.0,48.8711,2.3742400000000004,0
Elegant appartment in Montmartre,Buttes-Montmartre,Entire home/apt,1.0,1.0,2,7,100.0,166,16,96.0,48.88434,2.34005,0
Loft very charming in Paris,Gobelins,Entire home/apt,1.0,1.0,3,2,110.0,364,85,98.0,48.82405,2.36828,0
Cozy apartment near Bastille,Popincourt,Entire home/apt,2.0,1.0,4,2,139.0,0,22,100.0,48.8596,2.3783,0
Charming sunny 2BR in Montmartre !,Buttes-Montmartre,Entire home/apt,1.0,1.0,2,7,90.0,180,11,88.0,48.88315,2.34158,0
Montmartre warm duplex and private yard,Buttes-Montmartre,Entire home/apt,1.0,1.0,4,1,54.0,346,58,97.0,48.88365,2.3347700000000002,0
Beautiful apt in Montmartre w/ great terrace,Buttes-Montmartre,Entire home/apt,1.0,1.0,3,5,99.0,42,75,97.0,48.886070000000004,2.34504,0
"Spacious, Light-Filled Apartment",Gobelins,Entire home/apt,1.0,1.0,5,5,70.0,0,30,90.0,48.83616,2.3632299999999997,0
Luxury in St Michel,Luxembourg,Private room,1.0,1.5,4,2,66.0,310,88,98.0,48.85324,2.34171,1
Your Loft / One of a kind / Paris,Buttes-Chaumont,Entire home/apt,1.0,2.0,5,15,63.0,254,10,86.0,48.89566,2.38307,0
A Room in Paris 9e Pigalle,Opéra,Private room,1.0,1.5,1,1,65.0,364,126,95.0,48.88327,2.33292,1
Center of paris: Louvre,Louvre,Entire home/apt,1.0,1.5,2,2,250.0,365,162,93.0,48.86185,2.3434,0
PARIS ROMANTIC MAISONETTE,Panthéon,Entire home/apt,1.0,1.0,4,2,92.0,328,234,95.0,48.83811,2.3541,1
Dominic : Charming 1BR 39m² Parisian apt in the 7th arr,Palais-Bourbon,Entire home/apt,1.0,1.0,4,18,134.0,364,219,92.0,48.85705,2.32525,0
TWO FLOORS apartment in Paris 5eme,Panthéon,Entire home/apt,1.0,2.0,5,2,98.0,343,223,96.0,48.838390000000004,2.35371,1
LUXURIOUS PENTHOUSE+ 80 SQM TERRACE,Reuilly,Entire home/apt,2.0,1.0,5,2,200.0,361,100,96.0,48.84,2.40067,0
