name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
"Alberta Arts 2 bedroom suite, charming 1906 house",Concordia,Entire home/apt,2.0,1.0,3,2,70.0,304,555,98.0,45.56488,-122.63418,1
Lovely SW Victorian w/Bonus Room and Hot Tub,Hayhurst,Entire home/apt,3.0,2.0,5,2,200.0,232,53,94.0,45.48278,-122.72089,1
Mt. Hood View in the Pearl District,Pearl,Entire home/apt,1.0,1.0,4,30,100.0,365,124,98.0,45.52555,-122.68193000000001,1
Grandpa's Bunkhouse-Backyard Studio,Roseway,Entire home/apt,1.0,1.0,2,3,169.0,359,227,97.0,45.54935,-122.58425,1
Perfect Portland Place,Goose Hollow,Entire home/apt,1.0,1.0,2,30,104.0,134,12,100.0,45.52258,-122.69955,1
Sunny SW Artist Studio w/ Hot Tub,Hayhurst,Entire home/apt,1.0,1.0,2,31,90.0,110,49,93.0,45.48294,-122.71921999999999,1
Mt. Tabor Bungalow,Mt. Tabor,Private room,1.0,1.0,2,2,60.0,204,158,98.0,45.506609999999995,-122.60892,1
"Hip, Lively Neighborhood, Spacious Apt.",Boise,Entire home/apt,2.0,1.0,6,2,189.0,359,263,96.0,45.550779999999996,-122.67492,1
Historic Home Located in Central City,Sullivan's Gulch,Entire home/apt,4.0,2.0,12,4,425.0,365,31,99.0,45.53195,-122.64483,0
"Charming Eastmoreland Suite, Pets Okay,  Hot Tub",Eastmoreland,Private room,1.0,1.0,2,2,55.0,357,84,95.0,45.470859999999995,-122.63273000000001,0
Sunny Queen Room FUN Alberta Arts,Sabin,Private room,1.0,3.0,2,30,29.0,357,63,90.0,45.55536,-122.65106000000002,1
Room in Vintage Alberta Bungalow,Beaumont-Wilshire,Private room,1.0,1.0,2,2,60.0,88,169,95.0,45.55748,-122.63038,0
Warm + Cozy Apt nr Dining Plz message host 1st+Thx,Woodlawn,Entire home/apt,1.0,1.0,3,1,69.0,62,499,96.0,45.5737,-122.65064,0
Beautiful Apt near City Center!,Irvington,Entire home/apt,3.0,1.5,6,1,161.0,318,187,98.0,45.53895,-122.65156,1
Bright Friendly Home- Alberta Arts,Sabin,Private room,1.0,3.0,2,30,31.0,172,65,87.0,45.55593,-122.65028999999998,1
Piedmont Cottage on Peninsula Park,Piedmont,Entire home/apt,1.0,1.0,4,30,54.0,20,267,99.0,45.567409999999995,-122.67257,1
Beautiful Newly-Remodeled Apartment,Sunnyside,Entire home/apt,1.0,1.0,2,2,80.0,162,223,98.0,45.51209,-122.63315,1
Second floor garden apartment,Cully,Entire home/apt,1.0,1.0,2,2,85.0,296,68,98.0,45.56028,-122.6171,1
Garden Hideaway near City Center!,Irvington,Entire home/apt,1.0,1.0,4,1,93.0,323,119,96.0,45.54029,-122.65006000000001,1
"Upstairs, studio with bath, fridge",Montavilla,Private room,1.0,1.0,2,3,65.0,343,75,94.0,45.53008,-122.59075,1
"Luminous, Cosy Home near lively SE Division Street",Richmond,Entire home/apt,2.0,1.5,4,7,77.0,30,24,97.0,45.50522,-122.63277,1
Great Breakfast next to lively Division St,Richmond,Private room,1.0,1.5,2,2,50.0,30,320,99.0,45.507540000000006,-122.63268000000001,1
Foodie's Paradise & Everyone's Playground!,Boise,Entire home/apt,1.0,1.0,4,14,89.0,87,82,93.0,45.5528,-122.67728999999999,1
"Authentic Portland Flavor, Central!",Rose City Park,Private room,1.0,1.0,2,30,49.0,364,43,99.0,45.54419,-122.60361999999999,0
Entire Home + Cottage • A Painted Lady Inn • 6 Bed,Irvington,Entire home/apt,6.0,3.5,14,1,522.0,264,81,94.0,45.53689,-122.64976999999999,0
One Bedroom Artists Loft - Close to EvErYtHiNg,Old Town/Chinatown,Entire home/apt,1.0,1.0,2,30,127.0,350,49,94.0,45.52653,-122.67513000000001,0
"Amazing Location in NE, Opal 28 - King Suite #3",Kerns,Entire home/apt,1.0,1.0,4,2,85.0,176,176,98.0,45.521840000000005,-122.63538,1
"Blues,brews,and bicycle guesthouse",Overlook,Private room,1.0,1.0,1,2,65.0,159,95,97.0,45.558209999999995,-122.69223000000001,1
"large, sunny room in farmhouse",Overlook,Private room,1.0,1.0,1,30,65.0,362,45,99.0,45.55816,-122.69143000000001,1
"Private, sunny room in farmhouse",Overlook,Private room,1.0,1.0,1,2,65.0,310,30,99.0,45.55771,-122.68993999999999,1
Large COMFY Room in Alberta Arts,Sabin,Private room,1.0,3.0,2,30,27.0,357,58,91.0,45.55645,-122.64854,1
Condo in the Courtyard,Mt. Tabor,Entire home/apt,1.0,1.0,5,30,55.0,137,33,95.0,45.512029999999996,-122.61079,0
Mt. Tabor private apt in ideal SE location,Mt. Tabor,Entire home/apt,1.0,1.0,2,2,75.0,338,329,95.0,45.51458,-122.60959,1
"Cheerful, musical, eclectic home",Multnomah,Private room,1.0,1.0,2,30,35.0,300,30,86.0,45.46604,-122.71598999999999,0
Japanese cabin + in fine-dining village,Concordia,Entire home/apt,1.0,1.0,2,2,125.0,333,234,95.0,45.562740000000005,-122.63443999999998,1
Sellwood Music Suite,Sellwood-Moreland Improvement League,Entire home/apt,1.0,1.0,4,2,86.0,331,278,98.0,45.46846,-122.65395,1
The Heart of Multnomah Village,Multnomah,Entire home/apt,1.0,1.0,2,2,120.0,326,149,96.0,45.4692,-122.71497,1
S.W. Portland Farmhouse Cottage,Marshall Park,Entire home/apt,2.0,1.0,6,3,185.0,281,81,98.0,45.45704,-122.69185,1
"Newly Renovated & Cozy, Opal 28 Queen Suite #1",Kerns,Entire home/apt,1.0,1.0,4,2,80.0,130,157,95.0,45.52968,-122.63429,1
"Vintage Meets Comfort, Opal 28 King Suite #4",Kerns,Entire home/apt,1.0,1.0,4,2,85.0,172,230,94.0,45.52502,-122.63497,1
"Beautiful, Clean 1920 NoPo Bungalow",Overlook,Entire home/apt,2.0,1.0,5,4,122.0,0,144,94.0,45.56621,-122.68048999999999,1
Quality Comfort Beautiful 1915 Craftsman,Rose City Park,Entire home/apt,4.0,2.0,8,3,220.0,311,198,98.0,45.547670000000004,-122.61339,1
"Portland Soul, Central! Porch Time!",Rose City Park,Private room,1.0,1.0,2,30,35.0,364,37,97.0,45.543859999999995,-122.60396000000001,0
Alberta Arts Room Overlooking Verdant Backyard,King,Private room,1.0,1.0,2,30,55.0,363,101,97.0,45.56024,-122.65851,1
Perfectly Cozy Alberta Arts Room,King,Private room,1.0,1.0,1,30,55.0,343,94,97.0,45.56174,-122.65817,1
Sellwood-Near Parks and the River,Sellwood-Moreland Improvement League,Private room,2.0,1.0,3,3,42.0,316,275,98.0,45.467209999999994,-122.65626,1
Cozy House w/ Wood Burning Stove - NE Portland,Cully,Entire home/apt,1.0,1.0,4,2,85.0,85,201,97.0,45.5589,-122.61832,1
Great Location! Great for Kids!,Concordia,Private room,1.0,1.0,2,1,89.0,365,51,91.0,45.56497,-122.63118,0
A sunny separate studio w/skylights,Sellwood-Moreland Improvement League,Entire home/apt,1.0,1.0,2,3,75.0,216,394,99.0,45.474,-122.64379,1
