name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
Porto city flat near the sea,Lordelo do Ouro e Massarelos,Entire home/apt,1.0,1.0,5,5,75.0,222,17,93.0,41.1501,-8.66035,0
Large Penthouse in Vila Nova Gaia,Mafamude e Vilar do Paraíso,Entire home/apt,3.0,3.0,6,30,73.0,166,39,95.0,41.10739,-8.5943,1
Fontielas Houses |Floor1 in House with shared Pool,Cete,Entire home/apt,2.0,1.0,5,3,66.0,0,14,96.0,41.17481,-8.35362,1
Go2oporto @ River Side,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,1.0,1.0,3,2,137.0,358,184,98.0,41.139509999999994,-8.61453,0
A Formosa - a nest made for two,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Private room,1.0,2.0,2,2,20.0,13,136,95.0,41.14918,-8.60922,1
Oporto Apartment Triplex,Bonfim,Entire home/apt,2.0,1.5,4,2,50.0,361,183,96.0,41.15786,-8.60427,1
A Formosa 2 -The red sofa room,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Private room,1.0,2.0,2,2,18.0,13,143,95.0,41.14908,-8.60905,1
Big TERRACE APARTMENT / city center,Bonfim,Entire home/apt,1.0,1.0,3,3,42.0,280,285,96.0,41.14707,-8.60109,1
A Formosa 3 - Little Vintage Nook,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Private room,1.0,2.0,2,2,18.0,13,71,96.0,41.14908,-8.60905,1
Aida Duplex Apartment | 5 Bedrooms,Bonfim,Entire home/apt,4.0,3.0,8,4,90.0,356,260,91.0,41.158770000000004,-8.598930000000001,0
Minha casinha / My little house,Oliveira do Douro,Entire home/apt,2.0,1.0,4,3,50.0,319,119,97.0,41.12961,-8.58427,1
1 Bedroom Vintage Apartment 60sqm,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,1.0,1.0,3,4,35.0,87,196,94.0,41.14602,-8.614469999999999,0
Private house in Oporto - Portugal,Paranhos,Entire home/apt,4.0,3.0,9,2,70.0,1,63,92.0,41.17563,-8.62323,0
B&B - Luxury Suite with HQ private bath,Mafamude e Vilar do Paraíso,Private room,1.0,1.0,2,1,35.0,365,222,93.0,41.12424,-8.61346,0
B & B  Room Yoga Garden's Place,Campanhã,Private room,1.0,2.0,4,2,26.0,1,454,97.0,41.1546,-8.58985,1
B&B-Priv.Room  Porto 5m.winecellars,Santa Marinha e São Pedro da Afurada,Private room,1.0,1.0,2,1,27.0,365,358,93.0,41.12557,-8.61512,0
Casa Do Pinheiro - Studio,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,1.0,1.0,2,3,26.0,157,144,94.0,41.14993,-8.6151,0
Casa Do Pinheiro - Duplex Apartment,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,1.0,1.0,4,3,40.0,0,119,96.0,41.1506,-8.61391,0
"Sun, sea & city.",Canidelo,Entire home/apt,2.0,1.5,6,3,87.0,289,177,99.0,41.1277,-8.663210000000001,1
Luxury Beachfront Penthouse Apartment w/ Pool,Madalena,Entire home/apt,3.0,3.5,6,2,150.0,350,74,99.0,41.1041,-8.659460000000001,1
Cozy apartment with terrace and barbecue,Bonfim,Entire home/apt,1.0,1.0,6,1,51.0,228,187,89.0,41.14622,-8.59423,0
Apartment Douro river 5 km to Porto,"Gondomar (São Cosme), Valbom e Jovim",Entire home/apt,3.0,2.5,6,3,54.0,365,76,95.0,41.12465,-8.54445,0
Oliveira`s Place,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,5.0,3.0,10,2,600.0,357,102,96.0,41.14822,-8.61476,0
Espaçoso e luminoso Apartamento perto de belas artes I,Bonfim,Entire home/apt,2.0,2.0,6,3,80.0,173,139,97.0,41.14536,-8.59792,1
"Large Flat , free parking, swimming pool",Lordelo do Ouro e Massarelos,Entire home/apt,1.0,1.0,4,3,45.0,269,110,92.0,41.16188,-8.66014,0
Charming Family House with Garden (6981/AL),Lordelo do Ouro e Massarelos,Entire home/apt,3.0,1.0,6,2,65.0,319,206,95.0,41.15206,-8.652280000000001,0
DESIGN HOUSE OLD TOWN | BALCONY | AIRCO | RIBEIRA,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,1.0,1.0,2,2,125.0,337,248,97.0,41.14087,-8.61703,1
Luxury Apartment Downtown - Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,2.0,2.0,6,3,55.0,270,94,93.0,41.15328,-8.60758,0
"Farmhouse accommodation, Portugal",Fornelo e Vairão,Private room,1.0,1.0,2,4,30.0,197,36,99.0,41.32667,-8.65956,1
class & comfort downtown/ps Parking SI5,Bonfim,Entire home/apt,2.0,1.0,5,2,65.0,361,196,92.0,41.14776,-8.601939999999999,0
apartment  downtown1 / P.Parking SL1T,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,1.0,1.0,3,2,49.0,347,332,94.0,41.14645,-8.60293,0
lovely apartment in down town SI1,Bonfim,Entire home/apt,2.0,1.5,5,2,64.0,349,195,93.0,41.148309999999995,-8.6004,0
tranquility in downtown SI3,Bonfim,Entire home/apt,1.0,1.0,3,2,50.0,331,143,92.0,41.14654,-8.599910000000001,0
Apartment historic centre of Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,2.0,1.0,5,1,60.0,50,127,83.0,41.1464,-8.602160000000001,0
Historical City Center Apartment,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,1.0,1.0,3,3,42.0,180,280,98.0,41.15075,-8.6217,1
PORTO CENTER APARTMENT - BEACH 2 KM,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,1.0,1.0,4,3,49.0,59,93,93.0,41.1605,-8.6327,0
The peacefulness of the countryside near Oporto,Avintes,Entire home/apt,2.0,1.0,4,7,60.0,2,22,97.0,41.11834,-8.54862,0
PortoFLAT Self contained studioflat,Lordelo do Ouro e Massarelos,Entire home/apt,1.0,1.0,2,3,40.0,153,43,98.0,41.15906,-8.636660000000001,1
Central Apartment in Porto,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,1.0,1.0,2,3,46.0,364,123,85.0,41.15676,-8.60897,0
apartamento charme  baixa /pde Park SL3F,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Entire home/apt,1.0,1.0,4,2,48.0,0,216,93.0,41.14663,-8.60385,0
