name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
"Quiet 1BR directly in the Centre, Air-conditioned 12",Praha 1,Entire home/apt,1.0,1.0,4,1,1794.0,181,20,98.0,50.08229,14.41552,0
M302-Cozy Serviced Studio in Center,Praha 1,Entire home/apt,1.0,1.0,4,1,2537.0,41,82,95.0,50.08898,14.42438,0
Apartment Great LETNA & Terrace,Praha 7,Entire home/apt,2.0,1.0,6,3,1942.0,36,357,97.0,50.10011,14.425670000000002,1
Central Prague Old Town Top Floor,Praha 1,Entire home/apt,1.0,1.5,4,3,2071.0,240,253,99.0,50.08569,14.43344,1
R23-Elegant Serviced 86m2 | Center,Praha 1,Entire home/apt,2.0,1.0,6,1,3561.0,61,12,93.0,50.08821,14.426229999999999,0
"Central, Sunny and Modern Studio Apartment",Praha 2,Entire home/apt,1.0,1.0,2,2,1036.0,365,190,95.0,50.0724,14.44079,0
"Classy Studio, ART NOUVEAU house",Praha 3,Entire home/apt,1.0,1.0,4,2,1165.0,365,97,93.0,50.07912,14.453729999999998,1
"Prime Location, Elegant Studio!",Praha 3,Entire home/apt,1.0,1.0,3,2,1165.0,365,120,93.0,50.07871,14.452129999999999,1
"""NEWLY FURNISHED"" 1BR near Pachtuv Palace,Old Town",Praha 1,Entire home/apt,1.0,1.0,3,3,2275.0,365,321,95.0,50.08365,14.41409,0
Red Flavour by Ruterra,Praha 2,Entire home/apt,1.0,1.0,3,3,18022.0,11,175,89.0,50.07137,14.432739999999999,0
Ruterra 2 BDR Flat for Friends,Praha 3,Entire home/apt,2.0,1.0,6,2,18022.0,11,195,89.0,50.08122,14.44835,0
Ruterra 2Room Family Apartment,Praha 2,Entire home/apt,1.0,1.0,8,2,18022.0,11,132,90.0,50.0709,14.43157,0
Renovated Klimt Studio by Ruterra next to Muzeum,Praha 2,Entire home/apt,1.0,1.0,3,3,792.0,49,298,91.0,50.07802,14.43413,0
Renovated Apartment behind National Museum,Praha 2,Entire home/apt,1.0,1.0,4,2,726.0,49,211,91.0,50.07832,14.434510000000001,0
Modern flat in the center of Prague,Praha 1,Entire home/apt,2.0,1.0,7,2,3235.0,323,188,93.0,50.07849,14.42695,0
Ruterra House with Garden by Metro,Praha 14,Entire home/apt,4.0,3.0,12,3,18022.0,11,133,91.0,50.11181,14.554079999999999,0
Yellow Ruterra studio,Praha 3,Entire home/apt,1.0,1.0,3,3,638.0,11,118,89.0,50.08769,14.45164,0
Grand Classic Two Bedroom Apartment,Praha 1,Entire home/apt,2.0,1.5,7,1,20840.0,296,84,90.0,50.08012,14.42193,0
Two Bedroom Apartment Vodickova 2,Praha 1,Entire home/apt,2.0,1.5,6,1,20840.0,365,42,93.0,50.0806,14.422889999999999,0
Two Bedroom Apartment Vodickova 4,Praha 1,Entire home/apt,2.0,1.0,6,1,20830.0,365,52,90.0,50.079190000000004,14.42159,0
PRAGUE  STUDIO  OLD TOWN,Praha 1,Entire home/apt,1.0,1.0,2,3,777.0,365,18,93.0,50.09175,14.433229999999998,0
Great & central DanceLAB studio,Praha 2,Entire home/apt,1.0,1.5,3,2,788.0,334,141,91.0,50.07029,14.434870000000002,0
M201-Stylish & Serviced in Centre,Praha 1,Entire home/apt,1.0,1.0,4,1,2759.0,175,34,93.0,50.08846,14.424220000000002,0
M504-New modern Serviced apt with Balcony | Center,Praha 1,Entire home/apt,1.0,1.5,4,1,3236.0,46,13,98.0,50.08943,14.423729999999999,0
2 bedroom apt 1min to Old Town sq.,Praha 1,Entire home/apt,2.0,1.0,7,4,4200.0,0,52,98.0,50.08497,14.421320000000001,1
"Central,Spacious & Sunny apartment",Praha 2,Entire home/apt,1.0,1.0,6,4,1900.0,2,26,93.0,50.0776,14.43125,1
High End Apt walking distance to Old Town Prague,Praha 2,Entire home/apt,1.0,1.0,4,3,1811.0,364,83,96.0,50.0744,14.42312,0
Charles Bridge Old Town Apartment 3,Praha 1,Entire home/apt,1.0,1.0,6,1,20840.0,357,185,91.0,50.08409,14.413520000000002,0
Charles Bridge Old Town Apartment 4,Praha 1,Entire home/apt,1.0,1.0,6,1,20840.0,312,215,91.0,50.08409,14.413520000000002,0
Charles Bridge Old Town Apartment 5,Praha 1,Entire home/apt,1.0,1.0,6,1,20840.0,296,287,91.0,50.08463,14.41305,0
Grande apartment 43 with River View,Praha 2,Entire home/apt,2.0,1.5,12,1,8776.0,32,80,93.0,50.07586,14.41487,0
In the heart of historic Prague!!,Praha 1,Entire home/apt,1.0,1.0,2,2,2071.0,361,499,95.0,50.08614,14.42145,0
Welcome To The Jungle Studio By Ruterra,Praha 3,Entire home/apt,1.0,1.0,4,3,704.0,1,178,90.0,50.08574,14.4509,0
Prague Old Town apartment - 2 bdr,Praha 1,Entire home/apt,2.0,1.0,4,60,2500.0,364,154,95.0,50.09104,14.425329999999999,1
"Blue Ruterra ""Stay Like a Local"" Studio",Praha 3,Entire home/apt,1.0,1.0,3,3,704.0,0,148,89.0,50.08549,14.4509,0
Gorgeous Rose 2BDR Ruterra Suite,Praha 1,Entire home/apt,2.0,1.0,8,2,18022.0,1,221,92.0,50.08048,14.427129999999998,0
Charming Loft with a Great Terrace!,Praha 5,Entire home/apt,1.0,1.0,4,1,1500.0,266,287,94.0,50.06625,14.40245,1
"*Spacious,2bdrooms,central,quiet*",Praha 3,Entire home/apt,2.0,1.0,8,3,1035.0,134,305,98.0,50.08543,14.44532,1
Cozy Apartment With A Bay Window,Praha 3,Entire home/apt,1.0,1.0,3,2,1187.0,90,228,97.0,50.07614,14.44984,1
BEST location in Prague - Old Town,Praha 1,Private room,1.0,1.0,2,1,1013.0,363,256,96.0,50.08773,14.416579999999998,1
Old Town Square Quiet Chic Apartment,Praha 1,Entire home/apt,2.0,1.0,4,3,980.0,228,336,93.0,50.091570000000004,14.42265,1
2 Bedroom Velvet Apartment - Prague Old Town,Praha 1,Entire home/apt,2.0,1.5,6,3,2435.0,42,311,93.0,50.0819,14.415920000000002,1
