name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
Secluded 1750's home on 46 acres,Glocester,Private room,1.0,1.0,2,1,65.0,0,37,100.0,41.866170000000004,-71.72344,0
Sanctuary in the Suburbs,Pawtucket,Entire home/apt,2.0,1.0,6,2,76.0,303,148,94.0,41.88613,-71.35373,1
Bedroom In a large Victorian Home,Providence,Private room,1.0,1.0,2,1,58.0,89,372,95.0,41.81244,-71.42076,1
Waterfront Narrow River Rent as of 5/1/21  kayaks!,South Kingstown,Entire home/apt,3.0,1.0,9,7,295.0,259,88,99.0,41.46965,-71.44939000000001,1
Great Apartment in East Providence,East Providence,Entire home/apt,2.0,1.0,4,2,89.0,164,377,97.0,41.82809,-71.37655,1
Charming Guest House on Sakonnet Point,Little Compton,Entire home/apt,4.0,1.0,6,7,360.0,53,49,98.0,41.475640000000006,-71.17908,0
Tiverton 4 Corners Schoolhouse No.1,Tiverton,Entire home/apt,2.0,1.0,4,1,200.0,319,130,99.0,41.56512,-71.18682,1
An oasis in the heart of Newport.,Newport,Private room,1.0,1.0,2,2,175.0,0,237,97.0,41.49228,-71.29904,1
Garden Apt Downtown on Thames st.,Newport,Private room,1.0,1.0,2,2,250.0,275,48,97.0,41.492940000000004,-71.31524,1
Rose Suite,Newport,Private room,1.0,1.0,2,2,225.0,275,58,99.0,41.49268,-71.3164,1
Blue Suite,Newport,Private room,1.0,1.0,2,2,225.0,275,50,100.0,41.49228,-71.31454000000001,1
"Conanicut Is., In-Town 2",Jamestown,Entire home/apt,4.0,2.0,4,4,800.0,364,53,98.0,41.49668,-71.37645,1
Rural Rhode Island Get Away,Richmond,Private room,1.0,1.0,2,2,61.0,363,30,95.0,41.46264,-71.69882,0
Victorian House in Newport Walk to Town or Beach,Newport,Entire home/apt,3.0,2.5,12,2,1107.0,341,39,92.0,41.50057,-71.30570999999999,1
Downtown Center Newport Apartment,Newport,Entire home/apt,1.0,1.0,2,2,136.0,347,69,97.0,41.48722,-71.30589,1
Downtown Mansion Near Beach-Last minute deals,Newport,Entire home/apt,10.0,1.5,16,2,1254.0,341,24,99.0,41.48603,-71.30499,1
Charming Guest Room off Broadway,Newport,Private room,1.0,1.0,2,2,82.0,88,16,97.0,41.49967,-71.30564,1
Lux Two bedroom roost,Providence,Entire home/apt,2.0,1.0,4,2,87.0,333,134,91.0,41.812,-71.42035,1
"Charming, Impeccable 1B Condo",Newport,Entire home/apt,1.0,1.0,4,14,117.0,352,18,90.0,41.49371,-71.30694,0
"Adorable, Artsy Victorian with a Claw Foot Tub",Providence,Entire home/apt,1.0,1.0,3,2,96.0,2,99,96.0,41.81643,-71.43743,1
Downtown room near hospital,Newport,Private room,1.0,1.0,2,2,55.0,88,14,94.0,41.49982,-71.30537,1
"""Super Sleep-Over"" in Newport - unlimited.",Newport,Private room,1.0,1.0,2,1,50.0,292,205,94.0,41.4689,-71.31447,0
"Private ,comfy,BNB,in Victorian",Providence,Private room,1.0,1.0,2,1,100.0,267,353,96.0,41.81244,-71.42076,1
Beautiful Victorian in Newport,Newport,Private room,1.0,1.0,2,2,93.0,170,248,99.0,41.49403,-71.30875,1
"Narragansett-Middlebridge,Narrow R.",South Kingstown,Entire home/apt,1.0,1.0,4,6,165.0,23,56,92.0,41.45906,-71.45302,0
"Bright & Spacious Room, Charming Cape",Providence,Private room,1.0,1.0,2,1,45.0,179,42,98.0,41.809509999999996,-71.45675,1
country home in garden near beaches,South Kingstown,Private room,1.0,2.0,3,2,125.0,363,36,97.0,41.425090000000004,-71.52286,0
Trinity School House,Newport,Private room,1.0,1.0,2,2,250.0,356,88,99.0,41.486940000000004,-71.30986,1
"Summer Rental in Bonnet Shores,RI",Narragansett,Entire home/apt,5.0,3.0,10,3,276.0,327,41,98.0,41.48494,-71.43379,0
