name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
"Very Nice 2Br in Copacabana w. balcony, fast WiFi",Copacabana,Entire home/apt,2.0,1.0,5,5,221.0,304,260,94.0,-22.96592,-43.17896,1
Nice and cozy near Ipanema Beach,Ipanema,Entire home/apt,1.0,1.0,2,3,307.0,10,85,95.0,-22.9857,-43.20193,0
Beautiful Modern Decorated Studio in Copa,Copacabana,Entire home/apt,1.0,1.0,2,7,160.0,328,238,94.0,-22.977120000000003,-43.19045,0
Cosy flat close to Ipanema beach,Ipanema,Entire home/apt,1.0,1.5,2,2,273.0,207,181,94.0,-22.98816,-43.19359,1
COPACABANA SEA BREEZE  -  RIO - 20 X Superhost,Copacabana,Entire home/apt,1.0,1.0,2,3,135.0,101,353,98.0,-22.981270000000002,-43.190459999999995,1
"Modern 2bed,Top end of Copacabana",Copacabana,Entire home/apt,2.0,1.0,5,3,484.0,365,18,84.0,-22.97962,-43.1923,0
"Beach Block 6bed Penthouse, Ipanema Best Location!",Ipanema,Entire home/apt,6.0,7.0,13,2,1751.0,353,77,93.0,-22.98599,-43.20299,0
Djalma Ocean View Studio with Amazing Views #100A,Copacabana,Entire home/apt,1.0,1.0,3,3,160.0,113,96,94.0,-22.9791,-43.19008,1
Beach Block Suites in Ipanema Best Location,Ipanema,Entire home/apt,3.0,3.0,6,3,782.0,344,73,90.0,-22.98584,-43.20305,0
Ipanema amazing 3 BDRs apartment.,Ipanema,Entire home/apt,3.0,2.5,5,1,314.0,361,13,97.0,-22.98178,-43.200759999999995,0
"Beach Block 3bed Penthouse, Ipanema Best Location!",Ipanema,Entire home/apt,3.0,3.0,6,2,1263.0,347,64,88.0,-22.98599,-43.20299,0
Copacabana Beach Living+AirConWiFi,Copacabana,Private room,1.0,1.0,2,4,213.0,90,79,93.0,-22.98498,-43.19135,0
Apart-hotel in Ipanema with service and garage,Ipanema,Entire home/apt,1.0,2.0,6,2,271.0,251,378,95.0,-22.9854,-43.196020000000004,1
Studio Between Ipanema/Copacabana,Copacabana,Entire home/apt,1.0,1.0,4,3,179.0,174,143,85.0,-22.98027,-43.19255,0
Copacabana 2 BR Penthouse Duplex,Copacabana,Entire home/apt,2.0,1.0,4,10,393.0,270,101,96.0,-22.98238,-43.193659999999994,1
Spacious Home Heart of Rio290m4QT. Discount10%week,Copacabana,Entire home/apt,4.0,4.0,12,2,783.0,121,125,86.0,-22.981920000000002,-43.19397,0
"GREAT VIEW -Guesthouse ""CASA 48""- Santa Teresa  #1",Santa Teresa,Private room,7.0,5.0,16,7,66.0,299,213,96.0,-22.92875,-43.19341,1
Tiny House in Lapa,Santa Teresa,Entire home/apt,1.0,1.0,2,4,94.0,181,96,93.0,-22.91431,-43.19081,1
❤Unique RIO | retreat w/ forest view in hot spot,Gávea,Entire home/apt,1.0,1.0,4,5,197.0,2,35,94.0,-22.97629,-43.23145,1
Stay in a small imperial castle !,Santa Teresa,Private room,1.0,2.0,2,2,109.0,365,14,95.0,-22.92519,-43.191179999999996,0
AMAZING VIEW ON THE LEBLON/IPANEMA BOARDER.,Leblon,Entire home/apt,1.0,1.0,4,2,224.0,272,83,93.0,-22.983610000000002,-43.218270000000004,0
Condomínio Villagio do Campo IV,Campo Grande,Entire home/apt,1.0,1.0,8,2,146.0,352,22,89.0,-22.88756,-43.59413,0
Flat Top em Ipanema à 150 metros da praia,Ipanema,Entire home/apt,1.0,1.0,2,2,100.0,237,15,89.0,-22.98386,-43.21383,0
COZY APARTAMENT ON THE COPACABANA BEACH BLOCK.,Copacabana,Entire home/apt,1.0,1.0,4,2,179.0,328,65,92.0,-22.97794,-43.18969,0
» 30% Off « Beach 50m & Metro > 5 min!!,Copacabana,Entire home/apt,1.0,1.0,3,2,157.0,163,48,93.0,-22.97456,-43.18807,0
Charm with a great location Leblon,Leblon,Entire home/apt,3.0,2.0,4,2,450.0,346,33,97.0,-22.98668,-43.221709999999995,0
BL27 ·NO MELHOR LUGAR DE COPACABANA,Copacabana,Entire home/apt,1.0,1.0,4,2,224.0,284,45,95.0,-22.97607,-43.18926,0
IPANEMA  QUARTO + BANHEIRO PRIVADO,Ipanema,Private room,1.0,1.0,2,3,323.0,237,167,98.0,-22.9827,-43.2004,1
Amazing ocean view !,Barra da Tijuca,Entire home/apt,1.0,1.0,4,4,490.0,325,50,96.0,-23.011589999999998,-43.36925,1
Rio de Janeiro for you! Go for it!,Botafogo,Private room,1.0,1.0,2,8,128.0,365,17,98.0,-22.941689999999998,-43.18703,1
Nice 1 BR Apartment in Copacabana,Copacabana,Entire home/apt,1.0,1.0,4,3,185.0,343,146,92.0,-22.983220000000003,-43.190870000000004,0
Gloria Sunshine Apartment in Rio,Santa Teresa,Entire home/apt,2.0,2.0,5,3,265.0,94,57,97.0,-22.92135,-43.18088,0
IPANEMA'S MOST BEAUTIFUL VIEW for 6+2,Ipanema,Entire home/apt,4.0,3.0,8,2,765.0,321,154,98.0,-22.98697,-43.19751,1
The room has its own toilet.,Glória,Private room,1.0,1.0,1,3,171.0,365,30,99.0,-22.91986,-43.17859,0
"Na Cupertino, muito sofisticado no centro do Leblon",Leblon,Entire home/apt,2.0,2.0,5,2,784.0,327,19,99.0,-22.98251,-43.22108,1
Charming 2 bedroom flat in Leblon,Leblon,Entire home/apt,2.0,1.0,4,3,180.0,342,33,97.0,-22.98002,-43.22371,1
URCA Amazing Penthouse w/ best view/ 230 m2,Botafogo,Entire home/apt,2.0,2.0,4,3,1068.0,363,27,97.0,-22.954539999999998,-43.17442,0
Suite in a beautiful house-Lagoa/RJ,Humaitá,Private room,1.0,1.5,2,2,273.0,365,81,99.0,-22.961479999999998,-43.200379999999996,0
Private Double room at Copacabana,Copacabana,Private room,1.0,1.0,2,3,248.0,175,12,93.0,-22.98249,-43.19222,0
"Arpoador beach, the best part of Ipanema",Ipanema,Entire home/apt,1.0,1.0,5,2,181.0,325,58,95.0,-22.9869,-43.192859999999996,0
Studio between Ipanema / Copacabana,Copacabana,Entire home/apt,1.0,1.0,2,2,129.0,2,91,84.0,-22.98114,-43.19429,0
Excelent apt near Copacabana beach,Copacabana,Entire home/apt,1.0,1.0,2,1,80.0,202,65,96.0,-22.9626,-43.177040000000005,1
Penthouse & Private Airy and Quiet Terrace,Copacabana,Entire home/apt,2.0,1.5,5,3,595.0,0,190,99.0,-22.98015,-43.190979999999996,1
Penthouse Oceanview Copacab/Ipanema,Copacabana,Entire home/apt,3.0,2.0,8,3,1910.0,365,140,97.0,-22.98499,-43.190979999999996,1
Penthouse #1! Best Internet! Veranda! Expat US-DE,Copacabana,Private room,1.0,1.0,2,10,125.0,244,107,97.0,-22.98026,-43.19109,1
Penthouse #2! Best Internet! Veranda! Expat US-DE,Copacabana,Entire home/apt,1.0,1.0,2,10,105.0,187,83,97.0,-22.978579999999997,-43.19075,1
"Stunning penthouse with ocean view and panoramic terrace, beach one minute away.",Copacabana,Entire home/apt,2.0,2.0,6,5,1174.0,240,63,99.0,-22.98474,-43.19081,1
Venusian Room at Botafogo,Botafogo,Private room,1.0,1.5,2,3,250.0,365,46,95.0,-22.94879,-43.181470000000004,1
Charmoso apartamento na praia de Ipanema,Ipanema,Entire home/apt,2.0,1.5,4,3,330.0,359,161,91.0,-22.98236,-43.198640000000005,0
Bedroom Ipanema 1 block from beach,Ipanema,Private room,1.0,1.5,2,2,164.0,175,181,95.0,-22.985970000000002,-43.19591,1
Great Apartment - Ipanema RIO,Ipanema,Entire home/apt,3.0,2.0,6,4,1025.0,364,13,82.0,-22.984270000000002,-43.19689,0
Flat between Copacabana & Ipanema,Copacabana,Entire home/apt,1.0,1.0,4,2,180.0,82,76,96.0,-22.98297,-43.19388,0
Best Studio in Rio - Copacabana,Copacabana,Entire home/apt,1.0,1.0,2,3,175.0,294,200,96.0,-22.96536,-43.179790000000004,1
"IPANEMA PENTHOUSE,JACUZZI + STUNNING CRISTO VIEWS!",Ipanema,Entire home/apt,3.0,3.0,5,5,2278.0,10,48,88.0,-22.9825,-43.205040000000004,0
"BEAUTIFUL! Spacious,king room!",Copacabana,Private room,1.0,2.5,2,2,269.0,347,29,99.0,-22.985960000000002,-43.19001,0
"Beautiful! Spacious ,Queen Room !!!",Copacabana,Private room,1.0,1.0,2,2,237.0,0,31,99.0,-22.985960000000002,-43.19001,0
"BEAUTIFUL! Spacious,TWIN ROOM.",Copacabana,Private room,1.0,1.0,2,2,215.0,175,32,97.0,-22.985960000000002,-43.19001,0
Ótimo quarto perto Cristo Redentor,Laranjeiras,Private room,1.0,1.0,3,4,180.0,364,20,99.0,-22.94344,-43.19245,0
Varandão Atelier Lounge Sta. Teresa,Santa Teresa,Entire home/apt,1.0,1.0,4,2,170.0,357,341,96.0,-22.91666,-43.17947,0
Copacabana 2BR-2Bath 1 block Beach #1106,Copacabana,Entire home/apt,2.0,2.5,4,4,538.0,268,25,92.0,-22.98077,-43.19119,1
❤️ MODERN LOFT IN BEST SPOT OF IPANEMA 1 - 120MB❤️,Ipanema,Entire home/apt,1.0,1.0,2,1,144.0,0,393,96.0,-22.9828,-43.20467,1
Apart-Hotel Triplex Praia Flamengo,Flamengo,Entire home/apt,2.0,1.5,6,2,300.0,0,128,94.0,-22.93729,-43.17459,0
Nice Flat in Copacabana  Ocean View,Copacabana,Entire home/apt,1.0,1.0,2,2,159.0,356,103,91.0,-22.97822,-43.19034,1
"Suite 2 people, beach, events, fun",Jacarepaguá,Entire home/apt,1.0,1.0,2,2,137.0,0,62,96.0,-22.969820000000002,-43.38807,1
