name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
Stay a night in Calisto6 B&B Rome,I Centro Storico,Private room,1.0,1.0,4,1,37.0,365,55,86.0,41.888259999999995,12.47002,0
Cozy apartment  (2-4)with Colisseum  view,I Centro Storico,Entire home/apt,1.0,1.0,4,3,105.0,1,17,88.0,41.89503,12.49163,0
"Roma ""Charming Boschetto House""",I Centro Storico,Entire home/apt,1.0,1.0,2,2,90.0,364,142,95.0,41.89574,12.49058,0
Casa Donatello - Home far from Home,II Parioli/Nomentano,Entire home/apt,2.0,1.0,5,1,73.0,362,40,98.0,41.92584,12.46809,0
Beautiful apt close to the Vatican,I Centro Storico,Private room,1.0,1.0,1,7,187.0,88,28,97.0,41.91485,12.45321,0
Trastevere - Cedro 1 Terrace Apartment (1 Bedroom),I Centro Storico,Entire home/apt,1.0,1.0,3,3,74.0,358,45,88.0,41.889920000000004,12.46823,0
Trastevere - Cedro 4 Terrace Apartment (2 Bedroom),I Centro Storico,Entire home/apt,2.0,1.0,5,3,100.0,324,58,91.0,41.889920000000004,12.46823,0
"Your own home in St. Peter, Rome",XIII Aurelia,Entire home/apt,3.0,2.0,7,3,118.0,360,70,93.0,41.89689,12.45695,1
Vintage Suite w/ Private Bath & AC,I Centro Storico,Private room,1.0,1.0,2,1,50.0,365,390,95.0,41.89291,12.50531,1
BLUE DOUBLE ROOM WITH TERRACE,I Centro Storico,Private room,1.0,1.0,2,2,50.0,365,14,93.0,41.91029,12.44703,1
"B&B 830, 10 min. from everything! - ROME",VII San Giovanni/Cinecittà,Private room,1.0,1.0,3,3,45.0,364,107,84.0,41.86272,12.54795,0
4  Apartments in Navona square (unit 1),I Centro Storico,Entire home/apt,1.0,1.0,6,1,24.0,337,112,89.0,41.90028,12.46706,1
Splendido loft con pezzi di design nel cuore del Pigneto,V Prenestino/Centocelle,Entire home/apt,1.0,1.0,4,28,70.0,0,102,94.0,41.89078,12.52634,0
Trastevere - Cedro 3 Terrace Apartment (1 Bedroom),I Centro Storico,Entire home/apt,1.0,1.5,2,3,70.0,314,64,88.0,41.889920000000004,12.46823,0
Your holiday next to St. Peter,XIII Aurelia,Entire home/apt,2.0,2.0,7,4,645.0,73,34,92.0,41.89689,12.45695,1
Calisto6 B&B in the heart of Rome,I Centro Storico,Private room,1.0,1.0,2,1,37.0,360,12,96.0,41.887879999999996,12.47151,0
*Rome CAMPO de FIORI Lovely Romantic Studio*,I Centro Storico,Entire home/apt,1.0,1.0,2,2,55.0,365,135,87.0,41.896029999999996,12.471739999999999,0
