name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
"Great home, 10 min walk to Beach",Pacific Beach,Entire home/apt,2.0,2.0,8,4,225.0,267,62,98.0,32.80724,-117.2563,0
Point Loma: Den downstairs,Roseville,Private room,1.0,1.0,1,1,74.0,294,143,86.0,32.742020000000004,-117.2187,0
"La Jolla 2 Bdr Cottage: 1 Qn; 2Twns, Blks 2 Ocn",La Jolla,Entire home/apt,2.0,1.0,3,4,80.0,55,248,99.0,32.81301,-117.26856000000001,1
"charming, colorful, close to beach",Pacific Beach,Entire home/apt,1.0,1.0,2,1,73.0,321,629,96.0,32.80734,-117.24243,1
San Diego Living by JA 2,North Hills,Private room,1.0,1.0,2,2,45.0,236,195,97.0,32.7473,-117.14423000000001,0
San Diego living by JA 1,North Hills,Private room,1.0,1.0,2,2,50.0,205,157,96.0,32.745940000000004,-117.14406000000001,0
"La Jolla Retreat-Zen Lifestyle, More than a  Room",La Jolla,Private room,1.0,1.0,1,3,89.0,3,218,98.0,32.81321,-117.26853,1
Gaslamp Room - Hillcrest House Bed & Breakfast,Midtown,Entire home/apt,1.0,1.0,2,1,128.0,318,66,99.0,32.74779,-117.1648,1
Felspar Townhome- Beach Living by Boardwalk & Pier,Pacific Beach,Entire home/apt,3.0,2.5,7,6,257.0,265,149,95.0,32.79783,-117.25416000000001,0
Cheery Yellow Beach House,Pacific Beach,Entire home/apt,1.0,1.0,2,3,178.0,0,19,89.0,32.79757,-117.2474,0
"Tourmaline House - Steps to Beach, Pet-Friendly",Pacific Beach,Entire home/apt,3.0,2.0,8,2,277.0,205,158,94.0,32.80572,-117.25936000000002,0
"Downtown, Spacious and Bright with Balcony!",Grant Hill,Entire home/apt,1.0,1.0,2,14,79.0,36,19,100.0,32.70803,-117.14341,0
"Mission Bay Getaway, Near beaches! SUPER SANITIZED",Bay Park,Private room,1.0,1.0,1,3,56.0,172,200,99.0,32.80157,-117.20093,1
Casa d'Elia Guestroom,East Lake,Private room,1.0,1.5,2,2,75.0,0,54,98.0,32.6567,-116.9713,0
"Mission Bay Retreat Studio, near Beaches, La Jolla",Bay Park,Private room,1.0,1.0,1,3,60.0,143,70,98.0,32.80041,-117.20152,1
Travel Twin Artist Retreat w/ Pool & Jacuzzi!,Bird Land,Private room,1.0,1.0,2,5,57.0,73,62,97.0,32.78175,-117.16045,0
Traveler's Haven 2 - Central to all,Mira Mesa,Private room,1.0,1.0,1,2,55.0,237,53,98.0,32.911229999999996,-117.13099,0
Entire 3BR/2BA Condo in Beautiful Del Mar!,Carmel Valley,Entire home/apt,3.0,2.0,6,30,157.0,290,48,89.0,32.94663,-117.23244,0
Upstairs Room/Pt. Loma,Roseville,Private room,1.0,3.0,1,2,85.0,137,53,88.0,32.74129,-117.21853,0
Beach Hide Out,Mission Bay,Entire home/apt,1.0,1.0,2,14,201.0,320,449,96.0,32.78333,-117.25262,1
"Private bed&bath (sorry, closed for pandemic)",Talmadge,Private room,1.0,1.0,2,1,77.0,89,98,98.0,32.76493,-117.08815,1
Sunny San Diego Home Near All,Midtown,Entire home/apt,2.0,1.0,2,30,149.0,0,244,99.0,32.743159999999996,-117.16748,1
"Ocean Beach, Ocean views, hot tub, garage parking!",Loma Portal,Entire home/apt,1.0,1.5,4,2,174.0,286,389,99.0,32.74098,-117.24471000000001,1
La Jolla/PB Ocean views!  1 block to beach & surf.,La Jolla,Private room,1.0,1.0,2,13,112.0,143,33,100.0,32.81015,-117.26803999999998,1
Bohemian Beach House,Mission Bay,Entire home/apt,1.0,1.0,2,14,196.0,302,171,97.0,32.78248,-117.25169,1
LJ Village charming home with private pool & spa,La Jolla,Entire home/apt,5.0,4.0,14,3,451.0,225,151,98.0,32.84006,-117.26921999999999,1
Fabulous Home by La Jolla and Beaches,University City,Entire home/apt,5.0,3.0,10,7,525.0,53,24,97.0,32.853590000000004,-117.2135,0
"The Happy Little Cottage, just steps to sand...",Mission Bay,Entire home/apt,2.0,1.0,4,3,170.0,98,164,97.0,32.76735,-117.24928,1
Beautiful Ocean View & Torrey PInes Serenity,Torrey Pines,Entire home/apt,4.0,3.5,12,7,770.0,179,40,98.0,32.9259,-117.24959,1
Room for rent in North Park Home near DT San Diego,North Hills,Private room,1.0,1.0,1,1,60.0,236,85,97.0,32.75734,-117.13668999999999,1
Central San Diego At Your Doorstep One Bedroom,Linda Vista,Entire home/apt,1.0,1.0,2,31,89.0,273,60,96.0,32.79432,-117.17452,1
Downtown San Diego Studio,East Village,Entire home/apt,1.0,1.0,3,2,149.0,178,37,92.0,32.71383,-117.15606000000001,0
Private oasis w/ jacuzzi,Old Town,Entire home/apt,1.0,1.0,2,2,175.0,291,303,98.0,32.75233,-117.17708999999999,1
Twin Corner Artist Retreat w/ Pool & Jacuzzi!,Bird Land,Private room,1.0,1.0,2,5,61.0,83,76,95.0,32.78175,-117.16045,0
Master Bed/Bath Artist Retreat w/ Pool & Jacuzzi!,Bird Land,Private room,1.0,1.0,2,5,88.0,313,53,96.0,32.78175,-117.16045,0
