name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
"Bright, Modern Garden Unit - 1BR/1BTH",Western Addition,Entire home/apt,1.0,1.0,3,2,130.0,137,276,97.0,37.77028,-122.43316999999999,1
Creative Sanctuary,Bernal Heights,Entire home/apt,2.0,1.0,5,30,195.0,365,111,98.0,37.74511,-122.42102,0
A Friendly Room - UCSF/USF - San Francisco,Haight Ashbury,Private room,1.0,4.0,2,32,56.0,365,19,84.0,37.76555,-122.45213000000001,0
Historic Alamo Square Victorian,Western Addition,Entire home/apt,2.0,1.5,4,5,799.0,365,28,97.0,37.77525,-122.43637,0
"Mission Sunshine, with Private Bath",Mission,Private room,1.0,1.0,3,1,169.0,169,735,98.0,37.7603,-122.42197,1
Victorian Suite in Inner Mission,Mission,Entire home/apt,2.0,1.0,4,30,150.0,283,337,96.0,37.758309999999994,-122.41386000000001,1
Haight Buena Vista Park Garden 3BR,Haight Ashbury,Entire home/apt,3.0,1.0,3,30,170.0,221,37,89.0,37.77187,-122.43858999999999,0
Victorian House in Hayes Valley - 3BED-2BA,Western Addition,Entire home/apt,3.0,2.0,5,30,166.0,243,15,91.0,37.77355,-122.42436000000001,0
Union Square Modern Loft,Downtown/Civic Center,Entire home/apt,1.0,1.5,2,30,87.0,244,20,92.0,37.785740000000004,-122.40798000000001,0
Perfectly located Castro,Castro/Upper Market,Private room,1.0,1.0,1,3,79.0,0,427,98.0,37.76072,-122.42815,1
Lower Haight Urban Zen with private bath,Western Addition,Private room,1.0,1.0,2,2,130.0,90,415,97.0,37.7739,-122.43343,1
Studio loft on top of Russian Hill,Nob Hill,Entire home/apt,1.0,1.0,2,30,130.0,336,119,98.0,37.7958,-122.41533000000001,0
Castro Guest Suite With Continental Breakfast,Twin Peaks,Entire home/apt,1.0,1.0,2,3,155.0,274,412,98.0,37.757509999999996,-122.44317,1
"Potrero Hill ""Nest"" Quiet, Comfy & Convenient",Potrero Hill,Private room,1.0,1.0,2,2,152.0,120,309,98.0,37.75645,-122.3991,1
San Francisco's Luxury Oasis Private Room On Noe,Noe Valley,Private room,1.0,1.0,2,5,150.0,305,42,100.0,37.74188,-122.43122,1
Modern Zen in the Lower Haight,Western Addition,Private room,1.0,1.0,2,2,110.0,90,445,98.0,37.77729,-122.43421000000001,1
Secret Mission Garden,Mission,Private room,1.0,1.0,4,1,202.0,0,26,95.0,37.76005,-122.42208000000001,1
Sunny house with garden,Bernal Heights,Entire home/apt,2.0,2.0,4,4,175.0,0,17,98.0,37.73729,-122.41163,1
gigi's bed and breakfast,Outer Richmond,Entire home/apt,1.0,1.0,4,2,175.0,318,70,99.0,37.779309999999995,-122.50518000000001,1
"Cozy, Sunny and Private Space",Bernal Heights,Entire home/apt,1.0,1.0,2,30,150.0,244,94,96.0,37.74025,-122.41259,0
Potrero Hill Garden Lookout,Potrero Hill,Entire home/apt,1.0,1.0,2,1,240.0,351,598,99.0,37.764509999999994,-122.39643000000001,1
Bette's New Place,Noe Valley,Entire home/apt,1.0,1.0,2,30,107.0,365,21,95.0,37.7483,-122.42488,0
Cute Private Apt in the hip Mission,Mission,Entire home/apt,1.0,1.0,2,30,106.0,185,97,92.0,37.76016,-122.41968999999999,1
Sue's Place,Bernal Heights,Private room,1.0,2.0,2,3,130.0,361,263,98.0,37.74132,-122.41818,1
"Heart of San Francisco, the Mission",Mission,Entire home/apt,2.0,1.0,4,30,135.0,352,81,96.0,37.75611,-122.41866,0
Spacious Quiet SF Downtown Retreat,Nob Hill,Entire home/apt,1.0,1.0,3,30,129.0,277,19,99.0,37.790009999999995,-122.41292,1
The Mission-100% Private,Mission,Entire home/apt,1.0,1.0,2,30,79.0,173,290,97.0,37.75145,-122.41207,1
Easy parking & nearby public transp. Beautiful,Ocean View,Entire home/apt,1.0,1.0,2,30,78.0,146,34,97.0,37.725359999999995,-122.46861000000001,0
One-bedroom apt.  Lafayette Park,Pacific Heights,Entire home/apt,1.0,1.0,2,30,84.0,353,28,96.0,37.7925,-122.42431,1
Centrally Located Victorian Apartment,Western Addition,Entire home/apt,1.0,1.0,2,30,110.0,365,108,98.0,37.771209999999996,-122.42833999999999,0
Prime Location - Small Cozy Room,Pacific Heights,Private room,1.0,0.0,1,30,54.0,365,163,92.0,37.79312,-122.426,1
Large & sunny room with bath + yard,Bernal Heights,Private room,1.0,1.0,2,3,95.0,244,145,98.0,37.73878,-122.41188999999999,1
"Urban Rainbow: Artsy, Downtown Condo",Downtown/Civic Center,Entire home/apt,2.0,1.0,4,30,149.0,105,233,95.0,37.78775,-122.41633999999999,1
Financial District Corporate Condo,Financial District,Entire home/apt,1.0,1.0,2,30,130.0,352,19,88.0,37.7933,-122.40078999999999,0
Studio Apartment Lafayette Park,Pacific Heights,Entire home/apt,1.0,1.0,2,30,79.0,333,41,94.0,37.79166,-122.4265,1
"❤️Stunning Luxury Apt, 5 star reviews, Laundry,",Outer Richmond,Entire home/apt,1.0,1.0,4,30,125.0,339,12,95.0,37.77959,-122.48619,1
"❤️ Super luxury Apt, Great View,  5 Star Reviews",Twin Peaks,Entire home/apt,1.0,1.0,4,30,116.0,305,27,95.0,37.74889,-122.44479,1
Prime Location - Large Private Room,Pacific Heights,Private room,1.0,0.0,1,30,48.0,365,127,93.0,37.792159999999996,-122.42458,1
Beautiful Alamo Park flat w deck,Haight Ashbury,Entire home/apt,2.0,2.0,5,30,200.0,313,153,99.0,37.77278,-122.43916000000002,0
"Bernal Heights Apartment, Patio + Parking",Bernal Heights,Entire home/apt,1.0,1.0,2,30,178.0,306,217,92.0,37.7472,-122.41443000000001,0
"Bartlett Gardens: Spacious, bright!",Mission,Private room,1.0,1.0,1,30,99.0,89,122,94.0,37.75762,-122.41933,0
Ultra Panoramic View Contemporary,Russian Hill,Private room,1.0,2.0,4,2,125.0,118,250,96.0,37.8031,-122.41596000000001,0
Garden Cottage Charming!,Bernal Heights,Private room,1.0,1.0,2,30,100.0,62,192,98.0,37.742090000000005,-122.41408999999999,1
Charming Victorian 3-Bedrms-2Baths + Free Parking!,Western Addition,Entire home/apt,3.0,2.0,6,4,425.0,116,213,97.0,37.770340000000004,-122.43593999999999,1
