name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
Casa Madrona - Urban Oasis 1 block from the park!,Madrona,Entire home/apt,4.0,2.5,9,30,296.0,107,32,100.0,47.610820000000004,-122.29082,0
Glorious sun room w/ memory foambed,Georgetown,Private room,1.0,3.0,2,2,55.0,328,148,93.0,47.55017,-122.31936999999999,1
The Adorable Sweet Orange Craftsman,Fairmount Park,Entire home/apt,2.0,1.0,4,30,155.0,327,41,100.0,47.55539,-122.38474,1
The Coolest Tangerine Dream MIL!,Fairmount Park,Entire home/apt,2.0,1.0,3,30,125.0,204,55,100.0,47.55624,-122.38598,1
"the down home , spacious, central and fab!",Wallingford,Entire home/apt,1.0,1.0,4,4,100.0,31,97,91.0,47.654790000000006,-122.33652,0
Luna Lower - West Seattle,Fairmount Park,Entire home/apt,2.0,1.0,4,30,80.0,200,76,96.0,47.56612,-122.37273,1
Cozy West Seattle Home,High Point,Private room,1.0,2.0,1,5,45.0,220,41,86.0,47.55365,-122.36326000000001,0
"the orange house, quiet 'n central",Wallingford,Entire home/apt,3.0,2.0,8,3,295.0,178,96,96.0,47.65448,-122.33646,0
"Beautiful, Private Spot in Quiet Ballard",Whittier Heights,Entire home/apt,1.0,1.0,4,2,73.0,175,836,98.0,47.67941,-122.37053999999999,1
Lake Union Cottage - Shore and City View,Eastlake,Entire home/apt,2.0,1.0,3,30,171.0,364,64,91.0,47.63953,-122.32838000000001,0
Cozy Ballard Apartment,Loyal Heights,Entire home/apt,1.0,1.0,3,30,67.0,319,97,88.0,47.6789,-122.38186,0
Home Away From Home - MIL Suite,Mid-Beacon Hill,Entire home/apt,1.0,1.0,4,30,95.0,52,28,96.0,47.56035,-122.31402,0
Big sunny central house with view!,Wallingford,Private room,1.0,1.0,2,30,59.0,237,272,95.0,47.65055,-122.33058999999999,1
green suite seattle - dog friendly,Windermere,Entire home/apt,1.0,1.0,2,5,80.0,21,48,99.0,47.67159,-122.25995,1
West Seattle/Alki Beach House,Alki,Entire home/apt,1.0,1.0,4,2,98.0,171,172,98.0,47.57874,-122.40227,1
"Modern, Light-Filled Fremont Flat",Fremont,Entire home/apt,1.0,1.0,2,40,73.0,210,43,97.0,47.65437,-122.35745,1
Suite+Office in Gorgeous View Home,Alki,Private room,1.0,1.0,2,2,90.0,346,142,99.0,47.568740000000005,-122.40648999999999,1
Teeny Tiny Guestyhouse!,Fremont,Entire home/apt,1.0,1.0,3,3,79.0,365,410,99.0,47.65231,-122.35,1
Mother-in-Law Apartment in Seattle,Wallingford,Entire home/apt,1.0,1.0,4,30,75.0,51,126,94.0,47.66923,-122.33516999999999,1
Green Lake Guest Suite with Infrared Sauna,Green Lake,Entire home/apt,2.0,1.0,6,3,157.0,109,293,97.0,47.68226,-122.34345,1
Bright Cheery Room in Seattle House,Seward Park,Private room,1.0,1.0,2,2,85.0,365,58,97.0,47.55508,-122.26455,0
Metrobilly Retreat,Harrison/Denny-Blaine,Private room,1.0,1.0,2,1,65.0,290,159,97.0,47.61894,-122.29212,1
Beautiful Water View Condo near UW + Eastlake!,Portage Bay,Entire home/apt,2.0,1.0,6,7,149.0,6,41,99.0,47.65062,-122.32008,1
Seattle Phinney Ridge Ballard,Phinney Ridge,Entire home/apt,3.0,1.0,6,30,250.0,320,26,90.0,47.6777,-122.35983999999999,1
"""The 5-Star House""  #9 The red room",Crown Hill,Private room,1.0,4.0,2,30,60.0,266,75,95.0,47.70085,-122.367,1
LOCATION! MONTHLY Discounts  SPACIOUS 2Bd/2Ba,Belltown,Entire home/apt,2.0,2.0,6,2,200.0,365,185,94.0,47.61534,-122.34791000000001,0
