name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
Heart of French Concession / Home,徐汇区 / Xuhui District,Entire home/apt,1.0,1.0,3,3,452.0,297,85,95.0,31.20918,121.4515,1
【sidihome】The minimalist business apt In jing’an,普陀区 / Putuo District,Entire home/apt,1.0,1.0,2,3,355.0,331,26,98.0,31.243990000000004,121.44296000000001,1
'Laojia' in the Heart of Shanghai,长宁区 / Changning District,Private room,1.0,1.0,1,2,160.0,89,85,95.0,31.220670000000002,121.43158999999999,0
有简约 绿色系 功能齐全 高楼层的绿色舒适7/13双轨交阳光暖窝公寓,静安区 / Jing'an District,Entire home/apt,1.0,1.0,2,1,435.0,350,69,98.0,31.242990000000002,121.44358000000001,1
【sidihome】ROSE  the big space apt in downtown,静安区 / Jing'an District,Entire home/apt,1.0,1.0,3,1,407.0,330,33,98.0,31.243740000000003,121.44247,1
Free Airport pickup! Modern Stylish Master Bedroom,杨浦区 / Yangpu District,Private room,1.0,1.5,2,1,162.0,365,79,92.0,31.27859,121.49541,1
"Puxiong Road, 10 minute taxi to Jing'an Temple",普陀区 / Putuo District,Private room,1.0,1.0,1,3,216.0,365,14,98.0,31.23834,121.41554,1
Super Cool & Awesome LivingRm Couch,虹口区 / Hongkou District,Shared room,1.0,1.0,1,1,78.0,364,43,94.0,31.275740000000003,121.49755,1
Sime underground room Near  ECNU Jingan Temple,普陀区 / Putuo District,Private room,1.0,2.5,1,10,127.0,365,12,98.0,31.2306,121.42007,1
Near ECNU jingan Temp jiaotong Univ,普陀区 / Putuo District,Private room,1.0,2.5,1,2,199.0,360,30,99.0,31.2315,121.42138,1
HUANGPU RIVER VIEW APARTMENT SHANGHAI PUDONG line4,浦东新区 / Pudong,Entire home/apt,1.0,1.0,2,1,550.0,344,14,84.0,31.240640000000003,121.5226,0
AMAZING HOME SHANGHAI PUDONG   LINE4,浦东新区 / Pudong,Entire home/apt,1.0,1.0,2,1,500.0,344,24,85.0,31.240440000000003,121.51669,0
Nicest BR -In Your Face Bund View!!,虹口区 / Hongkou District,Private room,1.0,1.0,2,10,297.0,365,27,90.0,31.260109999999997,121.49676000000001,1
"Share sunny 3-bdrm Apt by Jiaotong U.,  Xuhui (2)",长宁区 / Changning District,Private room,1.0,1.0,2,6,205.0,159,10,90.0,31.205759999999998,121.42488999999999,1
Study Room with a single bed in XuJiaHui,徐汇区 / Xuhui District,Private room,1.0,1.0,1,3,168.0,344,21,90.0,31.19288,121.44561999999999,1
Magic Zen Space 魔力心灵驿站（单间出租，市中心顶层复式设计两个露天大阳台）,静安区 / Jing'an District,Private room,1.0,1.0,1,2,320.0,365,17,100.0,31.230970000000003,121.42878999999999,0
Unique Loft Apartment in Pudong,浦东新区 / Pudong,Entire home/apt,3.0,2.5,6,1,420.0,365,14,91.0,31.252390000000002,121.59816000000001,0
Luxury Designer 3BR Apt in Pudong,浦东新区 / Pudong,Entire home/apt,3.0,2.0,5,30,1480.0,365,21,92.0,31.201629999999998,121.55537,0
Thoughtful and comfortable home to,普陀区 / Putuo District,Entire home/apt,1.0,1.0,2,30,348.0,365,15,96.0,31.24545,121.43938,0
Center So Big 4Br Apt Century park,浦东新区 / Pudong,Entire home/apt,4.0,2.0,7,30,1780.0,365,11,84.0,31.21218,121.55588999999999,0
"Private Bath BR at ""the Bund""",虹口区 / Hongkou District,Private room,1.0,1.0,2,7,259.0,365,12,85.0,31.26035,121.49738,1
Charming Apt 3BR+2Bath nr the Bund,虹口区 / Hongkou District,Entire home/apt,3.0,2.0,7,3,834.0,360,24,83.0,31.264770000000002,121.49613000000001,1
Nanyang Terrace - Historic Shanghai,静安区 / Jing'an District,Entire home/apt,1.0,1.0,2,1,908.0,164,77,95.0,31.227420000000002,121.45148,0
