name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
Unique in Södermalm SOFO Stockholm,Södermalms,Entire home/apt,1.0,1.0,3,4,995.0,364,12,100.0,59.306430000000006,18.08785,0
Double room in central Stockholm with Wi-Fi,Södermalms,Private room,1.0,1.0,2,3,643.0,179,313,97.0,59.31268000000001,18.06258,1
Petit Charm Rooftop next to heaven,Södermalms,Entire home/apt,1.0,1.0,4,4,1387.0,297,34,93.0,59.31568000000001,18.03138,0
Doubleroom at Södermalm &trendySofo,Södermalms,Shared room,1.0,1.0,2,3,669.0,363,79,98.0,59.312259999999995,18.079420000000002,0
One room in appartement,Kungsholmens,Private room,1.0,1.0,1,3,600.0,364,48,93.0,59.33376,18.03816,0
Cozy apartment in central Stockholm,Norrmalms,Entire home/apt,1.0,1.0,2,1,995.0,66,112,96.0,59.3389,18.04962,0
Single room in central Stockholm with Wi-Fi,Södermalms,Private room,1.0,1.0,1,2,571.0,179,309,97.0,59.313469999999995,18.06106,1
Near shopping-IT Business (Own room),Rinkeby-Tensta,Private room,1.0,1.0,1,21,245.0,56,26,91.0,59.410030000000006,17.9366,0
Entire apt (some weeks this summer),Farsta,Entire home/apt,1.0,1.0,6,2,360.0,286,53,93.0,59.24534,18.08729,0
Comfort Stay @ Kista - Super Value!,Rinkeby-Tensta,Private room,1.0,1.0,2,2,360.0,90,104,97.0,59.415330000000004,17.91465,0
Cosy apartment central at Sodermalm,Södermalms,Entire home/apt,1.0,1.0,4,2,1056.0,171,527,92.0,59.318459999999995,18.070420000000002,1
one cosy double room for rent,Älvsjö,Private room,1.0,1.0,2,1,750.0,365,35,92.0,59.27778000000001,17.99226,0
"Spacious, bright, unique apartment",Norrmalms,Entire home/apt,3.0,2.0,6,5,3000.0,331,67,99.0,59.345180000000006,18.06044,1
"Design, style & vintage by Odenplan",Norrmalms,Entire home/apt,1.0,1.0,3,3,1007.0,173,45,96.0,59.34763,18.05015,0
Spacious 2 BR - super central,Norrmalms,Entire home/apt,2.0,1.0,4,5,1782.0,154,73,96.0,59.339580000000005,18.05359,0
