name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
An Oasis in the City,Sydney,Private room,1.0,1.0,1,2,65.0,364,196,92.0,-33.86934,151.22688,0
Sydney City & Harbour at the door,Sydney,Private room,1.0,1.0,2,2,14315.0,0,526,95.0,-33.86515,151.1919,0
Unique Designer Rooftop Apartment in City Location,Sydney,Private room,1.0,1.0,2,2,79.0,360,365,88.0,-33.87964,151.2168,0
Sunny Darlinghurst Warehouse Apartment,Sydney,Entire home/apt,1.0,1.0,2,3,130.0,0,76,97.0,-33.87888,151.21438999999998,1
"Studio Yindi @ Mosman, Sydney",Mosman,Entire home/apt,1.0,1.0,4,2,140.0,315,285,91.0,-33.81927,151.23651999999998,0
"2br Eclectic Stylish Home, 2 mins to Bondi Beach",Waverley,Entire home/apt,2.0,1.0,4,5,245.0,364,32,88.0,-33.8889,151.27726,1
Large Garden Apartment in Bondi.,Woollahra,Entire home/apt,2.0,1.0,4,4,170.0,0,13,91.0,-33.88478,151.26779,0
Quiet base to explore Sydney,Marrickville,Private room,1.0,1.5,2,3,75.0,362,23,96.0,-33.915,151.1403,0
A little bit of Sydney - Australia,Hornsby,Private room,2.0,2.5,4,1,49.0,357,50,99.0,-33.729659999999996,151.05226000000002,1
"Cosy, Private, Self-Contained & Close to the City",Rockdale,Entire home/apt,1.0,1.0,4,2,99.0,1,43,97.0,-33.93683,151.13528,1
Sydney City Home with Harbour Views,Sydney,Private room,1.0,1.0,2,1,14315.0,0,386,96.0,-33.86585,151.19233,0
Beachside haven with gorgeous sea & Headland views,Randwick,Entire home/apt,1.0,1.0,2,2,118.0,61,281,99.0,-33.96472,151.24797,1
Private Room in Quaint House,North Sydney,Private room,1.0,1.0,1,2,75.0,358,93,99.0,-33.83096,151.21532,0
Bondi Beach Break 2 Bedroom Apt,Waverley,Entire home/apt,2.0,1.0,4,2,192.0,316,117,92.0,-33.8943,151.26724,1
Room + own Bathroom in Family Home!,Ku-Ring-Gai,Private room,1.0,1.0,1,21,70.0,317,23,99.0,-33.70143,151.12514,0
Apartment in North Bondi Village,Waverley,Entire home/apt,2.0,1.0,4,3,343.0,0,65,90.0,-33.88923,151.284,0
Secret Beach Hideaway with Tropical Gardens,Pittwater,Entire home/apt,2.0,2.0,4,14,293.0,300,12,100.0,-33.649640000000005,151.31691999999998,1
Bright Private Room Close to the City,Sydney,Private room,1.0,1.5,2,1,55.0,273,344,97.0,-33.89338,151.20406,1
Garden Retreat Northern Beaches,Pittwater,Entire home/apt,3.0,1.0,7,3,240.0,299,31,93.0,-33.694,151.29036000000002,1
Perfect for Visitors / Staycationers /Home Workers,Sydney,Entire home/apt,1.0,1.0,2,28,80.0,12,221,95.0,-33.87249,151.22478999999998,0
"Artist Studio/Apartment in Dee Why, Sydney",Warringah,Private room,1.0,0.0,1,14,158.0,89,18,89.0,-33.75636,151.28905,0
Beautiful peaceful room w/ensuite,Ku-Ring-Gai,Private room,1.0,1.0,2,2,55.0,365,46,96.0,-33.76635,151.18442,1
CLOSE TO THE CITY 1,Sydney,Private room,1.0,2.5,2,14,74.0,90,71,96.0,-33.914640000000006,151.21125,0
CLOSE TO THE CITY 2,Randwick,Private room,1.0,2.0,2,7,67.0,364,57,94.0,-33.914190000000005,151.21265,0
"Great Location, Paris End,  Potts Point Sydney",Sydney,Entire home/apt,1.0,1.0,2,2,110.0,0,19,96.0,-33.86699,151.22433,0
The Beachhouse Eco Retreat,Waverley,Entire home/apt,3.0,1.0,6,4,300.0,250,81,87.0,-33.89286,151.26631,0
Le Soleil Beach Front Luxury Villa,Sutherland Shire,Entire home/apt,3.0,2.5,6,2,580.0,335,13,95.0,-34.08273,151.15598,0
Best of Both Worlds North Narrabeen,Pittwater,Entire home/apt,4.0,2.0,8,2,300.0,299,129,98.0,-33.70017,151.29355,1
Loft Style Apartment in Sydney,Sydney,Entire home/apt,2.0,1.0,4,2,110.0,0,21,92.0,-33.89289,151.20956,0
Modern Spacious  1bdrm Apartment !!,Blacktown,Entire home/apt,1.0,1.0,2,3,120.0,285,32,98.0,-33.70711,150.92417,0
Rainforest garden apartment - deck,North Sydney,Private room,1.0,1.0,1,1,91.0,41,88,97.0,-33.84373,151.21479,1
Top Floor Apartment Steps To Darling Harbour and ICC,Sydney,Entire home/apt,1.0,1.0,2,7,145.0,343,97,91.0,-33.87536,151.19675,0
Private Art Deco Garden Apartment,Waverley,Entire home/apt,2.0,1.0,4,2,250.0,0,14,100.0,-33.89414,151.25138,0
Sunny Oceanside Deco Apartment,Randwick,Entire home/apt,1.0,1.0,2,4,130.0,0,12,98.0,-33.9263,151.25912,0
"Modern Terrace, Cool Sydney Suburb",Marrickville,Entire home/apt,3.0,2.5,8,5,337.0,363,15,98.0,-33.89436,151.17774,0
Your Own Private Studio Apartment,Woollahra,Entire home/apt,1.0,1.0,3,10,75.0,254,17,82.0,-33.87603,151.23413,0
SYDNEY BUSHLAND WATERFRONT HIDEAWAY,Sutherland Shire,Entire home/apt,3.0,2.0,6,4,275.0,173,27,98.0,-34.07966,151.1257,0
Stunning room + own bathroom + POOL,Marrickville,Private room,1.0,1.0,2,1,110.0,347,157,97.0,-33.89058,151.17791,1
Family Home on Willoughby Park.,Willoughby,Entire home/apt,6.0,3.0,9,3,714.0,293,33,93.0,-33.79381,151.20263,0
