name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
黑白雙人房@南京復興站。小巨蛋斜對面。溫泉式浴缸。,松山區,Private room,1.0,1.0,3,3,1393.0,0,49,88.0,25.05159,121.54746999999999,0
單人床位 Single bunk bed [mixed dorm for 4pax],中正區,Hotel room,1.0,4.0,1,1,597.0,33,81,92.0,25.04446,121.51346000000001,0
Taipei Rooftop - Whole apartment!,文山區,Entire home/apt,2.0,1.0,2,5,1200.0,88,64,99.0,25.00384,121.55573000000001,1
Fabulous studio - Center Taipei-- Monthly only,大安區,Entire home/apt,2.0,1.0,4,28,2312.0,365,25,94.0,25.04335,121.55006999999999,1
Fabulous Studio in heart of Taipei----Monthly only,中山區,Entire home/apt,1.0,1.0,2,1,1922.0,343,185,97.0,25.080070000000003,121.55908000000001,1
"2min walk to MRT, Quiet good sleep",中山區,Entire home/apt,1.0,1.0,3,365,1214.0,365,79,95.0,25.07921,121.55128,0
"CENTER CITY 1B1b, Daan District, MRT 2.5 Min",大安區,Entire home/apt,1.0,1.0,3,5,816.0,353,103,93.0,25.028660000000002,121.5433,0
Boutique Loft（月租）,松山區,Entire home/apt,1.0,1.0,2,10,1791.0,356,139,96.0,25.04814,121.54579,0
"市中心近3線捷運精裝房,機場巴士直達",松山區,Entire home/apt,1.0,1.5,6,2,1672.0,12,80,88.0,25.046670000000002,121.54527,0
單人床位 Single bunk bed [Mixed dorm for 12pax],中正區,Hotel room,1.0,4.0,1,1,546.0,33,45,94.0,25.04446,121.51383999999999,0
單人床位 Single bunk bed [female dorm for 10pax],中正區,Shared room,1.0,4.0,1,1,546.0,32,40,89.0,25.0445,121.51318,0
台北士林私人套房,士林區,Private room,1.0,1.0,2,21,891.0,0,167,98.0,25.113039999999998,121.53453999999999,1
"閣樓風情| 火鍋聚餐，3D電視打電動（此經濟房型需走五層） Y0UTUBE 搜""閣樓風情實景""看影片",內湖區,Entire home/apt,2.0,1.0,5,1,1722.0,365,90,91.0,25.06775,121.58417,0
Modern Loft in Taipei Dazhi area,中山區,Entire home/apt,1.0,1.0,3,3,1059.0,0,139,90.0,25.0828,121.55057,0
Staycation- Hidden gem of Taipei city centre,大安區,Entire home/apt,1.0,1.0,2,2,1230.0,151,135,93.0,25.04384,121.54973999999999,0
GingerKaffe Art Guest House,大同區,Private room,1.0,1.0,4,30,757.0,365,31,88.0,25.058629999999997,121.52013000000001,0
Dan's House Taipei 101 SOGO Eslite,大安區,Entire home/apt,3.0,1.5,12,1,750.0,335,112,93.0,25.0442,121.5403,0
602_Apartments for Rent near Academia Sinica,南港區,Private room,1.0,1.0,3,5,420.0,334,51,87.0,25.03696,121.61384,0
53 Apartmen Suites TAIPEI Station A,中山區,Private room,1.0,1.0,1,2,1257.0,365,141,93.0,25.04831,121.52198999999999,0
53 Apartmen Suites TAIPEI Station B,中山區,Private room,1.0,1.0,2,2,1100.0,365,113,91.0,25.04849,121.52351999999999,0
Cozy room 5 mins Yongchun station,信義區,Private room,1.0,1.0,2,2,672.0,85,142,94.0,25.04279,121.5753,0
53 Apartmen Suites TAIPEI Station C,中山區,Entire home/apt,1.0,1.0,2,2,1507.0,364,107,94.0,25.04891,121.52136000000002,0
A Modern Beitou Stay with Family,北投區,Entire home/apt,1.0,1.5,8,1,6949.0,176,17,95.0,25.12462,121.4662,1
Classic Mini Room,松山區,Hotel room,1.0,1.0,2,1,2137.0,110,37,94.0,25.05152,121.56966000000001,1
Chic & Clean for 2 with River view,松山區,Hotel room,1.0,1.0,3,1,2480.0,0,28,92.0,25.05159,121.56966000000001,1
Double Room Near Beitou MRT. Original Taipei life.,北投區,Hotel room,1.0,1.0,2,1,3643.0,127,12,93.0,25.1331,121.50200000000001,0
"〈Mixed Dorm〉Steal your heart, Leave your story",大同區,Hotel room,1.0,8.0,1,1,623.0,117,269,93.0,25.05106,121.51586,0
2 bedroom unit at the HEART of TPE!,大安區,Entire home/apt,2.0,2.0,6,3,4800.0,253,74,96.0,25.042460000000002,121.55357,1
Studio near MRT City Hall & 101 BLD,信義區,Entire home/apt,1.0,1.5,3,2,2507.0,344,238,93.0,25.041729999999998,121.56663,1
Homelike B&B @ Walk to Taipei 101,信義區,Private room,1.0,1.0,2,2,1230.0,210,144,96.0,25.04222,121.56388999999999,1
♥  Spacious Studio  at ♥ of Taipei ♥ sleeps 4,大安區,Entire home/apt,1.0,1.0,4,3,2000.0,260,69,95.0,25.042479999999998,121.55443000000001,1
Cozy 2 bdrm BEST location ,大安區,Entire home/apt,2.0,1.0,4,3,3200.0,227,48,94.0,25.040129999999998,121.55331000000001,1
Luxury flat in Taipei with amazing facilities,松山區,Private room,2.0,1.5,4,2,2354.0,300,67,90.0,25.049120000000002,121.55683,0
Sunlight AnHe 2BR  / next to subway,大安區,Entire home/apt,2.0,1.0,4,4,3049.0,147,148,95.0,25.033929999999998,121.55327,1
Across from Taipei Main Station!,中正區,Entire home/apt,1.0,1.0,3,3,1811.0,358,146,98.0,25.04607,121.51489,1
2 mins walk to 2 MRTs / 步行2分鐘市中心雙捷運/機場直達,中山區,Entire home/apt,1.0,1.0,2,2,2086.0,89,135,99.0,25.04975,121.54375,1
Joy's Apt. 兩房一廳、廚房、衛浴、中信園區及南港軟體園區捷運站旁,南港區,Entire home/apt,2.0,1.0,5,29,1230.0,212,50,94.0,25.06093,121.61455,0
BP Taipei MRT Apartment 2-1,中山區,Entire home/apt,1.0,1.0,3,3,1909.0,263,77,95.0,25.0587,121.52115,0
"Hill Top & Pool, Near Taipei 101",文山區,Entire home/apt,2.0,1.0,3,10,3500.0,364,18,93.0,25.00979,121.55995,0
"MRT Dongmen,Yongkang Street, Loft",大安區,Entire home/apt,1.0,1.0,3,2,2368.0,231,93,93.0,25.03414,121.52578000000001,0
Luxury view furnished condo in TPE,北投區,Entire home/apt,2.0,2.0,3,30,1950.0,243,12,93.0,25.15155,121.50379,0
Maison Du Tianmu (suite 45),士林區,Entire home/apt,4.0,2.0,8,14,2587.0,364,48,95.0,25.115029999999997,121.5295,0
MRT(ZhongshanJuniorHighSchool)28T/1two single beds,松山區,Entire home/apt,1.0,1.0,2,1,1254.0,364,96,92.0,25.05978,121.54495,1
SUITE Near MRT 3 Minutes by walk 13T5/Double bed,松山區,Entire home/apt,1.0,1.0,2,1,1254.0,364,81,89.0,25.06161,121.54445,1
Near MRT Guting station's apartment,中正區,Entire home/apt,1.0,1.0,3,1,1800.0,93,95,92.0,25.02692,121.51983999999999,1
台北Taipei Apt Zhongshan Dist,中山區,Private room,1.0,1.0,2,1,2037.0,365,11,84.0,25.04862,121.52739,0
a boutique house in central taipei,中正區,Entire home/apt,1.0,1.5,3,2,1592.0,365,332,92.0,25.04757,121.5149,0
台北Triple room zhongshan dist,中山區,Entire home/apt,1.0,1.0,3,1,2637.0,365,27,86.0,25.04828,121.52926000000001,0
MRT (3 mins walk) Foreverinn 37T6/Double bed/一張大床,松山區,Entire home/apt,1.0,1.0,2,1,1254.0,90,87,91.0,25.06019,121.54508999999999,1
101side cozy&Loft apt#1(2-4)月租,大安區,Entire home/apt,2.0,1.5,4,7,1300.0,246,65,92.0,25.03283,121.55686999999999,0
Cozy Suite. 3 Min Walk to Zhongxiao Fuxing MRT,大安區,Private room,1.0,1.0,2,1,1366.0,361,69,86.0,25.04437,121.54468,0
中山捷運站-雙人套房(含獨立衛浴)✪B,中山區,Private room,1.0,1.0,2,1,977.0,90,294,87.0,25.05258,121.52131999999999,0
101side MRT cozy apt#A4(2~5pax)月租,大安區,Entire home/apt,1.0,1.0,5,2,2571.0,318,97,95.0,25.02595,121.55243,0
Near MRT 3 Mins by Walk 65R1/Double bed/一張大床,中山區,Entire home/apt,1.0,1.0,2,1,1254.0,364,61,89.0,25.05992,121.54281,1
❤NOV special❤Central Lush 2BR Apt# Guting/Da-an,大安區,Entire home/apt,2.0,1.0,6,2,1393.0,314,186,91.0,25.01892,121.53173000000001,0
"Great central spot , Near it all.",信義區,Private room,1.0,1.0,1,2,879.0,0,40,95.0,25.03983,121.57507,0
Cozy Suite. 3 Min Walk to Zhongxiao Fuxing MRT,大安區,Private room,1.0,1.0,2,1,990.0,361,32,88.0,25.04382,121.54398,0
Spacious Modern Flat in TPE Center,大安區,Entire home/apt,1.0,1.0,3,7,3725.0,346,67,97.0,25.044420000000002,121.55061,0
Near MRT 3 Minutes by walk 44D1/ Double bed/一張大床,中山區,Entire home/apt,1.0,1.0,2,1,1254.0,364,69,89.0,25.060389999999998,121.54293,1
❅3 bedroom Apartment : sleeps 6,大安區,Entire home/apt,3.0,2.0,6,3,7611.0,146,83,95.0,25.040670000000002,121.55389,1
Beautiful 1 bedroom sleeps 4,大安區,Entire home/apt,1.0,1.0,4,3,2600.0,256,25,93.0,25.04085,121.5545,1
Hellow Tapie House捷運國父紀念館站5分鐘商務套房,信義區,Entire home/apt,1.0,1.0,2,1,1500.0,334,83,86.0,25.03462,121.55756000000001,0
Suite Near MRT 3 Mins by Walk  19D3/Double bed/一張大,松山區,Entire home/apt,1.0,1.0,2,1,1254.0,364,28,91.0,25.05949,121.54518999999999,1
MRT 3 mins by walk 18D4/ Double bed/一張大床,中山區,Entire home/apt,1.0,1.0,2,1,1254.0,90,77,88.0,25.05992,121.54326,1
MRT (3 mins walk) Foreverinn  8D6/ Double bed/一張大床,松山區,Entire home/apt,1.0,1.0,2,1,1254.0,364,14,93.0,25.06144,121.54513999999999,1
Cozy Suite. 3 Min Walk to Zhongxiao Fuxing MRT,大安區,Private room,1.0,1.0,4,1,1800.0,361,10,88.0,25.04351,121.54534,0
Cozy Suite. 3 Min Walk to Zhongxiao Fuxing MRT,大安區,Private room,1.0,1.0,3,1,892.0,361,14,84.0,25.04373,121.54416,0
Cozy Suite. 3 Min Walk to Zhongxiao Fuxing MRT,大安區,Private room,1.0,1.0,3,1,1466.0,361,47,86.0,25.04383,121.54527,0
Cozy Suite. 3 Min Walk to Zhongxiao Fuxing MRT,大安區,Private room,1.0,1.0,4,1,2199.0,361,35,88.0,25.043879999999998,121.54557,0
冬火鍋聚會歡迎! 現代法國風情 ｜暖氣！雙臥雙衛浴， 入 Y0UTUBE 搜尋「現代法國風情」看影片,內湖區,Entire home/apt,2.0,2.0,7,1,2110.0,337,87,90.0,25.06764,121.58195,0
"Shilin Night Market Suites 1, Taipei 士林夜市獨立衛浴優靜套房1",士林區,Private room,1.0,1.0,4,1,1171.0,364,82,86.0,25.087410000000002,121.52341000000001,0
Taipei Zhongshan Dist(Family Room）,中山區,Private room,1.0,1.0,4,1,2499.0,0,21,88.0,25.04907,121.52762,0
Lovely 1 bedroom-2B,大安區,Entire home/apt,1.0,1.0,4,3,2280.0,157,62,98.0,25.03216,121.53051,1
Private Suite 台北車站 / 中山捷運站(7-5),中山區,Entire home/apt,1.0,1.0,2,2,1030.0,364,169,90.0,25.05067,121.52386000000001,0
Near MRT 3 Minutes by walk 18D2/Double bed/一張大床,松山區,Entire home/apt,1.0,1.0,2,1,1453.0,243,33,90.0,25.059739999999998,121.54451,1
都會感陽光美宅~雙面自然光~秒達地鐵~101在眼前~無敵五星日夜景觀(有洗衣機),大安區,Entire home/apt,1.0,1.0,2,4,2509.0,87,107,95.0,25.02831,121.52271,0
(僅于跨年提供接待)Taipei101&Night Markt Nearby!象山站2號出口,信義區,Shared room,1.0,1.0,4,1,724.0,177,22,97.0,25.04145,121.56835,0
Taipei 101 Wu's Casita,信義區,Private room,3.0,2.5,6,30,700.0,365,442,89.0,25.03161,121.55981000000001,0
Private Suite 台北車站 / 中山捷運站(7-2),中山區,Private room,1.0,1.0,4,2,950.0,365,114,91.0,25.051660000000002,121.52472,0
Taipei i 101+park view❤MRT❤airport❤bright suite,松山區,Entire home/apt,1.0,1.0,3,1,776.0,365,66,91.0,25.057570000000002,121.55939,0
Cozy Room in Ximenting,萬華區,Private room,1.0,1.0,4,2,1288.0,0,165,84.0,25.04409,121.50672,0
"Suite get much natural light, 5 min to MRT",中山區,Hotel room,1.0,1.0,4,1,1373.0,89,281,96.0,25.05872,121.53396000000001,1
Whole Floor Private Apartment Near Metro,士林區,Entire home/apt,1.0,1.0,6,7,1200.0,328,95,98.0,25.10663,121.52861000000001,1
【Taipei Green 3】: SYS Memorial MRT,大安區,Private room,1.0,1.0,2,30,1712.0,365,13,89.0,25.03981,121.5556,0
Friendly 2minit to Mrt  Near 101 MIX dorm,大安區,Shared room,1.0,2.0,16,30,550.0,365,29,95.0,25.04119,121.55693000000001,0
"Mo's loft studio apartment ""B""",信義區,Private room,1.0,1.0,2,30,970.0,83,40,99.0,25.04435,121.57063000000001,0
"Mo's loft studio apartment ""S""",信義區,Private room,1.0,0.0,2,30,1150.0,88,28,91.0,25.04506,121.56933000000001,0
Taipei CT House - Private Room,大同區,Private room,1.0,3.0,2,7,1600.0,364,16,95.0,25.05025,121.5169,1
Lovely 2 bedroom-2A,大安區,Entire home/apt,2.0,1.0,4,3,3800.0,301,60,98.0,25.030829999999998,121.5311,1
2 BR Taipei Home /FREE ＷiFi/With Elevator,文山區,Entire home/apt,2.0,1.0,4,2,2000.0,263,12,97.0,24.99936,121.57238999999998,0
Apartment room close to Taipei 101 with 2 cats,大安區,Shared room,1.0,1.5,2,1,1199.0,8,114,95.0,25.03285,121.54782,0
