name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
Oshiage Holiday Apartment,Sumida Ku,Entire home/apt,1.0,1.0,4,3,11000.0,328,165,95.0,35.717209999999994,139.82596,0
Kero-kero house room 1,Kita Ku,Private room,1.0,1.0,2,3,7428.0,146,228,99.0,35.738440000000004,139.76917,1
"Classy room @Shinjuku, Takadanoba",Shinjuku Ku,Entire home/apt,1.0,1.0,3,30,5200.0,0,93,90.0,35.70865,139.69681,0
WOMAN ONLY LICENSED ! Cosy & Cat behnd Shibuya,Setagaya Ku,Private room,1.0,1.0,2,1,11000.0,139,211,99.0,35.65833,139.67153000000002,0
private room @Senju area,Adachi Ku,Private room,1.0,1.0,2,1,30000.0,271,72,91.0,35.74253,139.7973,1
Home stay with a Japanese language teacher family.,Shinjuku Ku,Private room,1.0,1.0,3,1,6367.0,353,252,98.0,35.690979999999996,139.70618000000002,1
Stay with host Cozy private room Senju area,Adachi Ku,Private room,1.0,1.0,2,2,3000.0,0,95,94.0,35.74409,139.79895,1
Unique stay! New&1min to the subway,Shibuya Ku,Entire home/apt,1.0,1.0,3,4,32571.0,365,102,99.0,35.651109999999996,139.72165,1
SHIBUYA 7 MINS  AMAZING HOST（for woman only）,Setagaya Ku,Private room,1.0,1.0,2,3,6000.0,57,185,96.0,35.60682,139.67629,1
Pine House 2 Bed Room + 2 Toilets,Katsushika Ku,Entire home/apt,2.0,2.5,4,3,13143.0,251,339,99.0,35.7385,139.85166999999998,1
3rd floor penthouse @ heart of TKO,Shinjuku Ku,Entire home/apt,1.0,1.0,2,3,28943.0,197,162,99.0,35.700990000000004,139.74012,1
Renewal! Solar power/Car space/near to park,Meguro Ku,Entire home/apt,3.0,4.0,11,2,15000.0,94,224,95.0,35.62198,139.69987,0
Room in Mejiro/Ikebukuro (2 of 3),Toshima Ku,Private room,1.0,2.0,2,3,4000.0,88,225,94.0,35.725970000000004,139.7016,0
Room in Mejiro/Ikebukuro (3 of 3),Toshima Ku,Private room,1.0,2.0,2,3,4000.0,346,220,93.0,35.72607,139.70363,0
Wahuu Style APT + Free Portable Wi-Fi,Katsushika Ku,Entire home/apt,1.0,1.5,5,3,9800.0,220,304,99.0,35.736259999999994,139.85023999999999,1
Shinjuku Sharehouse Private Tatami room  8F,Shinjuku Ku,Private room,1.0,1.0,3,2,6980.0,271,156,97.0,35.698570000000004,139.704,1
Shinjuku Sharehouse Private Tatami room & Balcony,Shinjuku Ku,Private room,1.0,1.0,3,2,6980.0,270,130,97.0,35.698479999999996,139.70432,1
Shinjuku ShareHouse Dormitory5  with Balcony,Shinjuku Ku,Shared room,1.0,1.0,9,2,4980.0,0,168,96.0,35.69847,139.70433,1
Shinjuku ShareHouse Dormitory6  with Balcony,Shinjuku Ku,Shared room,1.0,1.0,9,2,4980.0,270,141,96.0,35.698479999999996,139.70433,1
"cute room, safty residential area in west-Tokyo",Setagaya Ku,Private room,1.0,1.0,1,2,3300.0,0,42,96.0,35.65918,139.61021000000002,1
Enjoy a unique house in a green residential area!,Setagaya Ku,Private room,1.0,1.5,1,2,3300.0,50,13,100.0,35.6591,139.61036000000001,1
Home stay with a Japanese language teacher family,Shinjuku Ku,Private room,1.0,1.0,2,1,6367.0,365,247,98.0,35.69279,139.70928999999998,1
30sec Sta.nearSUMO AKB Shinjuku AB,Koto Ku,Private room,1.0,1.0,1,30,2000.0,180,115,88.0,35.69031,139.81423999999998,0
share house 'Miraie' @JR Osaki,Shinagawa Ku,Private room,1.0,1.0,2,2,7000.0,181,227,98.0,35.61626,139.72338,1
"Roppongi Villa,7min/ROPPONGIstatn.",Minato Ku,Entire home/apt,4.0,2.5,14,3,68929.0,0,170,95.0,35.656279999999995,139.72586,0
Stunning home in central Tokyo,Minato Ku,Entire home/apt,4.0,2.5,9,7,100000.0,274,240,98.0,35.650079999999996,139.73337,1
＊C＊Tranquil Studio with Loft&WIFI near Shinjuku !,Suginami Ku,Entire home/apt,1.0,1.0,4,1,12000.0,365,16,100.0,35.67273,139.65974,1
Spacious! Shibuya House w/Garden,Shibuya Ku,Private room,1.0,2.0,4,1,27000.0,310,157,99.0,35.67069,139.68388000000002,1
BEST for 2ppl@Shinjuku Takadanobaba,Shinjuku Ku,Entire home/apt,1.0,1.0,2,30,4000.0,180,73,88.0,35.70803,139.69822,0
Shinjuku Sharehouse Private Tatami Room III 8F,Shinjuku Ku,Private room,1.0,1.0,3,2,6980.0,271,82,95.0,35.69847,139.70433,1
Shinjuku ShareHouse Dormitory2  with Balcony,Shinjuku Ku,Shared room,1.0,1.0,9,2,4980.0,270,158,96.0,35.698479999999996,139.70433,1
Shinjuku ShareHouse Dormitory1  with Balcony,Shinjuku Ku,Shared room,1.0,1.0,9,2,4980.0,270,71,94.0,35.698479999999996,139.70435,1
Shinjuku ShareHouse Dormitory4  with Balcony,Shinjuku Ku,Shared room,1.0,1.0,9,2,4980.0,270,73,95.0,35.698479999999996,139.70433,1
11mins to Fussa station by train and 6mins walk!,Akishima Shi,Entire home/apt,1.0,1.0,2,3,3873.0,83,30,94.0,35.70477,139.37874,1
Work desk/Central TKO/Discover local life&culture,Bunkyo Ku,Private room,1.0,2.0,2,4,5000.0,47,76,97.0,35.72175,139.76308999999998,1
