name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
Downtown Harbourfront Private Room,Waterfront Communities-The Island,Private room,1.0,1.5,2,180,96.0,365,169,97.0,43.64105,-79.37628000000001,0
Queen Bedroom close to downtown,Briar Hill-Belgravia,Private room,1.0,1.0,3,28,72.0,362,217,95.0,43.696020000000004,-79.45468000000001,0
Downtown 2  Bdr.Apt with King Size Bed and Parking,South Parkdale,Entire home/apt,2.0,1.0,5,30,100.0,346,111,92.0,43.63532,-79.44049,0
Bright entire 2-bedrm basement suite private entry,Wexford/Maryvale,Private room,2.0,1.0,4,2,93.0,363,31,99.0,43.74922,-79.29188,0
Yonge & Bloor Studio Skyline,Church-Yonge Corridor,Entire home/apt,1.0,1.0,2,28,101.0,339,57,82.0,43.66979,-79.38494,1
Yonge & Bloor Lakeview Master BR,Church-Yonge Corridor,Private room,1.0,1.0,2,28,86.0,223,18,84.0,43.66957,-79.38539,1
Yorkville one bedroom Condo,Church-Yonge Corridor,Entire home/apt,1.0,1.0,3,28,123.0,294,58,93.0,43.66899,-79.38548,1
Large room in trendy King Street West.,Niagara,Private room,1.0,1.0,2,91,55.0,0,24,98.0,43.642959999999995,-79.40451,0
Furnished Heritage Suite Downtown,Niagara,Private room,1.0,1.0,2,30,50.0,289,12,96.0,43.64585,-79.40853,0
Zen South Facing Bedroom in Quiet Art-Filled Home,Palmerston-Little Italy,Private room,1.0,1.0,1,28,79.0,364,68,98.0,43.65853,-79.42709,0
Yonge & Bloor one bedroom Condo,Church-Yonge Corridor,Entire home/apt,1.0,1.0,3,28,121.0,314,56,92.0,43.66937,-79.38441,1
Furnished Downtown Loft Suite,Niagara,Private room,1.0,1.0,2,30,60.0,346,11,90.0,43.64597,-79.40765999999999,0
"GreatSpace,Backyard, 5min to Subway",Dufferin Grove,Entire home/apt,1.0,1.0,2,28,149.0,39,273,97.0,43.65956,-79.43228,1
Luxury Hotel Downtown Living !!,Niagara,Entire home/apt,1.0,1.0,2,30,108.0,362,29,96.0,43.641709999999996,-79.40469,0
North City View Yonge/Bloor,Church-Yonge Corridor,Entire home/apt,1.0,1.0,3,28,130.0,334,24,89.0,43.6696,-79.38547,1
Private bedroom close to downtown,Briar Hill-Belgravia,Private room,1.0,1.0,1,28,62.0,363,88,92.0,43.69662,-79.45325,0
John & Bren's Queen West 3 bedroom townhouse,Niagara,Entire home/apt,3.0,2.0,5,14,178.0,37,123,99.0,43.64458,-79.41022,1
Hip and modern family-friendly home,South Riverdale,Entire home/apt,2.0,2.0,6,5,175.0,285,18,98.0,43.66527,-79.32934,0
Gorgeous Condo near High Park!!,High Park North,Entire home/apt,1.0,1.0,2,180,65.0,365,12,98.0,43.65623,-79.46667,0
Best luxury location in downtown Toronto!,Waterfront Communities-The Island,Entire home/apt,1.0,1.0,2,30,102.0,312,38,91.0,43.64123,-79.39339,1
STYLISH  LAKEVIEW / KING SIZE BED/DOWNTOWN+PARKING,South Parkdale,Entire home/apt,1.0,1.0,2,30,125.0,254,78,96.0,43.63559,-79.44048000000001,0
Sunny & Stylish Aprtmnt w easy access to dwntwn,Danforth East York,Entire home/apt,1.0,1.0,3,28,89.0,0,100,95.0,43.68872,-79.3299,0
Downtown Toronto Near Lake Ontario,Waterfront Communities-The Island,Private room,1.0,1.0,1,3,83.0,365,27,97.0,43.64835,-79.36301999999999,0
Bloor West Village 1 Bedroom,High Park-Swansea,Entire home/apt,1.0,1.0,2,28,80.0,256,36,98.0,43.64618,-79.48833,1
"1,100SqFt. 2B+Den Spacious Green Condo",Waterfront Communities-The Island,Entire home/apt,2.0,2.0,4,28,199.0,365,54,90.0,43.64366,-79.39155,0
Downtown Yorkville Toronto,Church-Yonge Corridor,Entire home/apt,1.0,1.0,2,180,70.0,364,67,96.0,43.6703,-79.38461,0
Sunlit Separate Entrance Apartment,Humewood-Cedarvale,Entire home/apt,1.0,1.0,2,28,70.0,365,25,93.0,43.68683,-79.42274,1
2 bd Apt at Yonge & Bloor Yorkville,Church-Yonge Corridor,Entire home/apt,2.0,1.0,4,180,199.0,269,62,98.0,43.66932,-79.38525,1
Studio Loft- 2 flr- Liberty Village,South Parkdale,Entire home/apt,1.0,1.0,2,28,85.0,24,55,94.0,43.63895,-79.42246,0
Spacious 1 Bedroom Suite on Subway Line!,Oakridge,Entire home/apt,1.0,1.0,2,7,79.0,235,19,99.0,43.69447,-79.28794,1
Simplicity-Quiet Room in a House in the Kingsway,Stonegate-Queensway,Private room,1.0,1.0,2,2,71.0,355,28,96.0,43.63978,-79.50473000000001,1
Beautiful Newly Renovated 2BDM Home,Little Portugal,Entire home/apt,2.0,2.0,4,4,250.0,365,17,94.0,43.64589,-79.43464,1
Boutique living - King West Central,Niagara,Entire home/apt,1.0,1.0,2,28,150.0,363,37,93.0,43.635979999999996,-79.41468,1
Lawrence Park Retreat,Lawrence Park North,Private room,1.0,1.0,1,28,60.0,365,28,91.0,43.72613,-79.40253,0
