name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
"Cozy Artist’s Abode, NE Mpls - Pets, Wifi, Roku TV",Hennepin,Entire home/apt,1.0,1.0,5,1,85.0,0,255,95.0,45.00886,-93.23406999999999,1
"Charming, 1 or 2BR + private bath, near downtown",Hennepin,Private room,2.0,1.0,5,2,49.0,363,166,97.0,44.94566,-93.35721,1
"Parks, Lakes, Downtown, Light rail",Hennepin,Private room,2.0,1.0,3,2,50.0,364,174,96.0,44.91878,-93.23038000000001,0
"Minneapolis/Edina ""Cabin"" on Creek",Hennepin,Entire home/apt,1.0,1.5,3,7,160.0,235,35,98.0,44.91985,-93.35141,1
Attic Loft with organic breakfast,Ramsey,Entire home/apt,1.0,1.0,4,3,65.0,235,20,97.0,44.948,-93.19037,0
Rest and Rehearsal Space,Hennepin,Private room,2.0,1.0,3,2,50.0,364,20,100.0,44.92136,-93.22873,0
Two rooms and bath - centrally located,Hennepin,Private room,2.0,1.0,4,2,85.0,364,72,97.0,44.92883,-93.27819000000001,0
Victory Memorial Pkwy Tudor home close to downtown,Hennepin,Private room,1.0,1.0,3,2,125.0,178,44,99.0,45.01591,-93.3196,0
"Private Bedroom, Walk to Saint Paul Campus!",Ramsey,Private room,1.0,1.0,2,2,75.0,365,21,97.0,44.97611,-93.18981,1
Powderhorn home - sleeps four,Hennepin,Entire home/apt,1.0,1.0,4,2,60.0,120,24,97.0,44.942040000000006,-93.24949000000001,0
Victorian on transit line. Your own private floor.,Ramsey,Private room,1.0,1.5,5,1,50.0,138,181,97.0,44.94723,-93.17278,1
The Manor Master Chamber,Ramsey,Private room,1.0,1.5,4,1,78.0,0,254,97.0,44.969429999999996,-93.11304,1
"Charming, sweet Uptown Minneapolis apartment!",Hennepin,Entire home/apt,1.0,1.0,4,5,85.0,224,170,97.0,44.94303,-93.2943,1
Arts & Crafts condo with amenities,Hennepin,Private room,1.0,1.0,1,3,60.0,179,61,97.0,44.93788,-93.28886,0
S&J#15U~3BR Walk to all! 33% Off Jan-Mar,Hennepin,Entire home/apt,3.0,1.0,10,2,337.0,277,35,86.0,44.95823,-93.29276,0
Unfurnished Edina long term rental,Hennepin,Entire home/apt,1.0,1.0,3,180,50.0,358,11,90.0,44.86782,-93.33241,0
Linden Hills 4-BR/3-bath home,Hennepin,Entire home/apt,4.0,2.5,8,7,282.0,105,224,99.0,44.9287,-93.31029000000001,1
COZY RETREAT |  bright + comfortable + relaxing,Hennepin,Entire home/apt,3.0,1.0,6,2,125.0,265,85,99.0,44.91959,-93.27388,1
Beautiful Bedroom in Upscale Home,Hennepin,Private room,1.0,1.0,2,365,40.0,358,25,98.0,44.95987,-93.44022,0
Finca en La Ciudad Farm in the City,Hennepin,Private room,1.0,1.0,2,2,45.0,364,158,91.0,44.95319,-93.22821,0
The Berg House-Elegant City Living,Ramsey,Entire home/apt,3.0,2.0,8,2,170.0,356,52,98.0,44.94488,-93.12915,1
Linden Hills Guest Home,Hennepin,Entire home/apt,4.0,1.0,6,2,129.0,0,70,91.0,44.92112,-93.32223,0
Beautiful Urban Garden Walkout,Hennepin,Entire home/apt,2.0,1.0,4,2,141.0,337,276,99.0,44.971990000000005,-93.30631,1
Summer Cabin -- Winter Ski Chalet,Washington,Entire home/apt,3.0,1.0,4,30,124.0,129,55,96.0,44.89864,-92.78765,0
Memorable Holiday Gather Wayzata Lakefront Estate,Hennepin,Entire home/apt,4.0,3.0,10,4,689.0,242,33,96.0,44.97588,-93.49115,1
Modern Downtown St. Paul Loft,Ramsey,Entire home/apt,1.0,1.0,2,120,99.0,326,13,88.0,44.94999,-93.09821,1
Our Studio,Wright,Entire home/apt,1.0,1.0,2,2,79.0,219,115,100.0,45.29343,-93.75288,1
Rest & Play-Whole Bear House,Anoka,Entire home/apt,3.0,1.5,5,2,192.0,223,18,88.0,45.196329999999996,-93.38801,1
Momma Bear Room,Anoka,Private room,1.0,1.5,2,2,95.0,222,10,94.0,45.19526,-93.38623,1
Papa Bear Room,Anoka,Private room,1.0,1.5,2,2,87.0,222,17,99.0,45.19578,-93.38603,1
Urban Retreat-Near UofM + Downtown,Hennepin,Private room,1.0,1.0,2,1,75.0,296,99,98.0,44.95479,-93.21600000000001,1
Bungalow by the Lakes Fulton,Hennepin,Entire home/apt,3.0,2.0,10,2,250.0,64,20,91.0,44.9114,-93.32154,0
Dreamy Chic Apartment,Ramsey,Entire home/apt,1.0,1.0,4,6,85.0,148,109,92.0,44.95422,-93.14299,0
Uptown Brownstone with Parking,Hennepin,Entire home/apt,1.0,1.0,4,2,153.0,365,32,95.0,44.948890000000006,-93.30098000000001,1
Charming Condo Brownstone 2 Bedroom,Hennepin,Entire home/apt,2.0,1.0,4,3,155.0,365,21,86.0,44.946740000000005,-93.24886,1
Contemporary Urban Condo 1 Bedroom,Hennepin,Entire home/apt,1.0,1.0,3,3,135.0,269,23,88.0,44.946740000000005,-93.24886,1
Arts/Crafts house near Lake Harriet,Hennepin,Private room,1.0,1.0,3,2,75.0,363,37,98.0,44.92677,-93.28336999999999,0
Minutes from Uptown and Downtown Mpls,Hennepin,Private room,1.0,1.5,1,3,55.0,304,16,96.0,44.95303,-93.2579,0
Lovely 3BD Near Parks & Downtown,Hennepin,Entire home/apt,3.0,1.0,6,1,119.0,15,135,93.0,44.96967,-93.29522,0
9 Miles to US Bank Stadium (Super Bowl Location :),Ramsey,Entire home/apt,2.0,1.0,4,3,300.0,364,29,96.0,45.00996,-93.10923000000001,0
Pvt 2-bed apartment close to downtown!,Hennepin,Private room,2.0,1.0,4,2,75.0,365,168,98.0,44.99713,-93.28618,1
Uptown - North Woods Vibes in the ❤ of MPLS,Hennepin,Entire home/apt,1.0,1.0,2,1,69.0,300,171,97.0,44.94093,-93.28732,1
Ritz-Like Serenity On Lake Calhoun!,Hennepin,Entire home/apt,2.0,1.5,8,5,229.0,358,12,93.0,44.949740000000006,-93.32016,0
