name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
Venice Blue on Canal apartment,San Polo,Entire home/apt,2.0,2.0,4,7,225.0,334,162,99.0,45.43823,12.32902,0
Venice garden charme and canal view!,Santa Croce,Entire home/apt,2.0,2.0,6,7,250.0,354,64,100.0,45.43971,12.32799,0
Venice home to relax and emotions,Santa Croce,Entire home/apt,2.0,2.0,4,4,137.0,361,184,99.0,45.440490000000004,12.32877,0
Charming room with balcony close to S. Mark's,San Marco,Private room,1.0,1.0,4,1,140.0,343,410,96.0,45.43221,12.33411,0
Historical Luxury Apartment on Calm Sunny Canal,Cannaregio,Entire home/apt,3.0,2.0,6,2,300.0,357,72,96.0,45.447540000000004,12.329180000000001,1
Fuseri Apartment -Canal view,San Marco,Entire home/apt,2.0,2.0,6,1,180.0,346,59,81.0,45.43439,12.33509,0
Ca' Barba B&B: room n102 (jacuzzi shower),San Polo,Hotel room,1.0,1.0,2,2,103.0,347,274,98.0,45.43846,12.33235,1
Ca' Barba Apartment,Dorsoduro,Entire home/apt,3.0,2.0,5,2,136.0,222,145,96.0,45.43593,12.32521,1
Ca' Foscari Apartment,Dorsoduro,Entire home/apt,2.0,1.0,3,3,116.0,365,74,96.0,45.43549,12.32612,1
Waterfront Charm in Central Venice,Cannaregio,Entire home/apt,2.0,1.0,6,3,150.0,89,47,96.0,45.44525,12.331660000000001,0
Apartament alla Fenice a Venezia,San Marco,Entire home/apt,2.0,1.0,4,1,150.0,365,159,95.0,45.43302,12.332,0
Bed and Breakfast Venice.it,Santa Croce,Hotel room,1.0,1.0,2,2,33.0,355,44,87.0,45.442,12.33075,0
B&B  Venice Casa Baseggio,Cannaregio,Private room,1.0,1.0,2,1,90.0,270,148,98.0,45.44334,12.33483,1
B&B AL CANAL VENICE canal view,Giudecca,Private room,1.0,1.0,2,2,73.0,270,280,98.0,45.42708,12.31823,1
Appartamento con splendida vista sulla Laguna,Castello,Entire home/apt,1.0,1.0,2,3,90.0,364,11,100.0,45.43886,12.3499,0
APPARTAMENTO AL PERGOLO  CANAL VIEW,Dorsoduro,Entire home/apt,3.0,1.0,5,2,149.0,365,149,94.0,45.43108,12.32593,1
Armonia Apartment  Venice's flavour,Cannaregio,Entire home/apt,1.0,2.0,4,3,130.0,362,24,95.0,45.44555,12.32155,0
COZY ROOM EASY TO GET VENICE AND AIRPORTS !,San Lorenzo XXV Aprile,Private room,1.0,1.0,2,2,49.0,365,248,89.0,45.492490000000004,12.24348,0
a stone's throw to St.Markwith WiFi,San Marco,Entire home/apt,1.0,1.0,4,2,90.0,283,97,89.0,45.43482,12.33648,0
Biennale - Great & cosy flat,Castello,Entire home/apt,2.0,1.0,4,3,80.0,335,209,93.0,45.42978,12.35715,1
rooms in Venice,Santa Croce,Private room,1.0,1.0,3,1,100.0,365,52,81.0,45.44207,12.32577,0
Eco Venice 1,Favaro,Entire home/apt,1.0,1.0,2,2,64.0,263,313,96.0,45.507,12.28175,1
Low Cost Romantic Venice,Castello,Entire home/apt,1.0,1.0,4,3,112.0,306,519,96.0,45.433690000000006,12.35051,1
Ca' Annalaura 2 with private court,Castello,Entire home/apt,1.0,1.0,3,2,55.0,349,245,94.0,45.43476,12.34999,1
Saint Mark apartment  in  Venice,San Marco,Entire home/apt,2.0,1.0,4,3,78.0,339,130,92.0,45.43517,12.33554,1
at Biennale Giardini - Cà Zaleta,Castello,Entire home/apt,1.0,2.0,4,5,100.0,358,217,94.0,45.43079,12.35641,1
San Bortolomio Apartment - WI FI,San Marco,Entire home/apt,2.0,1.0,4,3,78.0,344,105,90.0,45.437459999999994,12.337,1
Ca' Annalaura 1 with private court,Castello,Entire home/apt,1.0,1.0,4,2,56.0,342,268,98.0,45.43385,12.34786,1
Ca' Gioiosa,Dorsoduro,Entire home/apt,2.0,1.0,6,2,100.0,365,79,93.0,45.43103,12.31997,0
Al Campanile: Loft ROSSO,Cannaregio,Entire home/apt,1.0,1.0,4,3,198.0,341,20,97.0,45.44648,12.33187,0
Al Giardino B &B minimun 2 Days,Favaro,Private room,1.0,1.0,2,1,32.0,364,182,91.0,45.50878,12.2815,0
Elegant apartment with privatgarden,Dorsoduro,Entire home/apt,1.0,1.0,4,3,115.0,329,39,94.0,45.43286,12.32043,0
22 Marzo by St. Mark's Square - 1-BR Apt,San Marco,Entire home/apt,1.0,1.0,2,2,150.0,364,187,99.0,45.43316,12.3353,1
Ca' Risorta  ♡ Your romantic retreat,Cannaregio,Entire home/apt,1.0,1.0,2,3,119.0,0,81,100.0,45.443940000000005,12.329039999999999,1
SHORT HOLIDAYS  IN VENICE FREE WIFI,Marghera,Private room,1.0,1.0,1,2,36.0,364,326,97.0,45.4732,12.225019999999999,1
Villa ai Tigli - Portion of Villa 15 Pax in Venice,Tessera,Private room,4.0,4.0,15,1,220.0,334,15,94.0,45.5032,12.32058,1
Giardino dei Melograni  Economy Room,Cannaregio,Hotel room,1.0,1.0,2,1,93.0,331,27,94.0,45.44487,12.326419999999999,0
HAPPY AND LUMINOUS FLAT IN VENICE WITH TERRACE,Castello,Entire home/apt,1.0,1.0,4,2,115.0,364,66,98.0,45.43438,12.34683,0
Ca' Del Mercante Grand Canal with Roof Terrace,San Polo,Entire home/apt,4.0,3.0,8,3,594.0,353,59,96.0,45.435559999999995,12.327,1
"Charming & Bohémienne, a cozy stay in San Marco",Castello,Entire home/apt,1.0,1.0,4,2,118.0,364,86,92.0,45.43655,12.34655,1
"""BOUDOIR"" IN10 MINUTES FROM VENICE",Altobello,Private room,1.0,1.0,3,1,58.0,363,117,90.0,45.48554,12.24628,0
Ca' Grassi 2 Charme Apartment,San Marco,Entire home/apt,1.0,1.0,3,3,248.0,365,23,96.0,45.43452,12.329310000000001,1
Ca' Grassi 1 Apartment for 4/5 Guests,San Marco,Entire home/apt,2.0,2.0,5,3,270.0,362,42,95.0,45.43314,12.32859,1
