name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
b&b near Old Danube river,Donaustadt,Hotel room,1.0,1.0,3,1,87.0,365,11,95.0,48.24262,16.427670000000003,0
central cityapartement- wifi- nice neighbourhood,Leopoldstadt,Entire home/apt,1.0,1.0,5,3,55.0,169,324,95.0,48.21924,16.37831,1
"Near Palace Schönbrunn, Apt. 1",Rudolfsheim-Fnfhaus,Entire home/apt,2.0,1.0,6,1,134.0,328,155,97.0,48.18434,16.32701,0
Flat in the Center with Terrace,Leopoldstadt,Private room,1.0,2.0,2,2,50.0,364,116,95.0,48.21781,16.380229999999997,1
nice big apartment with balcony,Ottakring,Entire home/apt,2.0,1.0,4,3,77.0,0,50,97.0,48.22207,16.315939999999998,0
Lovely Viennese apartment (2-4 p.),Brigittenau,Entire home/apt,2.0,1.0,4,4,65.0,317,14,89.0,48.235,16.366139999999998,0
Beautiful New Central Apartment,Neubau,Entire home/apt,1.0,1.0,4,1,98.0,290,631,97.0,48.20599,16.3489,1
"In the Center, 2 minutes to the State Opera!",Margareten,Entire home/apt,1.0,1.0,4,1,27.0,0,128,91.0,48.19403,16.35991,0
"Modern Apartment, 10min to the City",Hernals,Entire home/apt,1.0,1.0,4,3,46.0,225,146,98.0,48.21999,16.33304,1
"Modern Apartment, free Parking, flexible check-in",Floridsdorf,Entire home/apt,1.0,1.0,3,3,69.0,180,17,95.0,48.2607,16.4007,0
Messe Wien Apartment Vienna,Leopoldstadt,Entire home/apt,1.0,1.5,5,2,53.0,216,26,85.0,48.22155,16.4044,0
Feels-Like-Home Apt @ Praterstern,Leopoldstadt,Entire home/apt,1.0,1.0,4,3,55.0,360,270,99.0,48.2158,16.39034,1
Cozy studio infront of Prater.,Leopoldstadt,Entire home/apt,1.0,1.0,2,2,65.0,42,54,91.0,48.21853,16.40307,0
City Center Apartment - Free Wifi unlimited,Alsergrund,Entire home/apt,1.0,1.0,3,1,43.0,336,126,89.0,48.21606,16.34875,1
Apartment Vienna Simmering,Simmering,Entire home/apt,1.0,1.0,4,3,25.0,35,101,97.0,48.18059,16.41778,1
In the Heart of Vienna - Naschmarkt,Wieden,Private room,1.0,1.0,2,2,36.0,365,364,94.0,48.196329999999996,16.36375,1
