name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
Vita's Hideaway,Historic Anacostia,Private room,1.0,1.0,1,2,55.0,365,75,92.0,38.86177,-76.98966,0
Historic Rowhouse Near Monuments,"Edgewood, Bloomingdale, Truxton Circle, Eckington",Private room,1.0,1.5,2,2,70.0,365,429,96.0,38.91066,-77.00438,0
Bedroom in DC 2 blocks to Metro,"Capitol Hill, Lincoln Park",Private room,1.0,1.5,2,28,80.0,263,45,97.0,38.88791,-76.99668,1
Bertina's  House Part One,"Eastland Gardens, Kenilworth",Private room,1.0,1.0,4,30,54.0,84,102,93.0,38.90645,-76.94305,0
"DC, Near Metro","Edgewood, Bloomingdale, Truxton Circle, Eckington",Private room,1.0,3.0,1,2,99.0,233,31,95.0,38.91409,-76.99368,1
Cozy apt in Adams Morgan,"Kalorama Heights, Adams Morgan, Lanier Heights",Entire home/apt,1.0,1.0,3,3,68.0,109,95,91.0,38.91933,-77.04124,0
"Best of Washington - Great neighborhood, parking","Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",Entire home/apt,1.0,1.0,2,3,99.0,207,88,97.0,38.91988,-77.09796,0
Adams Morgan Charm,"Kalorama Heights, Adams Morgan, Lanier Heights",Private room,1.0,1.0,1,2,42.0,0,112,97.0,38.91966,-77.04306,0
Sophisticated Logan Circle Loft,"Dupont Circle, Connecticut Avenue/K Street",Entire home/apt,1.0,1.0,4,2,185.0,48,154,95.0,38.91146,-77.03636,0
Sanctuary near Cathedral,"Cathedral Heights, McLean Gardens, Glover Park",Entire home/apt,1.0,1.0,4,1,100.0,356,392,92.0,38.92828,-77.07638,0
Peaches & Cream near Cathedral,"Cathedral Heights, McLean Gardens, Glover Park",Private room,1.0,1.5,2,1,69.0,365,94,93.0,38.927440000000004,-77.07496,0
"Heart of the City -HalfBlock to METRO, Restaurants","Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Entire home/apt,1.0,1.0,4,4,125.0,0,26,98.0,38.92836,-77.03135999999999,0
Quiet Comfort near Nat'l Cathedral,"Cathedral Heights, McLean Gardens, Glover Park",Private room,1.0,1.5,2,1,69.0,365,92,94.0,38.927,-77.07645,0
Downtown Spacious Bedroom & Private Bath,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",Private room,1.0,1.0,3,3,90.0,76,554,97.0,38.904270000000004,-77.02656,1
Capitol Hill Guest Suite,"Union Station, Stanton Park, Kingman Park",Entire home/apt,1.0,1.0,2,30,85.0,310,171,98.0,38.89866,-77.00179,1
The Loft near National Cathedral,"Cathedral Heights, McLean Gardens, Glover Park",Private room,1.0,1.5,2,1,69.0,365,82,93.0,38.92708,-77.0768,0
Embassy Row /Glover Park with Free Parking,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",Private room,1.0,1.0,2,3,51.0,57,124,95.0,38.92505,-77.06827,1
Elegant Logan Circle Loft Share,"Dupont Circle, Connecticut Avenue/K Street",Shared room,1.0,1.0,1,2,90.0,88,98,96.0,38.90933,-77.03484,0
"Modern Luxury, Jacuzzi Tub & Fireplace.","Brightwood Park, Crestwood, Petworth",Entire home/apt,4.0,3.5,16,4,201.0,204,115,85.0,38.94592,-77.02331,0
The Smithsonian Vacation House,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Entire home/apt,3.0,2.5,8,1,379.0,365,25,92.0,38.88107,-77.01890999999999,0
Capitol Hill H Street 1BR Apt :),"Union Station, Stanton Park, Kingman Park",Entire home/apt,1.0,1.0,4,3,645.0,0,15,95.0,38.90254,-76.99257,1
