name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
"Clean, central, quiet",Sihlfeld,Entire home/apt,1.0,1.0,4,3,100.0,85,49,96.0,47.373740000000005,8.51957,0
Bedroom overlooking the lake near,Wollishofen,Private room,1.0,1.0,2,2,69.0,363,221,92.0,47.33463,8.54117,0
Luxury 3-Level Loft @ Trendy District,Escher Wyss,Entire home/apt,1.0,1.5,2,5,333.0,173,27,99.0,47.38942,8.51881,0
"room with balcony, city centre",Gewerbeschule,Private room,1.0,1.0,1,1,72.0,365,295,92.0,47.38326,8.52718,0
Best Location in Zurich Oldtown,Rathaus,Entire home/apt,2.0,1.0,4,3,111.0,238,243,89.0,47.372840000000004,8.543239999999999,0
Large Apartment - Center of Zurich,Hochschulen,Entire home/apt,3.0,2.0,6,7,360.0,56,13,98.0,47.36802,8.54813,0
Zürich - we like it!,Altstetten,Private room,1.0,1.0,1,1,59.0,0,95,99.0,47.39185,8.48432,1
Zürich Charming Business/Holiday,Alt-Wiedikon,Entire home/apt,1.0,2.5,2,2,115.0,278,22,98.0,47.37008,8.51368,0
Apartment Villa Feldpausch,Weinegg,Entire home/apt,1.0,1.5,2,14,150.0,56,79,99.0,47.35406,8.57885,1
Large Corner Room @ The Swiss Villa,Fluntern,Private room,1.0,1.0,1,10,115.0,178,18,100.0,47.37795,8.55781,1
"Bright & cozy apartment, downtown",Alt-Wiedikon,Entire home/apt,1.0,1.0,2,2,49.0,87,18,96.0,47.36501,8.51506,0
"Duplex  Flat, 120 m2 7-8  persons",Oerlikon,Entire home/apt,4.0,2.0,8,3,220.0,255,90,93.0,47.40703,8.55232,1
NB1: Charming 2-room apartment,Wipkingen,Entire home/apt,1.0,1.0,4,3,185.0,333,25,97.0,47.39232,8.52876,0
Great duplex in the heart of Zurich,Hard,Entire home/apt,3.0,2.0,6,150,80.0,179,15,97.0,47.38003,8.508289999999999,0
Room Central Zurich-Perfect View!!,Langstrasse,Private room,1.0,1.0,2,10,120.0,365,27,94.0,47.3748,8.52668,0
NB3: Beautiful 2-bedroom apartment,Wipkingen,Entire home/apt,1.0,1.0,4,3,165.0,332,12,80.0,47.3937,8.52998,0
Guesthouse Im Sonnenbuehl/Uetliberg,Friesenberg,Entire home/apt,1.0,1.0,7,1,250.0,301,79,86.0,47.35468,8.48535,0
Quiet room in Zürich 5min to center,Wollishofen,Private room,1.0,1.5,1,1,79.0,365,74,96.0,47.33715,8.53265,0
B&B in Penthouse Zürich-Seefeld,Seefeld,Private room,1.0,1.5,2,2,125.0,85,10,100.0,47.35494,8.5546,0
Top location and top apartment in Zürich,Seebach,Private room,1.0,1.0,2,1,57.0,364,180,98.0,47.42716,8.54595,1
Architect's loft seen in magazines centre Zurich,Langstrasse,Entire home/apt,1.0,1.0,2,4,421.0,87,72,99.0,47.37449,8.52116,0
Centrally located room in Zurich,Sihlfeld,Private room,1.0,1.0,1,1,45.0,32,162,99.0,47.37744,8.50882,1
"Zurich - easy, central, convenient",Höngg,Private room,1.0,1.0,1,4,54.0,259,27,98.0,47.402390000000004,8.49519,0
Luxury Loft/Penthouse in Zürich,Alt-Wiedikon,Entire home/apt,1.0,1.0,2,5,219.0,365,18,100.0,47.36202,8.52058,0
"Zurich-heart of the city, 2,5 rooms",Langstrasse,Entire home/apt,1.0,1.0,2,3,105.0,302,205,98.0,47.379290000000005,8.5352,1
Apartement in trendy Zurich Seefeld,Weinegg,Entire home/apt,1.0,1.0,2,5,140.0,301,33,96.0,47.34949,8.56516,1
Grosse charmante Wohnung nähe Oper,Seefeld,Entire home/apt,3.0,1.5,6,2,379.0,318,76,99.0,47.363929999999996,8.548869999999999,1
"Lovely, central, large, sunny! :-)",Wipkingen,Entire home/apt,1.0,1.0,3,3,89.0,56,30,99.0,47.39448,8.52941,0
Subletting apartment or room,Friesenberg,Entire home/apt,2.0,1.0,4,1,110.0,87,27,92.0,47.3661,8.50282,0
Room in Duplex Apartment,Enge,Private room,1.0,2.0,2,1,170.0,0,74,95.0,47.36063,8.53471,1
"Private room, bright & quiet(1-3months possible)",Wollishofen,Private room,1.0,1.5,1,2,65.0,62,53,99.0,47.33142,8.5374,1
Modern Appartement with own Garden,Unterstrass,Entire home/apt,1.0,1.0,3,3,120.0,362,72,100.0,47.395,8.534419999999999,1
Spacious room near center and university,Oberstrass,Private room,1.0,1.5,2,2,75.0,298,425,99.0,47.38302,8.54983,1
Private room in center of Zurich,Gewerbeschule,Private room,1.0,1.0,1,1,80.0,0,233,98.0,47.38435,8.53154,1
cosy flat near the lake,Friesenberg,Entire home/apt,1.0,1.0,2,21,3000.0,365,33,98.0,47.35572,8.522110000000001,0
LOVELY HOME,Enge,Private room,1.0,1.0,2,1,55.0,362,11,96.0,47.36538,8.52406,0
Room close to opera & lake,Mühlebach,Private room,1.0,1.5,2,1,89.0,365,67,97.0,47.36463,8.54884,1
Modern sunny Appartment lakeside,Hottingen,Entire home/apt,1.0,1.0,2,1,100.0,365,10,93.0,47.36724,8.551789999999999,0
Exclusive sunny penthouse at lake,Hottingen,Entire home/apt,1.0,1.0,2,1,100.0,365,10,88.0,47.3681,8.551160000000001,0
A spacious space,Albisrieden,Private room,1.0,2.0,4,2,110.0,1,104,95.0,47.38015,8.49808,0
studio / home office  in a trendy quarter,Wipkingen,Entire home/apt,1.0,1.0,2,14,70.0,365,42,93.0,47.394079999999995,8.53195,0
Super central & cozy! (Families with baby welcome),Werd,Entire home/apt,1.0,1.0,3,5,155.0,0,27,98.0,47.37015,8.52678,0
Roomy well-lit Private room Heart of Zurich,Enge,Private room,1.0,1.5,3,7,42.0,180,131,90.0,47.36288,8.52304,0
"Groundfloor Room i/Family Home Hottingen, Kreis 7",Hottingen,Private room,1.0,1.0,2,1,49.0,331,78,92.0,47.366440000000004,8.56301,1
Nice apartment in Zurich-Affoltern,Affoltern,Entire home/apt,1.0,2.0,2,4,140.0,25,60,98.0,47.42541,8.49986,0
"Balcony Room in FamilyHome Hottingen, Kreis 7",Hottingen,Private room,1.0,1.0,2,2,49.0,244,89,93.0,47.366440000000004,8.56301,1
Modern 5.5 Meter Celings City Center Flat!,Langstrasse,Entire home/apt,3.0,2.0,6,21,417.0,365,12,98.0,47.38015,8.52768,0
Bedroom i/Family Home ZüriHottingen,Hottingen,Private room,1.0,1.0,2,1,49.0,364,40,93.0,47.36589,8.56362,1
Basic Well-lit Private Room Heart of Zurich,Alt-Wiedikon,Private room,1.0,1.5,2,1,41.0,171,114,95.0,47.36407,8.52113,0
"Central Studio+balcony, lake 10 min",Hottingen,Entire home/apt,1.0,1.0,2,3,84.0,0,217,99.0,47.3673,8.55255,1
@ Hardplatz ZH,Hard,Private room,1.0,1.0,1,2,66.0,240,29,90.0,47.38153,8.51815,0
"Old-town, cozy 2 rooms flat, fully furnished",Rathaus,Entire home/apt,1.0,1.0,2,13,55.0,271,29,89.0,47.37315,8.5458,0
Central 2 room apt. (2-4 people),Wipkingen,Entire home/apt,1.0,1.0,4,2,90.0,58,22,92.0,47.393240000000006,8.528080000000001,0
Mi Casa es su Casa,Alt-Wiedikon,Entire home/apt,2.0,1.0,6,1,132.0,112,435,86.0,47.36347,8.517489999999999,0
Charmante Altbauwohnung Idaplatz,Sihlfeld,Entire home/apt,2.0,1.0,3,8,120.0,69,10,96.0,47.373459999999994,8.51491,0
Discover Zürich & relax comfortably,Wollishofen,Private room,1.0,1.5,2,2,70.0,93,89,99.0,47.33763,8.53492,1
Lakeside Duplex with Stunning Views,Wollishofen,Entire home/apt,2.0,1.0,5,1,200.0,241,13,92.0,47.3409,8.53246,0
Old-town 2 room flat with river view,Rathaus,Entire home/apt,1.0,1.0,2,13,90.0,332,24,94.0,47.37396,8.542910000000001,0
Apartment in best location!,Lindenhof,Entire home/apt,1.0,1.0,2,2,149.0,0,59,98.0,47.372890000000005,8.54145,1
Centrally located 4-room apartment – a real gem!,Oberstrass,Entire home/apt,1.0,1.0,2,20,136.0,78,14,94.0,47.37738,8.54754,0
Letzigrund Magenta Apartment,Altstetten,Entire home/apt,1.0,1.0,4,3,480.0,246,18,92.0,47.38644,8.503169999999999,0
ZH Seefeld-Kreuzstrasse - HITrental Apartment Züri,Seefeld,Entire home/apt,2.0,1.0,5,1,480.0,292,46,90.0,47.362429999999996,8.54878,0
S1 - Charming 1 room apartment,Rathaus,Entire home/apt,1.0,1.0,3,3,475.0,325,28,90.0,47.37468,8.54342,0
S2 - Charming 1 room apartment,Rathaus,Entire home/apt,1.0,1.0,1,3,480.0,331,17,96.0,47.37468,8.54342,0
Sunny room in a duplex apartment,Oerlikon,Private room,1.0,2.0,2,2,53.0,364,85,98.0,47.40503,8.551,1
Schöner Raum am Zürichsee,Mühlebach,Private room,1.0,1.0,2,1,85.0,361,101,97.0,47.35164,8.56069,0
charming room close to main station and university,Oberstrass,Private room,1.0,1.0,2,2,55.0,0,10,100.0,47.385,8.5458,0
"2-bedroom family apartment, Seefeld",Mühlebach,Entire home/apt,2.0,2.0,4,3,415.0,365,14,94.0,47.355779999999996,8.5566,1
Central location next to the lake 2 room flat,Mühlebach,Entire home/apt,1.0,1.5,2,4,109.0,56,44,96.0,47.364670000000004,8.549,0
Bright Airy Apt on Lake Zurich,Seefeld,Entire home/apt,2.0,1.5,4,2,250.0,365,25,84.0,47.3574,8.55247,0
B4  3bedroom in the heart of Zurich,Weinegg,Entire home/apt,3.0,2.0,6,3,190.0,0,79,95.0,47.36231,8.55827,1
"B5 Stylish Penthouse, 4 bedrooms",Weinegg,Entire home/apt,4.0,2.5,8,3,295.0,74,80,99.0,47.36231,8.55827,1
Cosy studio close to hot spots,Wipkingen,Entire home/apt,1.0,1.0,2,7,60.0,327,56,91.0,47.39342,8.523489999999999,0
Stadt Zürich15/ kleines Studio,Altstetten,Entire home/apt,1.0,1.0,1,1,55.0,342,249,97.0,47.38157,8.480960000000001,1
B EG 3 bedroom 8008 Zürich-downtown,Weinegg,Entire home/apt,3.0,2.0,6,3,190.0,89,49,98.0,47.36231,8.55827,1
Stylish apartment in the centre of Zurich.,Alt-Wiedikon,Entire home/apt,1.0,1.5,3,2,64.0,364,13,97.0,47.36607,8.5192,1
"Stadt Zürich 3, Appartement-Studio (3)",Hard,Entire home/apt,1.0,1.0,2,1,68.0,358,372,93.0,47.37997,8.507019999999999,1
"Charming guestroom, near ETH and City, nice garden",Höngg,Private room,1.0,1.0,2,2,70.0,356,87,98.0,47.39662,8.50882,0
Helle Wohnung in Haus mit Garten,Albisrieden,Entire home/apt,3.0,1.0,5,2,245.0,242,16,91.0,47.374309999999994,8.49474,0
