neighbourhood,room_type,bathrooms,bedrooms,price,number_of_reviews,review_score,is_superhost
Hyde Park,Private room,1.0,1.0,65.0,181,100.0,1
South Lawndale,Entire home/apt,1.0,3.0,117.0,395,96.0,1
West Town,Entire home/apt,1.0,3.0,70.0,389,93.0,1
Uptown,Private room,1.5,1.0,110.0,250,100.0,1
Near North Side,Private room,1.0,1.0,75.0,500,94.0,1
Uptown,Private room,1.5,2.0,180.0,151,96.0,0
Uptown,Private room,1.0,1.0,99.0,150,96.0,0
Uptown,Private room,1.0,1.0,35.0,162,97.0,0
Logan Square,Entire home/apt,1.0,2.0,135.0,521,99.0,1
North Center,Private room,1.0,1.0,30.0,176,99.0,1
Pullman,Entire home/apt,1.0,1.0,90.0,270,98.0,1
Logan Square,Private room,1.0,1.0,103.0,139,99.0,1
Kenwood,Private room,1.0,1.0,85.0,232,99.0,1
Lake View,Entire home/apt,2.0,2.0,107.0,534,98.0,1
West Town,Entire home/apt,3.0,3.0,168.0,218,97.0,1
West Town,Entire home/apt,1.0,2.0,75.0,189,91.0,0
Logan Square,Entire home/apt,1.0,1.0,39.0,642,96.0,1
Lincoln Square,Entire home/apt,1.0,1.0,98.0,291,98.0,1
Logan Square,Entire home/apt,1.0,2.0,132.0,260,97.0,0
Grand Boulevard,Entire home/apt,1.0,1.0,89.0,227,97.0,0
West Town,Private room,2.0,1.0,57.0,127,89.0,0
West Town,Private room,2.0,1.0,78.0,143,90.0,0
North Center,Private room,1.0,1.0,43.0,161,97.0,1
West Town,Private room,1.0,1.0,85.0,110,99.0,0
Near North Side,Entire home/apt,1.0,2.0,85.0,150,97.0,1
West Town,Private room,2.0,1.0,39.0,131,88.0,0
Lake View,Entire home/apt,1.0,1.0,85.0,625,94.0,0
Logan Square,Entire home/apt,1.0,3.0,141.0,134,97.0,0
Lincoln Square,Entire home/apt,1.0,2.0,84.0,186,97.0,0
Near West Side,Entire home/apt,1.0,1.0,150.0,255,98.0,1
North Center,Private room,2.0,1.0,78.0,128,96.0,1
West Ridge,Shared room,2.0,1.0,79.0,139,93.0,0
Lower West Side,Entire home/apt,1.0,1.0,125.0,164,98.0,1
Logan Square,Private room,1.0,1.0,110.0,145,100.0,1
Lincoln Park,Entire home/apt,1.0,1.0,115.0,318,98.0,1
West Town,Private room,1.0,1.0,50.0,133,97.0,1
West Town,Entire home/apt,2.0,3.0,139.0,297,99.0,1
Rogers Park,Private room,1.5,1.0,69.0,207,99.0,1
Rogers Park,Private room,1.5,1.0,59.0,240,99.0,1
Rogers Park,Private room,1.5,1.0,59.0,233,98.0,1
Rogers Park,Entire home/apt,1.0,2.0,159.0,176,98.0,1
Lake View,Private room,1.0,1.0,79.0,320,97.0,1
Rogers Park,Private room,1.0,1.0,43.0,132,95.0,0
Lincoln Park,Entire home/apt,1.0,1.0,75.0,543,95.0,0
Lake View,Entire home/apt,1.0,1.0,65.0,504,93.0,0
Near West Side,Entire home/apt,1.0,3.0,111.0,316,98.0,1
West Town,Entire home/apt,1.0,2.0,128.0,182,98.0,0
Near West Side,Private room,1.0,1.0,103.0,103,93.0,0
Logan Square,Private room,1.0,1.0,70.0,313,99.0,1
Irving Park,Private room,1.0,1.0,61.0,125,94.0,0
West Ridge,Shared room,2.0,1.0,16.0,158,92.0,0
Grand Boulevard,Private room,1.0,1.0,55.0,123,93.0,0
Beverly,Private room,1.5,1.0,49.0,166,97.0,1
Lower West Side,Private room,1.0,1.0,30.0,187,98.0,0
Rogers Park,Entire home/apt,1.0,1.0,98.0,103,97.0,1
Lake View,Private room,1.0,1.0,64.0,275,98.0,0
Uptown,Private room,1.0,1.0,70.0,275,96.0,0
Mckinley Park,Entire home/apt,1.0,2.0,55.0,276,94.0,1
West Town,Entire home/apt,1.0,1.0,92.0,326,98.0,1
West Town,Entire home/apt,1.0,2.0,86.0,113,97.0,0
Edgewater,Entire home/apt,1.0,2.0,95.0,234,92.0,0
Hyde Park,Entire home/apt,1.0,1.0,69.0,342,93.0,0
Lower West Side,Private room,1.5,1.0,70.0,120,99.0,1
Lower West Side,Entire home/apt,1.0,2.0,59.0,480,84.0,0
Woodlawn,Private room,1.0,1.0,59.0,330,98.0,1
Lincoln Park,Entire home/apt,1.0,1.0,182.0,154,92.0,1
Avondale,Entire home/apt,1.0,2.0,51.0,251,97.0,1
Lincoln Park,Private room,2.0,1.0,97.0,183,99.0,1
Logan Square,Entire home/apt,1.0,1.0,45.0,201,96.0,1
Logan Square,Private room,1.0,1.0,75.0,199,92.0,0
West Town,Private room,1.0,1.0,36.0,188,90.0,1
West Town,Entire home/apt,2.0,3.0,154.0,150,96.0,1
Humboldt Park,Entire home/apt,1.0,1.0,54.0,436,91.0,0
Norwood Park,Entire home/apt,1.0,2.0,95.0,173,98.0,0
Lower West Side,Private room,1.5,1.0,70.0,139,99.0,1
Lake View,Shared room,11.0,1.0,28.0,310,90.0,0
West Town,Entire home/apt,1.0,1.0,114.0,158,92.0,1
West Town,Entire home/apt,2.0,3.0,128.0,383,98.0,1
Lower West Side,Private room,1.0,1.0,60.0,128,95.0,1
Lincoln Square,Entire home/apt,1.0,1.0,76.0,180,94.0,0
West Town,Entire home/apt,1.5,1.0,119.0,156,97.0,1
Uptown,Private room,1.5,1.0,49.0,291,97.0,1
