name,type,borough,street,city,zip_code,state,latitude,longitude,average_rating,num_reviews,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,photos_count,business_status,range,verified,place_id
Girl & The Goat,New American restaurant,West Loop,809 W Randolph St,Chicago,60607,Illinois,41.8841279,-87.6479354,4.7,6271,118,92,271,803,4987,10280,OPERATIONAL,$$$,True,ChIJs8mbNsUsDogRUnpg-b_IK5E
Boka,American restaurant,Old Town,1729 N Halsted St,Chicago,60614,Illinois,41.9135551,-87.6480103,4.7,1716,31,34,54,198,1399,4209,OPERATIONAL,$$$$,True,ChIJg7aSMj3TD4gRlHUmzqlebUI
RL Restaurant,American restaurant,Streeterville,115 E Chicago Ave,Chicago,60611,Illinois,41.8965408,-87.6249154,4.6,1241,36,25,63,173,944,1454,OPERATIONAL,$$$,True,ChIJcVWnFFPTD4gR4wHd5_rdgxo
Sepia,Fine dining restaurant,West Loop,123 N Jefferson St,Chicago,60661,Illinois,41.8839596,-87.6425789,4.6,1315,22,32,69,192,1000,3646,OPERATIONAL,$$$,True,ChIJ_0NFbsYsDogRHqnXKkBCgs8
Cherry Circle Room,American restaurant,Chicago Loop,12 S Michigan Ave,Chicago,60603,Illinois,41.881626,-87.624942,4.6,934,22,31,41,131,709,978,OPERATIONAL,$$$,True,ChIJmaZOQKQsDogR3rQRpnycNg8
Rose Mary,Croatian restaurant,West Loop,932 W Fulton St,Chicago,60607,Illinois,41.8869184,-87.6511534,4.6,1346,42,33,88,157,1026,2329,OPERATIONAL,,True,ChIJ5x1j00EtDogRy59iMkDkmBY
Ever Restaurant,Restaurant,West Loop,1340 W Fulton St,Chicago,60607,Illinois,41.8869314,-87.6604084,4.8,309,7,4,4,14,280,1361,OPERATIONAL,$$$$,True,ChIJqUoVvkgtDogRLGIKXcfaiKk
Bar Mar by José Andrés,Restaurant,Chicago Loop,120 N Wacker Dr,Chicago,60606,Illinois,41.8840009,-87.637223,4.5,832,37,22,43,129,601,1828,OPERATIONAL,$$$,True,ChIJrfMn-lMtDogRFrnP9YUR6Mc
Oriole,Fine dining restaurant,West Loop,661 W Walnut St,Chicago,60661,Illinois,41.8861692,-87.6450939,4.8,530,12,9,5,28,476,2739,OPERATIONAL,$$$$,True,ChIJ4_ovZs8sDogRyw3X3QCiI-Y
Tanta Chicago,Peruvian restaurant,Near North Side,118 W Grand Ave,Chicago,60654,Illinois,41.8917705,-87.6320169,4.5,3063,87,67,167,536,2206,4700,OPERATIONAL,$$$,True,ChIJdeoev7MsDogRZOJFBNqupKQ
Asador Bastian,Basque restaurant,Near North Side,214 W Erie St,Chicago,60654,Illinois,41.8940917,-87.6348275,4.6,230,9,8,8,14,191,538,OPERATIONAL,$$$,True,ChIJk8Z5cdstDogRdMPc0yBZB5M
Bavette's Bar & Boeuf,Steak house,Near North Side,218 W Kinzie St,Chicago,60654,Illinois,41.8892908,-87.6348887,4.8,3118,67,28,80,254,2689,3880,OPERATIONAL,$$$$,True,ChIJyauRlLYsDogRE_Hnbxx7V8E
Next Restaurant,Fine dining restaurant,West Loop,953 W Fulton Market,Chicago,60607,Illinois,41.8866077,-87.6518836,4.6,567,15,16,33,56,447,3256,OPERATIONAL,$$$$,True,ChIJqdQDvtAsDogRMmlkDTCE-W4
Monteverde Restaurant & Pastificio,Italian restaurant,West Loop,1020 W Madison St,Chicago,60607,Illinois,41.8818361,-87.6529694,4.7,2173,36,30,63,231,1813,3784,OPERATIONAL,$$$,True,ChIJMViM4dssDogRdmIJH2z_Q10
Elske,New American restaurant,West Loop,1350 W Randolph St,Chicago,60607,Illinois,41.8844672,-87.6609002,4.6,668,10,15,47,89,507,1930,OPERATIONAL,$$$$,True,ChIJSWTvSyYtDogRE-4fa_DPwZA
Smyth,New American restaurant,West Loop,177 N Ada St #101,Chicago,60607,Illinois,41.8849722,-87.6605593,4.6,1218,33,42,48,154,941,3766,OPERATIONAL,$$$,True,ChIJxRcpzSctDogRBKHyFUKauHc
Au Cheval,Restaurant,West Loop,800 W Randolph St,Chicago,60607,Illinois,41.8846303,-87.6475872,4.6,9108,268,160,390,1153,7137,10612,OPERATIONAL,$$,True,ChIJ78NyRsUsDogR6AqyYoPrts4
Alinea,Fine dining restaurant,Old Town,1723 N Halsted St,Chicago,60614,Illinois,41.913435,-87.6480552,4.6,2615,119,55,111,217,2113,11551,OPERATIONAL,$$$$,True,ChIJuyI60yLTD4gROwTWENq1He0
The Purple Pig Restaurant,Mediterranean restaurant,Streeterville,444 Michigan Ave,Chicago,60611,Illinois,41.890739,-87.6245691,4.6,6500,149,130,331,1074,4816,12251,OPERATIONAL,$$,True,ChIJl8NTEawsDogRwXH-IVDyH2A
EL ideas,American restaurant,Douglass Park,2419 W 14th St,Chicago,60608,Illinois,41.86289,-87.6868569,4.8,356,6,3,9,18,320,1362,OPERATIONAL,$$$$,True,ChIJbbQglnAtDogR-Y6w6ETH91A
Little Bad Wolf,New American restaurant,Edgewater,1541 W Bryn Mawr Ave,Chicago,60660,Illinois,41.9833483,-87.6690624,4.6,3274,73,47,164,570,2420,2047,OPERATIONAL,$$,True,ChIJtYk3mI_RD4gRJsyRbLkkt9o
Beatrix,American restaurant,Streeterville,671 N St Clair St,Chicago,60611,Illinois,41.8943596,-87.6225456,4.5,2856,61,62,177,665,1891,1723,OPERATIONAL,$$,True,ChIJpTqIMRotDogR5NK9guzl_Ew
Smoque BBQ,Barbecue restaurant,Old Irving Park,3800 N Pulaski Rd,Chicago,60641,Illinois,41.9501327,-87.727667,4.6,4157,75,77,167,614,3224,2068,OPERATIONAL,$$,True,ChIJDZeum7DND4gRz3TnBpALJxM
Superkhana International,Modern Indian restaurant,Logan Square,3059 W Diversey Ave,Chicago,60647,Illinois,41.9318828,-87.7048219,4.5,446,17,21,24,57,327,758,OPERATIONAL,$$,True,ChIJ_YNqnCDND4gRhKqI_vGvUiY
avec Restaurant,Mediterranean restaurant,West Loop,615 W Randolph St,Chicago,60661,Illinois,41.8842861,-87.643401,4.6,2102,32,35,102,331,1602,2654,OPERATIONAL,$$$,True,ChIJNYrg38UsDogRP1lxJuC05hw
Calumet Fisheries,Seafood restaurant,South Side,3259 E 95th St,Chicago,60617,Illinois,41.7226459,-87.543974,4.5,2022,78,52,105,331,1456,1291,OPERATIONAL,$$,True,ChIJcYUwMPcnDogRozmDlaNgoyQ
Penumbra,Steak house,Logan Square,3309 W Fullerton Ave,Chicago,60647,Illinois,41.924457,-87.7108975,4.8,510,4,4,11,52,439,574,OPERATIONAL,$$,True,ChIJyW6MXm7ND4gRmsOMtUD27mM
Demera Restaurant,Ethiopian restaurant,Uptown,4801 N Broadway,Chicago,60640,Illinois,41.9691819,-87.6594406,4.6,2075,70,37,75,315,1578,1566,OPERATIONAL,$$,True,ChIJn3YvvizSD4gRpcXR5695BoU
Proxi,Small plates restaurant,West Loop,565 W Randolph St,Chicago,60661,Illinois,41.8843078,-87.6424911,4.5,857,19,12,62,152,612,1762,OPERATIONAL,$$$,True,ChIJa3CSbMYsDogR5h2hx43APA4
Jinsei Motto,Sushi restaurant,West Loop,564 W Randolph St,Chicago,60661,Illinois,41.8845641,-87.6421398,4.7,228,7,3,5,13,200,594,OPERATIONAL,,True,ChIJHfUX-kstDogRvJwilXIwCmY
Birrieria Zaragoza,Mexican restaurant,Archer Heights,4852 S Pulaski Rd,Chicago,60632,Illinois,41.8044682,-87.7237056,4.5,425,29,9,21,27,339,257,OPERATIONAL,,True,ChIJ914hMQAxDogRhC6d8qpjHxk
Shaw's Crab House,Crab house,Near North Side,21 E Hubbard St,Chicago,60611,Illinois,41.8899505,-87.6271084,4.6,4989,109,101,220,743,3816,4755,OPERATIONAL,$$$,True,ChIJcdOuC64sDogRO4O8lHWPFfs
Immm Rice & Beyond,Thai restaurant,Uptown,4949 N Broadway,Chicago,60640,Illinois,41.9730214,-87.6595058,4.6,638,19,10,27,100,482,786,OPERATIONAL,$,True,ChIJ_7O04CrSD4gRgis_XQgq-ew
Marisol Restaurant and Bar,New American restaurant,Streeterville,205 E Pearson St,Chicago,60611,Illinois,41.8974234,-87.6214196,4.6,293,5,3,13,67,205,379,OPERATIONAL,$$,True,ChIJbWIp-VTTD4gRB1W_7ZQjLhY
OMAKASE YUME,Sushi restaurant,West Loop,651 W Washington Blvd Suite #101,Chicago,60661,Illinois,41.883044,-87.6444946,4.7,231,8,3,8,18,194,764,OPERATIONAL,$$$$,True,ChIJ2RtTWRgtDogRPCjq4g_BsWo
Time Out Market Chicago,Restaurant,West Loop,916 W Fulton Market,Chicago,60607,Illinois,41.8868872,-87.650454,4.5,3428,68,57,250,741,2312,5216,OPERATIONAL,$$,True,ChIJYXDdCxItDogRcZQLZaZpZJI
