place_id,name,site,type,borough,street,city,zip,state,latitude,longitude,rating,reviews,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,photos_count,business_status,range,verified
ChIJD_TV4nTXDIgRKsl6834pCaE,The Courier Cafe,http://thecouriercafe.com/,Restaurant,,111 N Race St,Urbana,61801,Illinois,40.1129482,-88.2092174,4.5,1761.0,47.0,30.0,115.0,397.0,1172.0,898,OPERATIONAL,$$,True
ChIJD9ldZ9jZDIgRMUYeLZxDdPQ,Urbana Garden Family Restaurant,http://urbanagardenrestaurant.com/,American restaurant,,810 W Killarney St,Urbana,61801,Illinois,40.1329614,-88.2187966,4.4,1445.0,42.0,36.0,129.0,361.0,877.0,239,OPERATIONAL,$,True
ChIJ14I1w3XXDIgRsIxIOTftS4Q,Silvercreek,https://www.couriersilvercreek.com/,Restaurant,,402 N Race St,Urbana,61801,Illinois,40.1154972,-88.2088083,4.5,843.0,21.0,25.0,52.0,150.0,595.0,515,OPERATIONAL,$$$,True
ChIJA8eR9SjYDIgRGxQ28fd1aBg,Cracker Barrel Old Country Store,https://www.crackerbarrel.com/Locations/States/il/urbana/129/?utm_source=google,American restaurant,,2101 N Kenyon Rd,Urbana,61802,Illinois,40.1334615,-88.1995424,4.4,2948.0,121.0,91.0,235.0,642.0,1859.0,684,OPERATIONAL,$$,True
ChIJO6srX0zXDIgRaywVouCA2i8,Big Grove Tavern,http://www.biggrovetavern.com/,American restaurant,Downtown Champaign,1 E Main St,Champaign,61820,Illinois,40.1182209,-88.2432489,4.2,1008.0,63.0,61.0,93.0,209.0,582.0,617,OPERATIONAL,$$,True
ChIJE5Nmc3XXDIgRhwsnwfzxo_A,Bunny's Tavern,http://bunnystavern.com/,Restaurant,,119 W Water St,Urbana,61801,Illinois,40.1131973,-88.2083191,4.6,952.0,17.0,10.0,52.0,197.0,676.0,243,OPERATIONAL,$,True
ChIJhSqTw0zXDIgRMODsV6mmjRM,Farren's Pub & Eatery,http://www.farrenspub.com/,Restaurant,Downtown Champaign,117 N Walnut St,Champaign,61820,Illinois,40.1171104,-88.2424996,4.5,1254.0,29.0,30.0,71.0,273.0,851.0,382,OPERATIONAL,$$,True
ChIJFeza-BPXDIgR4As0XIHLEds,Basil Thai At Urbana,https://orders.cake.net/10200534,Thai restaurant,,701 S Gregory St # B,Urbana,61801,Illinois,40.1064277,-88.2217282,4.0,295.0,24.0,14.0,39.0,84.0,134.0,176,OPERATIONAL,$$,True
ChIJuVct82nXDIgRKdGAHV-QyDc,Perkins Restaurant & Bakery,https://perkinsrestaurants.com/locations/us/il/urbana/1214-west-university-ave,Restaurant,,1214 W University Ave,Urbana,61801,Illinois,40.116668,-88.2254413,4.2,1457.0,95.0,57.0,155.0,365.0,785.0,474,OPERATIONAL,$$,True
ChIJ8UWzHXXXDIgR00NCwWoTlyE,Siam Terrace,https://www.siamterraceurbana.com/,Thai restaurant,,212 W Main St,Urbana,61801,Illinois,40.1125615,-88.2094247,4.5,554.0,14.0,14.0,29.0,123.0,374.0,379,OPERATIONAL,$$,True
ChIJ5XpwPFjXDIgRCY3607Fh-Ho,Dubai Grill,https://middleeasternfoodurbana.com/,Middle Eastern restaurant,,701 S Gregory St,Urbana,61801,Illinois,40.1068935,-88.2220418,4.7,241.0,8.0,3.0,2.0,20.0,208.0,195,OPERATIONAL,$,True
ChIJa-iP-hPXDIgRLvfnTZl_kcQ,Bab Plus Restaurant,,Korean restaurant,,700 S Gregory St,Urbana,61801,Illinois,40.1066536,-88.2212943,4.1,213.0,21.0,6.0,16.0,56.0,114.0,129,OPERATIONAL,$$,True
ChIJSRtSeD_XDIgRcxA5WTCwY5A,Shawarma Joint,https://www.shawarma-joint.com/,Middle Eastern restaurant,,102 E University Ave,Urbana,61801,Illinois,40.1167494,-88.20718,4.8,191.0,4.0,2.0,1.0,14.0,170.0,107,OPERATIONAL,$$,True
ChIJC7w_krzXDIgRUnmf5TuPvbY,Huaraches Moroleon,http://huarachesmoroleon.com/,Mexican restaurant,,805 Philo Rd,Urbana,61801,Illinois,40.105816,-88.195171,4.6,1494.0,48.0,26.0,70.0,246.0,1104.0,473,OPERATIONAL,$,True
ChIJ0dkECHXXDIgRGAondTSj7io,Masijta Grill korean BBQ,https://www.masijtakbbq.com/,Korean restaurant,,202 N Race St,Urbana,61801,Illinois,40.1135718,-88.2087615,4.0,528.0,76.0,20.0,37.0,103.0,292.0,680,OPERATIONAL,$$,True
ChIJxZkDMBTXDIgRbMTuiFFufRk,The Bread Company,http://www.thebread.co/,Bistro,,706 S Goodwin Ave,Urbana,61801,Illinois,40.1067362,-88.2236159,4.6,636.0,13.0,9.0,26.0,126.0,462.0,377,OPERATIONAL,$$,True
ChIJ0RjfKwvXDIgRDixT8Jliqo4,Sakura Japanese Cuisine,https://www.sakurajapanesecuisineil.com/,Japanese restaurant,,132 W Main St,Urbana,61801,Illinois,40.1126383,-88.2086159,4.5,214.0,7.0,9.0,15.0,28.0,155.0,366,OPERATIONAL,$$,True
ChIJFeza-BPXDIgRj8B2k8NcRPA,KoFusion Urbana,https://www.toasttab.com/kofusioncampus,Restaurant,,701 S Gregory St,Urbana,61801,Illinois,40.1067198,-88.2217306,4.2,234.0,10.0,7.0,24.0,69.0,124.0,160,OPERATIONAL,$$,True
ChIJu5mT_BPXDIgRuEyU_ff60ms,bb.q Chicken Urbana Champaign,https://bbqchicken.com/locations/,Chicken restaurant,,700 S Gregory St,Urbana,61801,Illinois,40.1063894,-88.2213028,3.7,139.0,24.0,7.0,20.0,27.0,61.0,168,OPERATIONAL,$,True
ChIJLa-j7nXXDIgRBZftQBHIiNY,Broadway Food Hall,http://broadwayfoodhall.com/,Restaurant,,401 N Broadway Ave,Urbana,61801,Illinois,40.1151812,-88.2080223,4.6,352.0,1.0,7.0,22.0,78.0,244.0,263,OPERATIONAL,,True
