name,type,phone,area,street,city,zip_code,state,rating,reviews,photos_count,working_hours,business_status,price_range,verified
A Taste of Both Worlds,Restaurant,+1 217-215-0880,None,401 N Broadway Ave,Urbana,61801,Illinois,4.8,112,131,"{""Monday"": ""11 AM-8 PM"", ""Tuesday"": ""11 AM-8 PM"", ""Wednesday"": ""11 AM-8 PM"", ""Thursday"": ""11 AM-8 PM"", ""Friday"": ""11 AM-8 PM"", ""Saturday"": ""11 AM-8 PM"", ""Sunday"": ""Closed""}",OPERATIONAL,$$,TRUE
Ambar India Restaurant,Indian restaurant,+1 217-344-1500,Campustown,605 S Wright St,Champaign,61820,Illinois,3.7,464,323,"{""Monday"": ""4:30-9:45 PM"", ""Tuesday"": ""11 AM-3 PM,4:30-9:45 PM"", ""Wednesday"": ""11 AM-3 PM,4:30-9:45 PM"", ""Thursday"": ""11 AM-3 PM,4:30-9:45 PM"", ""Friday"": ""11 AM-3 PM,4:30-9:45 PM"", ""Saturday"": ""11 AM-3 PM,4:30-9:45 PM"", ""Sunday"": ""11 AM-3 PM,4:30-9:45 PM""}",OPERATIONAL,$$,TRUE
Arby's,Fast food restaurant,+1 217-367-5624,None,509 N Cunningham Ave,Urbana,61801,Illinois,4,575,44,"{""Monday"": ""10 AM-9 PM"", ""Tuesday"": ""10 AM-9 PM"", ""Wednesday"": ""10 AM-9 PM"", ""Thursday"": ""10 AM-9 PM"", ""Friday"": ""10 AM-9 PM"", ""Saturday"": ""10 AM-9 PM"", ""Sunday"": ""10 AM-9 PM""}",OPERATIONAL,$,TRUE
Arby's,Fast food restaurant,+1 217-398-5677,None,2310 S Neil St,Champaign,61820,Illinois,4,558,28,"{""Monday"": ""10 AM-10 PM"", ""Tuesday"": ""10 AM-10 PM"", ""Wednesday"": ""10 AM-10 PM"", ""Thursday"": ""10 AM-10 PM"", ""Friday"": ""10 AM-10 PM"", ""Saturday"": ""10 AM-10 PM"", ""Sunday"": ""10 AM-10 PM""}",OPERATIONAL,$,TRUE
Aspen Tap House,Restaurant,+1 217-530-4394,None,2001 S Neil St,Champaign,61820,Illinois,4.3,1440,688,"{""Monday"": ""11 AM-10 PM"", ""Tuesday"": ""11 AM-10 PM"", ""Wednesday"": ""11 AM-10 PM"", ""Thursday"": ""11 AM-10 PM"", ""Friday"": ""11 AM-11 PM"", ""Saturday"": ""11 AM-11 PM"", ""Sunday"": ""11 AM-9 PM""}",OPERATIONAL,$$,TRUE
Auntie Lee's Chinese Kitchen,Chinese restaurant,+1 217-693-7928,Campustown,49b E Green St,Champaign,61820,Illinois,3,66,280,"{""Monday"": ""5 PM-1 AM"", ""Tuesday"": ""Closed"", ""Wednesday"": ""5 PM-1 AM"", ""Thursday"": ""5 PM-3 AM"", ""Friday"": ""5 PM-3 AM"", ""Saturday"": ""5 PM-3 AM"", ""Sunday"": ""5 PM-1 AM""}",OPERATIONAL,$$,TRUE
Bab Plus Restaurant,Korean restaurant,+1 217-607-5906,None,700 S Gregory St,Urbana,61801,Illinois,4.1,199,89,"{""Monday"": ""11 AM-8:30 PM"", ""Tuesday"": ""11 AM-8:30 PM"", ""Wednesday"": ""11 AM-8:30 PM"", ""Thursday"": ""11 AM-8:30 PM"", ""Friday"": ""11 AM-8:30 PM"", ""Saturday"": ""11 AM-8:30 PM"", ""Sunday"": ""Closed""}",OPERATIONAL,$$,TRUE
Bangkok Thai Restaurant & Pho 911,Thai restaurant,+1 217-954-1641,Campustown,410 E Green St,Champaign,61820,Illinois,4.5,686,338,"{""Monday"": ""11 AM-8 PM"", ""Tuesday"": ""11 AM-8 PM"", ""Wednesday"": ""11 AM-8 PM"", ""Thursday"": ""11 AM-8 PM"", ""Friday"": ""11 AM-8 PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",OPERATIONAL,$,TRUE
Basil Thai At Urbana,Thai restaurant,+1 217-344-8662,None,701 S Gregory St # B,Urbana,61801,Illinois,4,273,212,"{""Monday"": ""11 AM-8:30 PM"", ""Tuesday"": ""11 AM-8:30 PM"", ""Wednesday"": ""11 AM-8:30 PM"", ""Thursday"": ""11 AM-8:30 PM"", ""Friday"": ""11 AM-8:30 PM"", ""Saturday"": ""11 AM-8:30 PM"", ""Sunday"": ""11 AM-8:30 PM""}",OPERATIONAL,$$,TRUE
Basil Thai Kitchen,Thai restaurant,,None,"Market Place Shopping Center 2000 n 61820, 2000 N Neil St",Champaign,61820,Illinois,4.3,38,22,"{""Monday"": ""10 AM-9 PM"", ""Tuesday"": ""10 AM-9 PM"", ""Wednesday"": ""10 AM-9 PM"", ""Thursday"": ""10 AM-9 PM"", ""Friday"": ""10 AM-9 PM"", ""Saturday"": ""10 AM-9 PM"", ""Sunday"": ""10 AM-6 PM""}",OPERATIONAL,,TRUE
