company_id,ceo,industry,revenue,inception_date
572907,Joshua Castillo,Software,6445200,2015-08-01
859451,Jenna Perkins,Education,4263696,2012-11-29
355366,James Neal,Financial Services,612742,2018-05-18
512925,Sarah Yates,Financial Services,3732464,2016-03-07
664465,Krystal Wallace,Manufacturing,5840134,2018-04-03
136482,Laura Gray DDS,Financial Services,1565623,2019-02-04
306083,Jessica Sims,Agriculture,4751625,2019-01-22
833004,Jessica Gilmore,Education,5342188,2012-12-27
686160,Jessica Chapman,Agriculture,7164061,2017-01-19
296886,Gina Buckley,Agriculture,7896239,2014-04-19
222929,Kenneth Sullivan,Education,8579626,2018-04-07
443988,Paula Mora,Education,9688796,2015-01-11
214565,Hannah Nelson,Software,7955652,2013-01-09
120953,Keith Thompson,Agriculture,2947955,2012-11-10
796738,Eric Henry,Financial Services,2157237,2012-09-17
632939,Timothy Schmidt,Software,944703,2012-05-15
109846,Garrett Cooper,Software,8486022,2016-11-24
236266,Christina Cuevas,Financial Services,9627149,2014-05-11
688160,Michael Bryant,Financial Services,6102321,2012-05-06
641800,Jessica Weaver,Financial Services,4556981,2012-04-05
119660,Jerry Snyder,Manufacturing,9638807,2015-06-18
672685,Nichole Buck,Education,2625623,2012-02-05
464626,Adam Hunter,Manufacturing,814697,2013-05-07
943865,John Alvarado,Software,8478567,2019-06-02
895939,Kimberly Thomas,Agriculture,4816387,2013-11-11
366174,George Contreras,Financial Services,5096254,2018-02-07
869124,Vanessa Fox,Financial Services,2968328,2016-09-29
205889,Maria Johnson,Software,9469864,2013-04-09
253246,Dylan Moore,Manufacturing,1470239,2018-05-31
275223,Tina Sharp,Education,4722573,2015-02-24
211039,Robert Singh,Agriculture,9885676,2016-07-06
390962,Kenneth Nguyen,Software,6682240,2019-11-16
998518,Crystal Nguyen,Financial Services,8608105,2012-11-21
410194,Kimberly Smith,Financial Services,6767017,2016-05-31
770676,Michelle Rodriguez,Financial Services,9507749,2017-11-05
756518,Michael Carroll,Agriculture,1369965,2012-11-21
348443,James Nichols,Software,9704591,2018-05-06
960745,Scott Walker,Software,9374506,2016-01-10
367949,Shane Wall,Financial Services,8725119,2012-02-01
366654,Justin Lee,Manufacturing,7987082,2018-05-06
457024,Amanda Sanders,Education,3613392,2017-07-15
353038,Karen Woods,Software,7394055,2018-01-09
383163,Kayla Adams,Financial Services,9970830,2017-08-05
912731,Michael Miller,Manufacturing,2914501,2017-11-05
264825,Kendra Clay,Manufacturing,3490137,2018-09-03
203099,Stephanie Johnson,Software,7196321,2017-04-09
126584,Mrs. Brenda Bennett,Financial Services,5153635,2012-11-03
254649,Abigail Jones,Agriculture,5754958,2013-09-17
149910,Robert Smith,Education,6019728,2019-04-20
