review_id,review_date,review_text,review_liked_text,review_disliked_text,count_helpful,count_not_helpful,employer_responses,is_current_job,length_of_employment,rating_business_outlook,rating_career_opportunities,rating_ceo,rating_compensation_and_benefits,rating_culture_and_values,rating_diversity_and_inclusion,rating_overall,rating_recommend_to_friend,rating_senior_leadership,rating_work_life_balance,job_title_text,location_name
101108831,2025-11-06,no,surroundings is very awesome and good,only the people who is master,0,0,,True,2,POSITIVE,5.0,APPROVE,5.0,5,5,5,POSITIVE,5.0,5.0,Human Resources,"New York, NY"
101220670,2025-11-11,"Continue nurturing the supportive culture and focus on career progression. As we enter the next decade, keep investing in people and innovation- it’s what has made this company stand out","Celebrating 10 years with Mastercard has been an incredible journey. The company has evolved tremendously - from a small, ambitious team to a mature organization with a strong culture of collaboration and innovation. Leadership genuinely cares about employee development, providing continuous opportunities to learn and grow. The work environment encourages creativity, open communication, and teamwork. Benefits and work-life balance have steadily improved over the years, reflecting management’s commitment to long-term employee satisfaction.","Like any fast-growing company, there have been growing pains -  adapting to new systems and scaling processes can be challenging. However, leadership is transparent and receptive to feedback, which makes change easier to navigate.",0,0,,True,20,POSITIVE,5.0,APPROVE,3.0,5,5,4,POSITIVE,5.0,4.0,Principal Engineer,"New York, NY"
100991760,2025-10-30,,"Working in Business experimentation is extremely rewarding in the first few years. You are given the opportunity to interact with clients almost right away, learn great data engineering skills, and learn to think scientifically about business problems. Great 401k match, generous PTO","The pay is not competitive compared with other consulting firms, and there even seems to be downward pressure on salaries in some areas. You are forced to staff 3-4 projects at once- hours can be grueling at times. Additionally, Mastercard does not seem to be giving Test &amp; Learn its due attention- we are understaffed at the junior level, and there seems to be no plan to bring hiring back up to previous levels. Integration into Mastercard has brought perverse incentives to sell our services to preexisting Mastercard client businesses who don’t really want our product. Working with these clients is extremely frustrating. What was once a strong, dynamic consulting firm geared toward the best clients is now a small cog in Mastercard’s global business",0,0,,True,0,NEGATIVE,5.0,APPROVE,4.0,5,5,4,POSITIVE,3.0,3.0,Consultant,"Arlington, VA"
100092071,2025-09-18,"Stop with the micro managing and forcing people into an office that doesn’t have space. It creates a hostile environment with people fighting over a desk every day. It says remote work can be requested but the VPs always say “we are not changing any positions to remote at this time”. Let team managers make that decision since VPs don’t know any of the people that work under them. Pay is lower than other companies, so at least work with us in other areas.","Benefits such as 401k, sick leave, etc","Some of the upper management is bias. For example the last 8 promotions in my dept have been in India teams only, while people on USA teams are told “there’s no budget for promotions”. Great place to work if Indian, otherwise don’t expect a promotion. 
Mandatory 3 days in office is ridiculous, especially when there’s 2 people for every desk. So many times people can’t find a parking spot and have to come back later. Or if they find a spot, they have no open desk. And yet they monitor everyone’s badging in/out. 12+ hour work days, so much micro managing. Been with MC a long time, since Ajay left the company has become worse. They have employee surveys and many complain about the in office policy but upper management changes nothing.",2,0,,True,20,NEGATIVE,1.0,DISAPPROVE,4.0,3,3,2,NEGATIVE,1.0,1.0,Software Lead Engineer,"O'Fallon, MO"
100155384,2025-09-21,Fire your mirrors. They’re clearly lying to you. Then try something wild: reward real work. Promote humility. Kill the silos. And maybe walk through the building and acknowledge the people who made you look good for years. Would I recommend to a friend? Not unless I secretly hated them.,"The logo. The stock price. The ability to tell people at parties, “Yeah, I work for Mastercard,” and watch them assume it’s a cutting-edge, collaborative, high-performing company. (It wasn’t.)","Where to begin? Mastercard is the poster child for corporate silos where every department is an island and collaboration is more myth than mandate. Want to make an impact (especially in Comms)? Better bring a bullhorn and a selfie stick, because self-promotion is the only currency that matters. Quietly doing great work? No one will notice, especially not the EVPs (Especially in Marketing and Comms) who won’t make eye contact unless you’re one of their chosen ones (loud, shiny, or politically useful).

Ageism? Rampant. If you’re over 45, you’re either being quietly pushed out or being told to “refresh your personal brand.” Sexism? Yes, just not the direction you’d expect. Some departments are silently dismissive of men and reward behavior that would raise HR eyebrows elsewhere.

Culture-wise, it’s a lot of performative values with little substance. Mastercard loves to say the right things on an HR poster, but the reality is a rigid hierarchy where actual innovation is stifled by layers of approval and ego.",5,0,,False,9,,2.0,APPROVE,4.0,1,1,1,NEGATIVE,1.0,2.0,Manager,"Purchase, NY"
99964608,2025-09-12,"Unless the role is onsite work required, please open more positions under multiple locations to open the door to additional qualified candidates. Some locations have limited to no seats available yet the jobs are posted at these locations with no work location flexibility offered.","- Strong Company Mission and Values
- ""Doing Well by Doing Good"" to support nonprofits and communities
- Flexible work schedules at most offices
- Strong overall benefits supporting health and wellness","- If you're not based at one of the highest headcount locations, such as New York or St. Louis, in the U.S., you will have limited to no career progression opportunities. There's an internal mechanism to search for internal job moves but recruiters and hiring managers rarely offer location flexibility in their new positions despite being a global organization working under a hybrid work approach. This means a lot of us are trapped in dead-end jobs. 
- Salary is below market for same-titled positions.
- If you're not working at one of those highest headcount locations, you won't receive the same recognition for your work and may have less overall opportunities as a result. Additionally, you won't receive the same level of onsite offerings, resources, support, and/or amenities.",1,0,"[{""typename"": ""EmployerResponse"", ""count_helpful"": 0, ""count_not_helpful"": 0, ""id"": 6393080, ""language_id"": null, ""original_language_id"": null, ""response"": ""We appreciate your honest feedback. Every perspective helps us better understand how we can improve. We\u2019re committed to fostering a workplace where everyone feels supported, empowered, and heard\u2014and your input plays a vital role in that journey."", ""response_date_time"": ""2025-10-06T07:52:28.85"", ""response_original"": null, ""translation_method"": null}]",True,4,NEGATIVE,1.0,NO_OPINION,2.0,4,3,2,NEGATIVE,2.0,4.0,,
101116779,2025-11-06,Shut down identity or merge it with some other department. They only land up wasting employees time and career,"Its a good organization, no pressure, good salary, great work life balance","I joined the Identity department, its the worst ever. No strategy, so called leaders keep changing their own decisions every 6 months to save their jobs. Coworkers were good. There is a Product Marketing team or engagement within Identity, their so called leader and entire seattle team is non-inclusive and racist, very bad experience",0,0,,False,1,POSITIVE,1.0,APPROVE,3.0,3,1,2,NEGATIVE,1.0,5.0,Director,"Seattle, WA"
101097854,2025-11-05,,Great Benefits. Amazing 401k match. 25 Vacation days plus 5 personal days (last I worked there) Good pay. Good Culture. Amazing leads and mentors as a Software Engineer 1 coming out of college.,Nothing bad to say about it. I was proud to be a Software Engineer at Mastercard. It's just a shame my position was affected by the 9/2024 re-org and layoffs.,0,0,,False,2,NEUTRAL,5.0,NO_OPINION,5.0,5,5,5,POSITIVE,3.0,4.0,Software Engineer,"O'Fallon, MO"
99353483,2025-08-13,,They do have solid 401k and tuition reimbursement benefits,"I am a black woman that worked in the Seattle cybersecurity team and was unfortunate to experience the following 

1. Punitive management style with petty nitpicking , ever shifting expectations and poor mentorship and support.
2. Performance reviews were inconsistent and even if you meet specific objectives, they will either cancel meetings or avoid talking about performance measurements
3. Cowardice on the part of leadership. Will miscommunicate and encourage turf wars and pretend you are the one at fault. 
4. Will undermine and take credit for your work leaving you to spiral in self doubt and shame 
5. Cannot trust what leadership says . recording and writing down information will not help you and HR will back them up. The 6 month trial policy also helps to support this. 
6. Be very careful in your written and spoken communication, you would be shocked at their ability to spin untrue narratives. 
7. If you are the kind of person that assumes truth is self evident and will prevail. I  encourage you to abandon that naivete and seek other opportunities",8,0,,True,0,,0.0,,0.0,0,0,2,NEGATIVE,0.0,0.0,Lead Security Engineer,
101146136,2025-11-07,,"Everyone is very helpful and there is a lot to learn. Great benefits, inlcuding 10% 401k match and 5 weeks of vacation","It can feel slow somedays and O'Fallon, MO is not he most appealing place",0,0,,True,2,,4.0,,5.0,5,5,4,,3.0,5.0,Software Engineer I,"O'Fallon, MO"
