deal_date,deal_id,deal_type,deal_amount
2021-09-29,vel174_202109,Reverse Merger,345
2021-09-29,war005_202109,IPO,3109
2021-09-30,ben137_202109,Reverse Merger,403
2021-09-30,bea219_202109,M&A,275
2021-09-30,avi218_202109,M&A,275
2021-09-30,oxf064_202109,IPO,720
2021-10-01,cla026_202110,M&A,1267
2021-10-01,bot208_202110,Buyout,290
2021-10-01,mav093_202110,M&A,525
2021-10-01,fre227_202110,Buyout,255
2021-10-01,exs194_202110,IPO,304
2021-10-01,roa080_202110,M&A,586
2021-10-01,pai008_202110,M&A,2700
2021-10-01,vun062_202110,Buyout,750
2021-10-01,six232_202110,M&A,251
2021-10-01,sci249_202110,Reverse Merger,235
2021-10-03,sha134_202110,Reverse Merger,410
2021-10-05,inn039_202110,M&A,1000
2021-10-06,has248_202110,M&A,235
2021-10-07,wal237_202110,Reverse Merger,250
2021-10-07,fra029_202110,M&A,1183
2021-10-08,tru186_202110,IPO,319
2021-10-08,ovo060_202110,M&A,750
2021-10-08,pan035_202110,M&A,1021
2021-10-11,ess037_202110,Reverse Merger,1000
2021-10-13,fiv188_202110,M&A,317
2021-10-13,avi073_202110,IPO,660
2021-10-14,git054_202110,IPO,800
2021-10-14,gin006_202110,M&A,3000
2021-10-17,tri204_202110,M&A,300
2021-10-18,gsn038_202110,M&A,1000
2021-10-18,min103_202110,M&A,500
2021-10-18,acr168_202110,IPO,348
2021-10-18,enj121_202110,Reverse Merger,454
2021-10-19,soc207_202110,M&A,291
2021-10-19,cap165_202110,M&A,350
2021-10-19,ten023_202110,M&A,1303
2021-10-19,neo179_202110,M&A,331
2021-10-19,nav184_202110,Reverse Merger,320
2021-10-19,mic238_202110,IPO,248
2021-10-20,wew105_202110,Reverse Merger,500
2021-10-21,gua079_202110,M&A,610
2021-10-22,sin247_202110,IPO,236
2021-10-25,eps100_202110,M&A,500
2021-10-25,cof082_202110,IPO,578
2021-10-25,ben197_202110,Buyout,300
2021-10-26,way119_202110,IPO,462
2021-10-26,hui155_202110,IPO,384
2021-10-27,ren163_202110,IPO,357
2021-10-29,ude131_202110,IPO,420
2021-10-29,yog070_202110,Buyout,675
2021-10-29,inp098_202110,M&A,514
2021-10-29,mis091_202110,M&A,525
2021-10-29,unk061_202110,M&A,750
2021-10-29,fin015_202110,M&A,2036
2021-10-30,wit144_202110,M&A,400
2021-11-01,car099_202111,M&A,500
2021-11-01,lia182_202111,IPO,325
2021-11-02,cur149_202111,M&A,389
2021-11-02,lev108_202111,M&A,484
2021-11-03,all195_202111,IPO,302
2021-11-04,moo007_202111,Buyout,3000
2021-11-04,aur042_202111,Reverse Merger,977
2021-11-04,mal036_202111,M&A,1009
2021-11-04,dev223_202111,IPO,261
2021-11-05,clo170_202111,M&A,347
2021-11-05,ocu164_202111,M&A,355
2021-11-05,clo226_202111,IPO,257
2021-11-05,bir189_202111,Reverse Merger,316
2021-11-08,nyk065_202111,IPO,714
