name,brand,price
Yeezy 750 Boost Light Brown,Adidas,1578
Yeezy 350 Boost Pirate Black,Adidas,910
Yeezy Boost 350 V2 Lundmark Reflective,Adidas,1009
Yeezy 350 Boost V2 Black/Red,Adidas,954
Air Yeezy Blink,Nike,3142
Air Yeezy 2 Red October,Nike,6075
Air Yeezy 2 Solar Red,Nike,4239
Air Yeezy 2 Pure Platinum,Nike,3448
Air Yeezy Net,Nike,1888
Air Yeezy Zen Grey,Nike,2139
Yeezy Boost 350 V2 Black Reflective,Adidas,1437
Yeezy Boost 350 V2 Antlia Reflective,Adidas,912
Yeezy Boost 350 V2 Synth Reflective,Adidas,1292
Yeezy 350 Boost Turtledove,Adidas,1279
Yeezy 750 Boost Glow in the Dark,Adidas,917
